Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
1,1,1975-10-23,28-190,LAL,@,NYK,W (+3),1,37:00,9,18,.500,9,13,.692,,,20,5,,4,6,27,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
2,2,1975-10-27,28-194,LAL,@,PHI,L (-13),1,43:00,10,17,.588,3,5,.600,,,14,4,,1,2,23,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
3,3,1975-10-28,28-195,LAL,@,MIL,W (+7),1,45:00,12,19,.632,6,9,.667,,,20,5,0,9,3,30,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
4,4,1975-10-29,28-196,LAL,@,DET,L (-13),1,44:00,12,28,.429,6,7,.857,,,16,1,,8,4,30,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
5,5,1975-10-31,28-198,LAL,,SEA,W (+16),1,40:00,10,15,.667,7,12,.583,,,24,5,,7,5,27,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
6,6,1975-11-02,28-200,LAL,,ATL,W (+3),1,49:00,15,29,.517,9,10,.900,,,23,5,,10,6,39,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
7,7,1975-11-04,28-202,LAL,@,KCK,L (-18),1,,8,19,.421,7,11,.636,,,13,3,1,4,5,23,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
8,8,1975-11-05,28-203,LAL,@,NOJ,L (-3),1,34:00,11,28,.393,3,6,.500,6,18,24,2,,,4,25,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
9,9,1975-11-07,28-205,LAL,,NYK,W (+8),1,43:00,16,33,.485,8,13,.615,,,22,3,,5,4,40,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
10,10,1975-11-08,28-206,LAL,@,GSW,L (-8),1,41:00,11,27,.407,2,3,.667,3,19,22,7,3,1,4,24,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
11,11,1975-11-09,28-207,LAL,,KCK,W (+13),1,32:00,7,16,.438,5,7,.714,3,15,18,3,2,5,3,19,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
12,12,1975-11-12,28-210,LAL,,NOJ,W (+16),1,41:00,14,22,.636,5,7,.714,1,15,16,6,,8,3,33,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
13,13,1975-11-14,28-212,LAL,,PHO,W (+7),1,42:00,14,22,.636,7,11,.636,3,16,19,9,1,8,5,35,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
14,14,1975-11-16,28-214,LAL,,CHI,W (+17),1,38:00,8,12,.667,2,2,1.000,0,15,15,4,2,8,3,18,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
15,15,1975-11-18,28-216,LAL,@,BUF,L (-14),1,42:00,15,25,.600,5,6,.833,4,12,16,6,3,3,4,35,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
16,16,1975-11-19,28-217,LAL,@,HOU,W (+8),1,48:00,10,18,.556,6,11,.545,3,18,21,6,0,8,3,26,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
17,17,1975-11-21,28-219,LAL,,MIL,W (+12),1,48:00,12,15,.800,6,10,.600,5,14,19,6,3,3,5,30,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
18,18,1975-11-23,28-221,LAL,,HOU,W (+11),1,39:00,11,20,.550,0,3,.000,2,11,13,4,1,2,0,22,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
19,19,1975-11-26,28-224,LAL,@,POR,L (-17),1,44:00,19,33,.576,10,15,.667,1,11,12,6,0,2,3,48,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
20,20,1975-11-28,28-226,LAL,,BUF,W (+21),1,31:00,5,10,.500,8,9,.889,3,21,24,6,0,5,2,18,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
21,21,1975-11-30,28-228,LAL,,POR,W (+7),1,35:00,11,18,.611,0,4,.000,1,11,12,3,1,3,6,22,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
22,22,1975-12-02,28-230,LAL,@,WSB,L (-3),1,43:00,14,25,.560,2,3,.667,4,17,21,3,2,3,2,30,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
23,23,1975-12-03,28-231,LAL,@,DET,W (+8),1,46:00,11,27,.407,7,9,.778,4,17,21,2,2,11,4,29,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
24,24,1975-12-07,28-235,LAL,,WSB,W (+8),1,41:00,12,17,.706,3,6,.500,1,16,17,6,0,6,4,27,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
25,25,1975-12-12,28-240,LAL,,PHI,W (+12),1,39:00,11,23,.478,12,14,.857,1,20,21,8,1,3,5,34,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
26,26,1975-12-13,28-241,LAL,@,PHO,L (-8),1,46:00,14,21,.667,13,14,.929,4,14,18,5,4,6,4,41,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
