Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2013-12-21,25-229,NOP,@,POR,L (-3),0,16:42,2,4,.500,0,0,,0,0,,5,6,11,1,0,1,3,5,4,3.7,+2,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
2,2,2013-12-23,25-231,NOP,@,SAC,W (+13),0,14:13,3,4,.750,0,0,,0,0,,1,3,4,1,1,0,2,6,6,3.3,0,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
3,3,2013-12-27,25-235,NOP,,DEN,W (+16),0,20:10,2,3,.667,0,0,,0,0,,2,6,8,2,0,1,2,2,4,5.2,+9,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
4,4,2013-12-28,25-236,NOP,@,HOU,L (-9),0,5:01,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,1,2,1.3,-3,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
5,5,2013-12-30,25-238,NOP,,POR,W (+2),0,1:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-3,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
6,6,2014-01-01,25-240,NOP,@,MIN,L (-12),0,11:41,1,3,.333,0,0,,0,0,,1,1,2,0,1,1,2,3,2,-0.2,+1,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
7,7,2014-01-03,25-242,NOP,@,BOS,W (+3),1,12:04,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,0,4,0,-1.6,-5,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
8,8,2014-01-04,25-243,NOP,@,IND,L (-17),1,31:30,5,7,.714,0,0,,7,10,.700,3,4,7,1,1,1,2,2,17,15.8,+3,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
9,9,2014-01-07,25-246,NOP,@,MIA,L (-19),1,14:10,1,2,.500,0,0,,2,2,1.000,1,1,2,0,0,0,0,2,4,3.2,-5,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
10,10,2014-01-08,25-247,NOP,,WAS,L (-6),1,14:42,3,5,.600,0,0,,0,0,,1,5,6,2,0,1,0,2,6,7.2,+8,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
11,11,2014-01-10,25-249,NOP,,DAL,L (-17),1,5:01,0,0,,0,0,,0,0,,1,1,2,0,0,0,2,0,0,-1.0,-6,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
12,12,2014-01-11,25-250,NOP,@,DAL,L (-3),0,11:50,1,1,1.000,0,0,,0,0,,2,3,5,2,0,0,0,4,2,3.8,+2,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
13,13,2014-01-13,25-252,NOP,,SAS,L (-6),0,19:58,3,6,.500,0,0,,1,2,.500,0,4,4,0,0,2,0,0,7,6.2,-12,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
14,14,2014-01-15,25-254,NOP,,HOU,L (-3),0,12:19,1,1,1.000,0,0,,0,0,,1,3,4,0,0,2,0,5,2,2.7,+15,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
15,15,2014-01-18,25-257,NOP,,GSW,L (-10),0,11:36,0,1,.000,0,0,,2,2,1.000,2,2,4,0,0,1,0,2,2,3.2,-4,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
16,16,2014-01-20,25-259,NOP,@,MEM,W (+3),0,22:00,5,8,.625,0,0,,0,0,,1,5,6,0,1,0,0,2,10,8.8,+5,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
17,17,2014-01-21,25-260,NOP,,SAC,L (-17),0,15:58,2,3,.667,0,0,,0,0,,1,3,4,1,1,1,2,4,4,3.1,-8,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
18,18,2014-01-24,25-263,NOP,@,DET,W (+2),1,15:28,3,5,.600,0,0,,0,0,,0,4,4,0,1,3,3,3,6,3.8,-14,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
19,19,2014-01-26,25-265,NOP,,ORL,W (+8),1,7:52,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,2,4,0,-3.6,-1,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
20,20,2014-01-28,25-267,NOP,@,CLE,W (+11),1,17:27,0,2,.000,0,0,,0,0,,1,4,5,1,0,0,3,2,0,-2.6,+6,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
21,21,2014-01-29,25-268,NOP,@,MIN,L (-11),1,16:17,2,5,.400,0,0,,0,0,,2,3,5,0,0,0,3,2,4,-0.2,0,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
22,22,2014-02-01,25-271,NOP,,CHI,W (+9),1,18:06,4,4,1.000,0,0,,0,0,,3,0,3,0,0,3,3,5,8,6.0,+14,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
23,23,2014-02-03,25-273,NOP,,SAS,L (-7),1,27:09,4,6,.667,0,0,,0,0,,3,7,10,1,1,2,2,2,8,9.9,-6,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
24,24,2014-02-05,25-275,NOP,,ATL,W (+5),1,14:48,2,3,.667,0,0,,0,0,,1,3,4,0,0,1,0,3,4,3.8,-2,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
25,25,2014-02-07,25-277,NOP,,MIN,W (+7),1,13:03,2,2,1.000,0,0,,0,0,,1,5,6,0,0,1,2,4,4,2.7,+4,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
26,26,2014-02-09,25-279,NOP,@,BRK,L (-12),1,11:11,0,2,.000,0,0,,0,0,,1,2,3,0,1,0,2,4,0,-2.7,-5,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
27,27,2014-02-10,25-280,NOP,@,TOR,L (-7),1,9:17,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,1,1,2,-0.4,-16,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
28,28,2014-02-12,25-282,NOP,@,MIL,W (+4),1,21:47,7,7,1.000,0,0,,2,2,1.000,1,8,9,3,0,1,3,2,16,16.0,+10,2014,ajincal01,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2014
