Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,34-096,SAS,,NYK,W (+9),1,35:18,8,15,.533,1,1,1.000,5,5,1.000,4,4,8,1,0,2,4,1,22,16.4,-3,2020,aldrila01,https://www.basketball-reference.com/players/a/aldrila01/gamelog/2020
2,2,2019-10-26,34-099,SAS,,WAS,W (+2),1,33:06,10,17,.588,2,3,.667,5,7,.714,3,6,9,3,1,1,3,3,27,21.8,+5,2020,aldrila01,https://www.basketball-reference.com/players/a/aldrila01/gamelog/2020
3,3,2019-10-28,34-101,SAS,,POR,W (+3),1,33:44,6,17,.353,0,1,.000,3,4,.750,2,5,7,3,1,5,1,3,15,12.4,-3,2020,aldrila01,https://www.basketball-reference.com/players/a/aldrila01/gamelog/2020
4,4,2019-10-31,34-104,SAS,@,LAC,L (-6),1,35:38,2,8,.250,0,1,.000,1,2,.500,1,4,5,3,0,2,3,4,5,0.6,-10,2020,aldrila01,https://www.basketball-reference.com/players/a/aldrila01/gamelog/2020
5,5,2019-11-01,34-105,SAS,@,GSW,W (+17),1,26:04,8,15,.533,0,3,.000,6,6,1.000,5,3,8,0,0,1,1,1,22,18.4,+3,2020,aldrila01,https://www.basketball-reference.com/players/a/aldrila01/gamelog/2020
6,6,2019-11-03,34-107,SAS,,LAL,L (-7),1,30:16,2,9,.222,0,1,.000,4,4,1.000,1,4,5,2,1,1,2,3,8,4.3,-11,2020,aldrila01,https://www.basketball-reference.com/players/a/aldrila01/gamelog/2020
7,7,2019-11-05,34-109,SAS,@,ATL,L (-8),1,33:51,6,14,.429,0,1,.000,2,2,1.000,1,4,5,4,0,4,2,1,14,11.7,-2,2020,aldrila01,https://www.basketball-reference.com/players/a/aldrila01/gamelog/2020
8,8,2019-11-07,34-111,SAS,,OKC,W (+9),1,34:14,19,23,.826,0,1,.000,1,2,.500,3,3,6,4,2,1,3,2,39,34.8,+18,2020,aldrila01,https://www.basketball-reference.com/players/a/aldrila01/gamelog/2020
9,9,2019-11-09,34-113,SAS,,BOS,L (-20),1,26:22,1,4,.250,0,0,,1,2,.500,1,3,4,1,0,1,2,4,3,-0.4,-12,2020,aldrila01,https://www.basketball-reference.com/players/a/aldrila01/gamelog/2020
10,10,2019-11-11,34-115,SAS,,MEM,L (-4),1,32:50,8,15,.533,0,0,,3,4,.750,0,4,4,3,2,0,1,2,19,14.8,-3,2020,aldrila01,https://www.basketball-reference.com/players/a/aldrila01/gamelog/2020
