Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2011-12-26,29-349,MEM,@,SAS,L (-13),1,15:07,1,4,.250,0,0,,0,0,,3,1,4,0,1,0,4,4,2,-2.6,-7,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
2,2,2011-12-28,29-351,MEM,,OKC,L (-3),1,28:41,3,9,.333,0,0,,3,3,1.000,2,1,3,1,2,0,3,2,9,4.5,-1,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
3,3,2011-12-30,29-353,MEM,,HOU,W (+20),1,17:35,2,3,.667,0,0,,1,4,.250,1,1,2,1,2,0,0,3,5,5.0,+7,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
4,4,2012-01-01,29-355,MEM,@,CHI,L (-40),1,14:16,1,5,.200,0,0,,0,0,,1,1,2,2,2,0,1,2,2,1.5,-11,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
5,5,2012-01-03,29-357,MEM,,SAC,W (+17),1,25:06,5,12,.417,0,0,,0,1,.000,4,3,7,0,3,0,2,1,10,7.5,+12,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
6,6,2012-01-04,29-358,MEM,@,MIN,W (+4),1,31:35,8,8,1.000,0,0,,4,4,1.000,0,4,4,0,2,1,0,3,20,20.3,+5,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
7,7,2012-01-06,29-360,MEM,@,UTA,L (-9),1,29:24,6,9,.667,1,2,.500,8,10,.800,2,4,6,2,1,0,1,2,21,19.5,+5,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
8,8,2012-01-08,29-362,MEM,@,LAL,L (-8),1,13:15,2,7,.286,0,1,.000,0,0,,0,0,0,0,2,0,0,4,4,0.3,-5,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
9,9,2012-01-10,29-364,MEM,,OKC,L (-5),1,28:41,4,10,.400,0,1,.000,0,0,,1,0,1,0,0,0,1,2,8,1.5,-6,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
10,10,2012-01-12,30-001,MEM,,NYK,W (+11),1,26:13,5,8,.625,0,0,,2,2,1.000,2,3,5,1,5,1,1,1,12,15.7,+17,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
11,11,2012-01-14,30-003,MEM,,NOH,W (+9),1,25:23,2,7,.286,0,0,,8,8,1.000,4,4,8,2,1,1,1,0,12,14.0,+14,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
12,12,2012-01-16,30-005,MEM,,CHI,W (+16),1,19:18,3,6,.500,0,0,,0,0,,1,2,3,0,0,0,1,2,6,2.5,+17,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
13,13,2012-01-18,30-007,MEM,@,NOH,W (+6),1,23:02,3,6,.500,0,0,,6,6,1.000,0,1,1,0,1,0,1,1,12,8.9,+8,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
14,14,2012-01-20,30-009,MEM,@,DET,W (+17),1,21:28,4,4,1.000,0,0,,5,6,.833,0,1,1,1,5,0,2,2,13,14.6,+16,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
15,15,2012-01-21,30-010,MEM,,SAC,W (+33),1,19:35,2,7,.286,0,0,,4,6,.667,1,0,1,1,1,1,2,4,8,2.6,+14,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
16,16,2012-01-23,30-012,MEM,@,GSW,W (+1),1,36:26,4,9,.444,0,1,.000,4,5,.800,5,3,8,0,5,1,2,1,12,14.6,+9,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
17,17,2012-01-24,30-013,MEM,@,POR,L (-13),1,23:34,4,10,.400,0,0,,0,2,.000,2,2,4,0,0,1,0,3,8,3.3,-28,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
18,18,2012-01-26,30-015,MEM,@,LAC,L (-7),1,32:12,3,9,.333,0,0,,8,10,.800,1,1,2,1,1,0,1,0,14,9.8,-13,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
19,19,2012-01-28,30-017,MEM,@,PHO,L (-2),1,22:49,3,6,.500,0,0,,4,4,1.000,0,1,1,0,2,0,3,2,10,5.5,-8,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
20,20,2012-01-30,30-019,MEM,,SAS,L (-10),1,20:30,3,8,.375,0,0,,3,3,1.000,0,1,1,1,4,1,2,3,9,7.1,-2,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
21,21,2012-01-31,30-020,MEM,,DEN,W (+3),1,35:33,6,14,.429,0,0,,5,5,1.000,3,5,8,2,1,4,3,4,17,13.8,+10,2012,allento01,https://www.basketball-reference.com/players/a/allento01/gamelog/2012
