Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2013-11-12,30-340,NOP,@,LAL,L (-21),0,8:24,1,2,.500,0,0,,1,4,.250,1,2,3,1,0,1,0,2,3,2.7,+10,2014,amundlo01,https://www.basketball-reference.com/players/a/amundlo01/gamelog/2014
2,2,2013-11-13,30-341,NOP,@,UTA,L (-6),0,17:56,2,3,.667,0,0,,1,2,.500,0,0,0,0,1,0,2,5,5,0.3,+7,2014,amundlo01,https://www.basketball-reference.com/players/a/amundlo01/gamelog/2014
3,3,2013-11-16,30-344,NOP,,PHI,W (+37),0,13:55,1,2,.500,0,0,,0,0,,1,2,3,0,2,2,0,3,2,4.5,-1,2014,amundlo01,https://www.basketball-reference.com/players/a/amundlo01/gamelog/2014
4,4,2013-11-20,30-348,NOP,,UTA,W (+7),0,4:30,1,1,1.000,0,0,,0,2,.000,1,0,1,0,0,0,0,1,2,1.2,-2,2014,amundlo01,https://www.basketball-reference.com/players/a/amundlo01/gamelog/2014
5,5,2013-11-22,30-350,NOP,,CLE,W (+4),0,3:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5,2014,amundlo01,https://www.basketball-reference.com/players/a/amundlo01/gamelog/2014
6,6,2013-11-25,30-353,NOP,@,SAS,L (-19),0,8:27,0,3,.000,0,0,,1,2,.500,3,2,5,0,0,0,0,2,1,0.4,+10,2014,amundlo01,https://www.basketball-reference.com/players/a/amundlo01/gamelog/2014
7,7,2013-11-26,30-354,NOP,,GSW,L (-1),0,3:19,0,1,.000,0,0,,0,0,,1,1,2,0,0,1,1,3,0,-1.2,-5,2014,amundlo01,https://www.basketball-reference.com/players/a/amundlo01/gamelog/2014
8,8,2013-11-29,30-357,NOP,@,PHI,W (+16),0,5:00,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,1,0,0.9,-1,2014,amundlo01,https://www.basketball-reference.com/players/a/amundlo01/gamelog/2014
9,9,2013-12-01,30-359,NOP,@,NYK,W (+4),0,6:36,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9,-9,2014,amundlo01,https://www.basketball-reference.com/players/a/amundlo01/gamelog/2014
10,10,2013-12-02,30-360,NOP,@,CHI,W (+3),0,15:26,0,0,,0,0,,0,2,.000,0,4,4,0,0,2,0,6,0,-0.6,-9,2014,amundlo01,https://www.basketball-reference.com/players/a/amundlo01/gamelog/2014
11,11,2013-12-04,30-362,NOP,,DAL,L (-3),0,11:00,0,0,,0,0,,0,0,,1,0,1,1,0,0,2,3,0,-1.8,-5,2014,amundlo01,https://www.basketball-reference.com/players/a/amundlo01/gamelog/2014
12,12,2013-12-06,30-364,NOP,,OKC,L (-14),0,8:03,1,3,.333,0,0,,0,0,,3,1,4,0,1,1,1,1,2,3.0,-6,2014,amundlo01,https://www.basketball-reference.com/players/a/amundlo01/gamelog/2014
13,13,2013-12-11,31-004,NOP,,DET,W (+5),0,14:08,2,3,.667,0,0,,1,2,.500,4,2,6,0,1,1,1,3,5,6.2,-7,2014,amundlo01,https://www.basketball-reference.com/players/a/amundlo01/gamelog/2014
14,14,2013-12-13,31-006,NOP,,MEM,W (+6),0,18:19,3,4,.750,0,0,,1,2,.500,4,3,7,0,0,0,2,3,7,5.5,+3,2014,amundlo01,https://www.basketball-reference.com/players/a/amundlo01/gamelog/2014
