Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2016-10-25,38-110,CLE,,NYK,W (+29),0,5:34,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,2,2.4,+1,2017,anderch01,https://www.basketball-reference.com/players/a/anderch01/gamelog/2017
2,,2016-10-28,38-113,CLE,@,TOR,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,anderch01,https://www.basketball-reference.com/players/a/anderch01/gamelog/2017
3,2,2016-10-29,38-114,CLE,,ORL,W (+6),0,8:55,2,2,1.000,0,0,,2,4,.500,1,1,2,1,1,0,0,2,6,6.5,+3,2017,anderch01,https://www.basketball-reference.com/players/a/anderch01/gamelog/2017
4,,2016-11-01,38-117,CLE,,HOU,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,anderch01,https://www.basketball-reference.com/players/a/anderch01/gamelog/2017
5,,2016-11-03,38-119,CLE,,BOS,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,anderch01,https://www.basketball-reference.com/players/a/anderch01/gamelog/2017
6,,2016-11-05,38-121,CLE,@,PHI,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,anderch01,https://www.basketball-reference.com/players/a/anderch01/gamelog/2017
7,,2016-11-08,38-124,CLE,,ATL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,anderch01,https://www.basketball-reference.com/players/a/anderch01/gamelog/2017
8,,2016-11-11,38-127,CLE,@,WAS,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,anderch01,https://www.basketball-reference.com/players/a/anderch01/gamelog/2017
9,,2016-11-13,38-129,CLE,,CHO,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,anderch01,https://www.basketball-reference.com/players/a/anderch01/gamelog/2017
10,,2016-11-15,38-131,CLE,,TOR,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,anderch01,https://www.basketball-reference.com/players/a/anderch01/gamelog/2017
