Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2006-11-01,38-132,IND,@,CHA,W (+7),0,13:28,3,4,.750,3,4,.750,0,0,,2,1,3,4,0,0,0,1,9,11.5,+13,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
2,2,2006-11-03,38-134,IND,,NOK,L (-9),0,19:13,3,7,.429,2,4,.500,3,4,.750,1,1,2,6,1,1,1,4,11,11.2,+3,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
3,3,2006-11-04,38-135,IND,@,NYK,W (+14),0,18:23,5,6,.833,3,4,.750,0,0,,0,0,0,1,2,0,1,2,13,11.7,+13,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
4,4,2006-11-07,38-138,IND,,PHI,W (+11),0,15:01,2,4,.500,1,2,.500,0,0,,0,2,2,3,0,0,0,1,5,5.3,+12,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
5,5,2006-11-08,38-139,IND,@,WAS,L (-26),0,14:32,3,6,.500,1,3,.333,0,0,,0,1,1,0,1,0,1,0,7,4.3,-7,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
6,6,2006-11-10,38-141,IND,,ORL,W (+10),0,15:47,1,4,.250,1,1,1.000,0,0,,0,2,2,2,0,0,0,2,3,1.8,+14,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
7,7,2006-11-11,38-142,IND,@,CHI,L (-9),0,13:47,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,1,2,2,-0.5,-16,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
8,8,2006-11-15,38-146,IND,@,BOS,L (-26),0,7:17,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,1.0,+2,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
9,9,2006-11-17,38-148,IND,,NJN,L (-9),0,6:59,1,2,.500,1,2,.500,0,0,,0,0,0,2,1,0,1,2,3,2.6,-2,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
10,10,2006-11-18,38-149,IND,@,MIL,W (+2),0,12:16,4,5,.800,2,3,.667,1,2,.500,2,0,2,3,0,0,1,1,11,10.8,+5,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
11,11,2006-11-21,38-152,IND,,MIL,W (+5),0,8:46,1,3,.333,1,2,.500,2,2,1.000,1,0,1,2,0,0,0,2,5,4.6,+1,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
12,12,2006-11-22,38-153,IND,@,ORL,L (-5),0,9:21,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,1,0,0,-0.8,+1,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
13,13,2006-11-24,38-155,IND,,CLE,W (+10),0,16:24,2,8,.250,1,6,.167,0,0,,0,2,2,1,0,0,0,2,5,0.7,+6,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
14,14,2006-11-26,38-157,IND,@,TOR,L (-9),0,11:05,1,4,.250,0,2,.000,0,0,,0,0,0,1,0,0,0,2,2,-0.5,-3,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
15,15,2006-11-28,38-159,IND,@,POR,W (+8),0,15:52,2,5,.400,1,3,.333,1,1,1.000,0,2,2,1,0,0,0,0,6,4.6,+11,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
16,16,2006-11-29,38-160,IND,@,GSW,W (+2),0,6:56,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,1,0,1,0,-0.4,-16,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
17,17,2006-12-01,38-162,IND,@,SEA,L (-2),0,7:15,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,+3,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
18,18,2006-12-02,38-163,IND,@,DEN,L (-20),0,4:13,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-3,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
19,19,2006-12-04,38-165,IND,@,LAL,L (-14),0,8:59,0,1,.000,0,1,.000,0,0,,1,1,2,2,1,0,1,0,0,1.7,+3,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
20,20,2006-12-06,38-167,IND,,ORL,W (+14),0,5:29,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+1,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
21,21,2006-12-08,38-169,IND,,POR,W (+13),0,8:39,2,3,.667,1,2,.500,1,1,1.000,0,0,0,0,0,0,1,0,6,3.7,-9,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
22,22,2006-12-09,38-170,IND,@,CLE,L (-32),0,13:09,5,7,.714,2,3,.667,1,1,1.000,0,1,1,1,4,0,0,2,13,14.3,+1,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
23,23,2006-12-11,38-172,IND,@,CHI,L (-15),1,19:05,1,5,.200,0,2,.000,0,0,,1,0,1,3,1,0,0,2,2,1.9,-7,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
24,24,2006-12-13,38-174,IND,,DET,W (+11),0,1:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
25,25,2006-12-15,38-176,IND,,NYK,W (+16),0,15:29,3,3,1.000,2,2,1.000,0,0,,0,2,2,1,2,0,4,1,8,6.0,+11,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
26,26,2006-12-17,38-178,IND,,UTA,L (-10),0,24:28,4,10,.400,1,6,.167,1,2,.500,0,3,3,2,2,0,1,2,10,6.7,+5,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
27,27,2006-12-20,38-181,IND,@,PHI,W (+8),0,12:44,0,2,.000,0,1,.000,0,0,,0,2,2,3,0,0,0,0,0,1.3,-4,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
28,28,2006-12-22,38-183,IND,@,ATL,W (+10),0,12:52,1,5,.200,0,3,.000,0,0,,2,0,2,3,4,0,0,0,2,6.4,+3,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
29,29,2006-12-23,38-184,IND,,MIN,L (-7),0,12:34,1,2,.500,0,0,,1,1,1.000,0,2,2,1,1,0,0,1,3,3.9,-7,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
30,30,2006-12-26,38-187,IND,,HOU,W (+5),0,11:05,0,4,.000,0,1,.000,3,6,.500,0,3,3,1,2,0,0,0,3,2.6,+5,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
31,31,2006-12-29,38-190,IND,@,DET,W (+1),0,6:18,0,1,.000,0,0,,1,2,.500,1,0,1,1,1,0,2,0,1,0.3,-5,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
32,32,2006-12-30,38-191,IND,,CHA,L (-11),0,14:07,1,4,.250,0,1,.000,1,1,1.000,0,0,0,3,2,1,1,2,3,3.6,-3,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
33,33,2007-01-04,38-196,IND,@,DAL,L (-9),0,14:58,1,2,.500,0,1,.000,1,2,.500,0,0,0,1,1,0,0,1,3,2.9,+8,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
34,34,2007-01-06,38-198,IND,@,NOK,W (+7),0,7:51,1,2,.500,1,1,1.000,0,0,,1,2,3,0,0,0,1,1,3,1.9,+2,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
35,35,2007-01-09,38-201,IND,,ATL,W (+19),0,15:20,1,3,.333,0,1,.000,2,2,1.000,0,3,3,3,1,0,1,2,4,4.5,+14,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
36,36,2007-01-10,38-202,IND,@,BOS,W (+13),0,9:34,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,1,2,0,-0.8,+2,2007,armstda01,https://www.basketball-reference.com/players/a/armstda01/gamelog/2007
