Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1999-02-05,31-052,MIA,,DET,L (-14),0,8:49,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,2,0,-0.2,-1,1999,askinke01,https://www.basketball-reference.com/players/a/askinke01/gamelog/1999
2,2,1999-02-07,31-054,MIA,@,NYK,W (+4),0,6:30,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,1,0,0.9,-2,1999,askinke01,https://www.basketball-reference.com/players/a/askinke01/gamelog/1999
3,3,1999-02-08,31-055,MIA,@,CHH,L (-3),1,16:16,1,4,.250,0,0,,0,0,,1,3,4,1,0,0,0,0,2,1.9,-8,1999,askinke01,https://www.basketball-reference.com/players/a/askinke01/gamelog/1999
4,4,1999-02-09,31-056,MIA,,BOS,L (-7),1,13:39,1,2,.500,1,2,.500,1,2,.500,0,1,1,0,2,0,2,1,4,2.5,-2,1999,askinke01,https://www.basketball-reference.com/players/a/askinke01/gamelog/1999
5,,1999-02-11,31-058,MIA,,TOR,W (+18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,askinke01,https://www.basketball-reference.com/players/a/askinke01/gamelog/1999
6,,1999-02-15,31-062,MIA,,NJN,W (+23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,askinke01,https://www.basketball-reference.com/players/a/askinke01/gamelog/1999
7,,1999-02-16,31-063,MIA,@,IND,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,askinke01,https://www.basketball-reference.com/players/a/askinke01/gamelog/1999
8,5,1999-02-17,31-064,MIA,@,DET,W (+11),0,9:27,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,3,2,0.1,+5,1999,askinke01,https://www.basketball-reference.com/players/a/askinke01/gamelog/1999
9,,1999-02-20,31-067,MIA,,HOU,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,askinke01,https://www.basketball-reference.com/players/a/askinke01/gamelog/1999
10,6,1999-02-23,31-070,MIA,@,WAS,W (+16),0,14:36,2,4,.500,1,3,.333,0,0,,0,3,3,0,0,0,1,1,5,2.5,+10,1999,askinke01,https://www.basketball-reference.com/players/a/askinke01/gamelog/1999
