Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2004-11-03,32-346,NYK,@,MIN,L (-6),0,6:12,0,2,.000,0,0,,0,0,,1,2,3,0,0,0,1,1,0,-1.5,-6,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
2,2,2004-11-06,32-349,NYK,,BOS,L (-34),0,14:25,1,1,1.000,0,0,,0,2,.000,2,4,6,0,0,0,1,2,2,1.7,-8,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
3,,2004-11-09,32-352,NYK,,PHI,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
4,3,2004-11-12,32-355,NYK,,LAC,W (+14),0,6:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-5,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
5,4,2004-11-13,32-356,NYK,@,IND,L (-6),0,3:10,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-9,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
6,,2004-11-16,32-359,NYK,@,SAS,L (-18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
7,,2004-11-18,32-361,NYK,@,HOU,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
8,,2004-11-19,32-362,NYK,@,DAL,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
9,,2004-11-21,32-364,NYK,,CLE,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
10,5,2004-11-23,33-000,NYK,,ATL,W (+16),0,2:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
11,6,2004-11-24,33-001,NYK,@,TOR,L (-23),0,9:58,0,3,.000,0,0,,2,2,1.000,1,1,2,0,0,0,1,1,2,-0.5,-5,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
12,,2004-11-27,33-004,NYK,,TOR,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
13,,2004-11-30,33-007,NYK,@,ATL,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
14,,2004-12-01,33-008,NYK,,MEM,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
15,,2004-12-03,33-010,NYK,,ORL,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
16,,2004-12-04,33-011,NYK,@,CHA,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
17,,2004-12-07,33-014,NYK,@,MEM,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
18,7,2004-12-08,33-015,NYK,@,NOH,W (+7),0,4:20,0,3,.000,0,0,,0,0,,2,0,2,0,0,0,1,0,0,-1.7,-7,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
19,8,2004-12-10,33-017,NYK,@,WAS,L (-2),0,7:44,3,3,1.000,0,0,,0,0,,0,1,1,0,0,0,1,2,6,3.6,+9,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
20,,2004-12-12,33-019,NYK,,DEN,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,bakervi01,https://www.basketball-reference.com/players/b/bakervi01/gamelog/2005
