Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2021-10-20,23-358,CHI,@,DET,W (+6),1,33:22,5,12,.417,2,6,.333,0,0,,3,3,6,4,0,1,4,0,12,8.1,+17,2022,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2022
2,2,2021-10-22,23-360,CHI,,NOP,W (+16),1,35:08,6,11,.545,3,8,.375,2,2,1.000,2,8,10,11,3,1,0,2,17,26.1,+13,2022,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2022
3,3,2021-10-23,23-361,CHI,,DET,W (+15),1,37:45,5,12,.417,3,7,.429,0,0,,0,4,4,1,3,4,2,3,13,11.1,+11,2022,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2022
4,4,2021-10-25,23-363,CHI,@,TOR,W (+3),1,38:03,5,11,.455,5,9,.556,0,0,,0,3,3,5,2,1,4,0,15,12.4,+9,2022,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2022
5,5,2021-10-28,24-001,CHI,,NYK,L (-1),1,33:23,2,8,.250,1,6,.167,1,2,.500,0,6,6,4,0,1,2,4,6,2.5,-1,2022,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2022
6,6,2021-10-30,24-003,CHI,,UTA,W (+8),1,33:13,4,11,.364,1,6,.167,2,2,1.000,1,4,5,2,4,0,4,2,11,7.4,+10,2022,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2022
7,7,2021-11-01,24-005,CHI,@,BOS,W (+14),1,32:24,4,10,.400,4,6,.667,0,0,,0,6,6,4,1,0,3,2,12,8.4,-2,2022,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2022
8,8,2021-11-03,24-007,CHI,@,PHI,L (-5),1,32:50,5,11,.455,3,6,.500,0,0,,1,4,5,5,3,1,5,4,13,9.8,+5,2022,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2022
9,9,2021-11-06,24-010,CHI,,PHI,L (-9),1,38:00,3,9,.333,2,5,.400,0,0,,1,4,5,5,1,0,2,4,8,5.7,-3,2022,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2022
10,10,2021-11-08,24-012,CHI,,BRK,W (+23),1,30:17,4,12,.333,3,7,.429,0,0,,1,3,4,3,0,0,0,2,11,7.1,+13,2022,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2022
