Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2010-10-27,27-333,TOR,,NYK,L (-5),0,24:25,6,16,.375,1,2,.500,0,0,,0,2,2,1,0,0,0,0,13,5.5,-10,2011,barbole01,https://www.basketball-reference.com/players/b/barbole01/gamelog/2011
2,2,2010-10-29,27-335,TOR,,CLE,W (+20),0,21:02,5,10,.500,1,4,.250,2,2,1.000,0,3,3,2,1,1,1,2,13,10.2,+2,2011,barbole01,https://www.basketball-reference.com/players/b/barbole01/gamelog/2011
3,3,2010-11-01,27-338,TOR,@,SAC,L (-3),0,11:47,1,6,.167,0,2,.000,0,0,,2,1,3,0,0,0,3,2,2,-3.9,-6,2011,barbole01,https://www.basketball-reference.com/players/b/barbole01/gamelog/2011
4,4,2010-11-03,27-340,TOR,@,UTA,L (-17),0,19:55,3,8,.375,0,1,.000,3,4,.750,0,0,0,1,1,0,0,2,9,5.1,-14,2011,barbole01,https://www.basketball-reference.com/players/b/barbole01/gamelog/2011
5,5,2010-11-05,27-342,TOR,@,LAL,L (-5),0,24:48,6,13,.462,3,5,.600,2,2,1.000,0,2,2,2,2,0,3,2,17,10.5,+7,2011,barbole01,https://www.basketball-reference.com/players/b/barbole01/gamelog/2011
6,6,2010-11-06,27-343,TOR,@,POR,L (-13),0,21:26,4,10,.400,0,3,.000,4,5,.800,1,0,1,1,1,0,0,2,12,7.8,-2,2011,barbole01,https://www.basketball-reference.com/players/b/barbole01/gamelog/2011
7,7,2010-11-08,27-345,TOR,,GSW,L (-7),0,14:58,3,8,.375,0,2,.000,1,2,.500,0,1,1,1,3,0,1,1,7,4.8,+1,2011,barbole01,https://www.basketball-reference.com/players/b/barbole01/gamelog/2011
8,,2010-11-10,27-347,TOR,,CHA,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,barbole01,https://www.basketball-reference.com/players/b/barbole01/gamelog/2011
9,,2010-11-12,27-349,TOR,@,ORL,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,barbole01,https://www.basketball-reference.com/players/b/barbole01/gamelog/2011
10,,2010-11-13,27-350,TOR,@,MIA,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,barbole01,https://www.basketball-reference.com/players/b/barbole01/gamelog/2011
