Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1951-11-01,28-215,BLB,@,ROC,L (-4),,,1,,,1,2,.500,,,3,3,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
2,2,1951-11-03,28-217,BLB,,INO,L (-4),,,3,,,4,9,.444,,,3,10,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
3,3,1951-11-10,28-224,BLB,,SYR,W (+9),,,3,,,1,1,1.000,,,5,7,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
4,4,1951-11-12,28-226,BLB,,MNL,L (-10),,,1,,,3,4,.750,,,2,5,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
5,5,1951-11-17,28-231,BLB,,BOS,L (-13),,,0,,,1,2,.500,,,1,1,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
6,6,1951-11-18,28-232,BLB,@,SYR,L (-3),,,0,,,1,2,.500,,,2,1,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
7,7,1951-11-19,28-233,BLB,,MLH,W (+1),,,6,,,2,3,.667,,,5,14,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
8,8,1951-11-20,28-234,BLB,,NYK,L (-2),,,7,,,9,12,.750,,,5,23,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
9,9,1951-11-24,28-238,BLB,,PHW,W (+7),,,5,,,10,12,.833,,,5,20,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
10,10,1951-11-25,28-239,BLB,@,FTW,L (-17),,,4,,,6,6,1.000,,,2,14,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
11,11,1951-11-29,28-243,BLB,,MLH,W (+13),,,3,,,9,11,.818,,,4,15,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
12,12,1951-12-01,28-245,BLB,,NYK,W (+2),,,4,,,5,9,.556,,,3,13,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
13,13,1951-12-02,28-246,BLB,@,BOS,L (-21),,29:00,3,13,.231,6,7,.857,10,0,4,12,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
14,14,1951-12-03,28-247,BLB,,ROC,L (-7),,,9,,,0,1,.000,,,4,18,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
15,15,1951-12-07,28-251,BLB,@,INO,L (-8),,,4,,,2,4,.500,,,0,10,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
16,16,1951-12-08,28-252,BLB,,MNL,L (-21),,,3,13,.231,7,10,.700,,,4,13,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
17,17,1951-12-09,28-253,BLB,@,MLH,W (+2),,,5,,,2,5,.400,,,5,12,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
18,18,1951-12-12,28-256,BLB,@,MNL,L (-20),,,4,12,.333,2,5,.400,,,1,10,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
19,19,1951-12-15,28-259,BLB,,FTW,W (+10),,,0,,,0,0,,,,0,0,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
20,20,1951-12-16,28-260,BLB,@,ROC,L (-4),,,4,,,2,4,.500,,,2,10,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
21,21,1951-12-17,28-261,BLB,,BOS,W (+12),,,2,,,0,1,.000,,,2,4,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
22,22,1951-12-18,28-262,BLB,,PHW,L (-4),,,4,10,.400,1,2,.500,12,2,4,9,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
23,23,1951-12-26,28-270,BLB,,PHW,W (+4),,29:00,2,,,0,0,,,,6,4,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
24,24,1951-12-29,28-273,BLB,,INO,W (+10),,,5,,,5,5,1.000,12,,4,15,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
25,25,1951-12-30,28-274,BLB,@,SYR,L (-17),,,4,,,8,11,.727,,,6,16,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
26,26,1951-12-31,28-275,BLB,,FTW,L (-9),,,5,,,7,9,.778,,,3,17,1952,barksdo01,https://www.basketball-reference.com/players/b/barksdo01/gamelog/1952
