Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1968-10-19,27-189,CHI,,BOS,L (-10),,14:00,4,8,.500,3,3,1.000,6,0,1,11,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
2,2,1968-10-23,27-193,CHI,@,ATL,L (-15),,16:00,2,7,.286,0,0,,3,0,2,4,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
3,3,1968-10-26,27-196,CHI,@,PHI,L (-4),,7:00,0,3,.000,2,3,.667,2,0,2,2,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
4,4,1968-11-01,27-202,CHI,@,LAL,W (+13),,10:00,1,3,.333,0,1,.000,4,0,0,2,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
5,5,1968-11-06,27-207,CHI,@,CIN,L (-11),,19:00,6,12,.500,2,6,.333,4,1,2,14,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
6,6,1968-11-07,27-208,CHI,,SEA,W (+15),,14:00,4,9,.444,2,4,.500,4,0,2,10,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
7,7,1968-11-09,27-210,CHI,,CIN,L (-6),,15:00,3,6,.500,0,1,.000,5,0,2,6,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
8,8,1968-11-12,27-213,CHI,,SDR,W (+7),,7:00,2,5,.400,1,1,1.000,2,0,2,5,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
9,9,1968-11-16,27-217,CHI,@,NYK,L (-22),,1:00,0,0,,0,0,,0,0,1,0,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
10,10,1968-11-19,27-220,CHI,,SFW,L (-12),,8:00,1,6,.167,0,0,,0,0,1,2,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
11,11,1968-12-03,27-234,BOS,@,MIL,W (+22),,,0,,,2,3,.667,,,0,2,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
12,12,1968-12-06,27-237,BOS,,DET,W (+14),,31:00,4,6,.667,6,7,.857,14,1,5,14,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
13,13,1968-12-07,27-238,BOS,@,CIN,W (+3),,,8,14,.571,4,5,.800,7,,5,20,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
14,14,1968-12-10,27-241,BOS,,BAL,L (-14),,27:00,6,12,.500,7,7,1.000,14,2,4,19,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
15,15,1968-12-11,27-242,BOS,@,DET,W (+2),,,4,,,2,2,1.000,,,2,10,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
16,16,1968-12-13,27-244,BOS,,SFW,L (-10),,24:00,2,8,.250,1,3,.333,2,0,4,5,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
17,17,1968-12-14,27-245,BOS,@,BAL,L (-9),,,1,,,1,2,.500,,,0,3,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
18,18,1968-12-18,27-249,BOS,,NYK,L (-6),,15:00,1,5,.200,2,3,.667,1,0,2,4,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
19,19,1968-12-21,27-252,BOS,@,CHI,W (+8),,7:00,1,2,.500,0,0,,1,0,2,2,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
20,20,1968-12-26,27-257,BOS,,MIL,W (+33),,19:00,5,9,.556,3,3,1.000,6,2,4,13,1969,barneji01,https://www.basketball-reference.com/players/b/barneji01/gamelog/1969
