Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1970-10-14,26-117,CIN,,NYK,L (-24),,7:00,1,3,.333,0,0,,1,1,0,2,1971,barrmo01,https://www.basketball-reference.com/players/b/barrmo01/gamelog/1971
2,2,1970-10-17,26-120,CIN,,PHI,L (-18),,,0,4,.000,0,0,,0,,1,0,1971,barrmo01,https://www.basketball-reference.com/players/b/barrmo01/gamelog/1971
3,3,1970-10-24,26-127,CIN,@,NYK,L (-12),,7:00,2,4,.500,0,0,,1,0,1,4,1971,barrmo01,https://www.basketball-reference.com/players/b/barrmo01/gamelog/1971
4,4,1970-10-26,26-129,CIN,,ATL,W (+19),,,2,4,.500,2,3,.667,2,,3,6,1971,barrmo01,https://www.basketball-reference.com/players/b/barrmo01/gamelog/1971
5,5,1970-10-28,26-131,CIN,,SEA,W (+13),,2:00,0,7,.000,0,0,,1,1,1,0,1971,barrmo01,https://www.basketball-reference.com/players/b/barrmo01/gamelog/1971
6,6,1970-11-10,26-144,CIN,@,POR,W (+17),0,4:00,1,2,.500,0,0,,1,2,2,2,1971,barrmo01,https://www.basketball-reference.com/players/b/barrmo01/gamelog/1971
7,7,1970-11-18,26-152,CIN,,CHI,L (-21),0,2:00,1,2,.500,2,2,1.000,0,1,0,4,1971,barrmo01,https://www.basketball-reference.com/players/b/barrmo01/gamelog/1971
8,8,1970-11-25,26-159,CIN,,SDR,L (-18),,2:00,1,1,1.000,0,0,,0,1,0,2,1971,barrmo01,https://www.basketball-reference.com/players/b/barrmo01/gamelog/1971
9,9,1970-12-05,26-169,CIN,,PHI,L (-25),,8:00,1,2,.500,2,2,1.000,1,1,4,4,1971,barrmo01,https://www.basketball-reference.com/players/b/barrmo01/gamelog/1971
10,10,1970-12-12,26-176,CIN,,CLE,W (+19),0,2:00,0,0,,0,0,,1,1,0,0,1971,barrmo01,https://www.basketball-reference.com/players/b/barrmo01/gamelog/1971
11,11,1970-12-18,26-182,CIN,@,CHI,L (-15),0,2:00,1,1,1.000,0,0,,0,0,0,2,1971,barrmo01,https://www.basketball-reference.com/players/b/barrmo01/gamelog/1971
