Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1989-11-03,22-204,SEA,,MIN,W (+12),0,7:00,1,2,.500,0,1,.000,0,0,,0,1,1,4,0,0,1,0,2,3.1,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
2,2,1989-11-04,22-205,SEA,@,SAC,L (-7),0,21:00,6,7,.857,3,3,1.000,2,2,1.000,0,1,1,4,1,0,1,0,17,17.6,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
3,3,1989-11-07,22-208,SEA,,CHH,W (+40),0,14:00,1,5,.200,1,2,.500,1,2,.500,0,2,2,0,0,0,1,2,4,-0.7,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
4,4,1989-11-09,22-210,SEA,@,MIL,L (-1),0,4:00,1,4,.250,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,1.6,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
5,5,1989-11-11,22-212,SEA,@,CHI,L (-7),0,10:00,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-0.7,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
6,6,1989-11-12,22-213,SEA,@,MIN,W (+11),0,1:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
7,7,1989-11-14,22-215,SEA,,DAL,L (-4),0,1:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
8,8,1989-11-16,22-217,SEA,,WSB,W (+13),0,34:00,10,17,.588,2,5,.400,3,3,1.000,0,3,3,6,1,0,0,1,25,22.8,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
9,9,1989-11-18,22-219,SEA,,CHI,W (+9),0,21:00,4,7,.571,3,3,1.000,0,0,,0,0,0,1,1,0,1,0,11,8.4,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
10,10,1989-11-19,22-220,SEA,@,POR,L (-10),0,26:00,5,16,.313,2,5,.400,1,4,.250,1,1,2,4,3,0,3,3,13,5.2,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
11,11,1989-11-21,22-222,SEA,,NJN,W (+30),0,11:00,1,3,.333,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,3,1.6,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
12,12,1989-11-24,22-225,SEA,@,DEN,L (-13),0,29:00,6,12,.500,2,6,.333,4,4,1.000,0,3,3,4,0,0,5,5,18,8.7,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
13,13,1989-11-25,22-226,SEA,@,DAL,W (+47),0,12:00,4,9,.444,3,7,.429,0,0,,0,4,4,3,0,0,0,0,11,9.6,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
14,14,1989-11-28,22-229,SEA,@,SAS,L (-13),0,10:00,2,3,.667,0,1,.000,0,0,,0,0,0,1,0,0,4,1,4,-1.0,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
15,15,1989-11-30,22-231,SEA,,NYK,W (+5),0,4:00,0,1,.000,0,0,,0,0,,1,2,3,1,1,0,0,0,0,2.3,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
16,16,1989-12-02,22-233,SEA,,DET,W (+25),0,7:00,1,6,.167,0,3,.000,0,0,,0,1,1,3,1,0,1,0,2,0.6,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
17,17,1989-12-09,22-240,SEA,,LAC,W (+4),0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
18,18,1989-12-13,22-244,SEA,@,BOS,L (-12),0,11:00,2,5,.400,1,2,.500,0,0,,0,0,0,2,0,0,1,0,5,2.7,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
19,19,1989-12-15,22-246,SEA,@,CLE,L (-19),0,8:00,2,6,.333,0,2,.000,1,2,.500,0,1,1,0,0,0,0,1,5,1.1,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
20,20,1989-12-16,22-247,SEA,@,NYK,L (-21),0,15:00,2,11,.182,0,3,.000,0,0,,0,1,1,2,1,0,0,1,4,-0.6,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
21,21,1989-12-19,22-250,SEA,@,DET,L (-17),0,6:00,2,3,.667,0,0,,2,2,1.000,0,2,2,1,0,0,1,1,6,4.6,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
22,22,1989-12-21,22-252,SEA,,POR,W (+21),0,5:00,0,3,.000,0,1,.000,0,0,,0,1,1,2,0,0,2,1,0,-2.8,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
23,23,1989-12-23,22-254,SEA,,IND,L (-3),0,4:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
24,24,1989-12-27,22-258,SEA,,PHI,W (+4),0,13:00,2,6,.333,1,3,.333,0,0,,0,0,0,1,0,0,0,0,5,2.3,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
25,25,1989-12-29,22-260,SEA,,BOS,L (-7),0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
26,26,1990-01-03,22-265,SEA,,UTA,L (-11),0,12:00,3,8,.375,0,2,.000,2,2,1.000,0,0,0,1,1,0,2,1,8,2.9,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
27,27,1990-01-05,22-267,SEA,,MIA,W (+30),0,20:00,8,15,.533,4,7,.571,2,2,1.000,0,0,0,2,1,0,1,0,22,16.1,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
28,28,1990-01-06,22-268,SEA,,PHO,W (+10),0,18:00,3,8,.375,1,4,.250,0,0,,0,1,1,3,2,0,1,3,7,4.8,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
29,29,1990-01-08,22-270,SEA,@,DAL,L (-14),0,20:00,1,12,.083,1,5,.200,0,0,,1,1,2,3,1,0,0,1,3,-1.3,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
30,30,1990-01-09,22-271,SEA,@,HOU,L (-7),0,9:00,3,4,.750,1,2,.500,0,0,,0,0,0,1,0,0,0,1,7,5.7,1990,barroda01,https://www.basketball-reference.com/players/b/barroda01/gamelog/1990
