Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1987-11-06,24-362,ATL,,WSB,W (+17),0,2:00,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,3.4,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
2,2,1987-11-07,24-363,ATL,,CLE,W (+8),0,14:00,6,10,.600,0,0,,3,3,1.000,2,0,2,1,1,0,2,2,15,10.7,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
3,3,1987-11-10,25-001,ATL,,CHI,L (-10),1,18:00,2,8,.250,0,0,,4,4,1.000,1,4,5,4,1,0,2,1,8,6.5,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
4,4,1987-11-11,25-002,ATL,@,NYK,W (+1),0,18:00,4,6,.667,0,1,.000,2,2,1.000,0,0,0,1,1,0,1,0,10,8.1,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
5,5,1987-11-14,25-005,ATL,,PHI,W (+21),0,20:00,3,8,.375,0,0,,1,2,.500,1,1,2,1,0,1,2,1,7,2.2,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
6,6,1987-11-15,25-006,ATL,@,MIL,L (-9),0,19:00,6,12,.500,0,1,.000,4,6,.667,0,1,1,2,0,0,2,1,16,8.5,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
7,7,1987-11-18,25-009,ATL,,GSW,W (+3),0,12:00,2,7,.286,0,1,.000,1,2,.500,0,1,1,2,0,0,1,1,5,0.8,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
8,8,1987-11-20,25-011,ATL,@,CHI,L (-2),0,14:00,3,7,.429,0,0,,0,4,.000,0,1,1,0,0,0,0,2,6,0.2,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
9,9,1987-11-21,25-012,ATL,,HOU,W (+10),0,24:00,8,14,.571,0,0,,2,2,1.000,2,2,4,5,4,0,3,2,18,17.1,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
10,10,1987-11-25,25-016,ATL,@,BOS,L (-15),0,17:00,6,13,.462,0,0,,4,4,1.000,0,1,1,1,1,0,1,1,16,9.9,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
11,11,1987-11-27,25-018,ATL,@,IND,L (-2),0,22:00,6,15,.400,0,1,.000,2,2,1.000,0,2,2,3,0,0,2,0,14,6.6,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
12,12,1987-11-28,25-019,ATL,,SAS,W (+24),0,23:00,7,9,.778,0,0,,0,0,,0,0,0,5,1,0,2,1,14,12.6,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
13,13,1987-12-01,25-022,ATL,,BOS,W (+14),0,15:00,4,8,.500,1,1,1.000,0,0,,0,0,0,2,1,0,0,1,9,7.0,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
14,14,1987-12-03,25-024,ATL,@,WSB,W (+8),0,17:00,2,4,.500,1,1,1.000,5,5,1.000,0,1,1,3,1,0,2,2,10,8.6,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
15,15,1987-12-04,25-025,ATL,,NJN,W (+37),0,26:00,8,12,.667,1,1,1.000,10,12,.833,0,2,2,3,0,1,0,0,27,24.4,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
16,16,1987-12-08,25-029,ATL,@,LAC,W (+11),0,18:00,7,12,.583,0,0,,1,2,.500,0,0,0,1,1,0,0,2,15,9.9,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
17,17,1987-12-09,25-030,ATL,@,PHO,L (-12),0,21:00,8,15,.533,1,2,.500,3,4,.750,3,1,4,3,0,0,2,1,20,14.4,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
18,18,1987-12-11,25-032,ATL,@,GSW,W (+16),0,22:00,5,9,.556,0,0,,2,2,1.000,0,3,3,3,0,0,0,2,12,9.9,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
19,19,1987-12-13,25-034,ATL,@,SAC,W (+6),0,13:00,3,9,.333,0,0,,0,0,,0,1,1,1,0,0,3,1,6,-1.5,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
20,20,1987-12-15,25-036,ATL,,IND,W (+2),0,33:00,5,10,.500,0,0,,7,8,.875,0,2,2,6,0,0,2,1,17,14.0,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
21,21,1987-12-18,25-039,ATL,@,MIL,W (+7),0,25:00,9,16,.563,0,3,.000,4,5,.800,0,3,3,5,0,0,0,2,22,17.6,1988,battljo01,https://www.basketball-reference.com/players/b/battljo01/gamelog/1988
