Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2013-10-29,33-245,LAL,,LAC,W (+13),1,22:25,2,3,.667,2,2,1.000,0,0,,1,1,2,1,1,0,0,1,6,7.0,-6,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
2,2,2013-10-30,33-246,LAL,@,GSW,L (-31),1,31:40,4,13,.308,2,3,.667,0,0,,0,3,3,4,2,0,2,1,10,5.8,-14,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
3,3,2013-11-01,33-248,LAL,,SAS,L (-6),1,31:38,2,12,.167,2,9,.222,0,0,,0,4,4,9,1,0,1,1,6,5.5,-8,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
4,4,2013-11-03,33-250,LAL,,ATL,W (+2),1,32:24,1,5,.200,1,4,.250,0,0,,1,4,5,7,0,0,0,1,3,6.3,-2,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
5,5,2013-11-05,33-252,LAL,@,DAL,L (-19),1,27:09,3,7,.429,3,7,.429,0,0,,0,0,0,1,0,0,2,1,9,3.6,-19,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
6,6,2013-11-07,33-254,LAL,@,HOU,W (+1),1,33:58,5,10,.500,4,6,.667,0,0,,0,3,3,2,0,0,0,4,14,9.7,+5,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
7,7,2013-11-08,33-255,LAL,@,NOP,L (-11),1,36:29,4,11,.364,2,5,.400,3,4,.750,0,3,3,8,0,0,5,0,13,8.0,-12,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
8,8,2013-11-10,33-257,LAL,,MIN,L (-23),1,34:42,7,11,.636,5,7,.714,0,0,,0,3,3,8,3,0,1,0,19,22.6,-14,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
9,9,2013-11-12,33-259,LAL,,NOP,W (+21),1,27:27,1,4,.250,1,2,.500,2,2,1.000,0,1,1,10,0,0,2,1,5,7.5,+17,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
10,10,2013-11-13,33-260,LAL,@,DEN,L (-12),1,33:47,5,11,.455,2,4,.500,3,5,.600,0,6,6,11,0,0,3,2,15,14.2,-9,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
11,11,2013-11-15,33-262,LAL,,MEM,L (-3),1,36:20,4,9,.444,1,4,.250,0,0,,0,7,7,10,2,0,1,2,9,13.6,-9,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
12,12,2013-11-17,33-264,LAL,,DET,W (+15),1,35:07,3,7,.429,1,3,.333,2,2,1.000,0,1,1,16,4,0,4,3,9,15.6,+2,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
13,13,2013-11-22,33-269,LAL,,GSW,W (+7),1,28:58,3,6,.500,2,3,.667,6,6,1.000,0,2,2,5,2,0,5,3,14,10.9,-14,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
14,14,2013-11-24,33-271,LAL,,SAC,W (+14),1,30:58,4,9,.444,1,4,.250,0,0,,0,5,5,12,0,1,2,1,9,12.5,+1,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
15,15,2013-11-26,33-273,LAL,@,WAS,L (-5),1,30:16,6,11,.545,2,5,.400,1,1,1.000,0,3,3,5,0,0,3,3,15,9.9,-14,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
16,16,2013-11-27,33-274,LAL,@,BRK,W (+5),1,29:10,3,8,.375,2,5,.400,1,2,.500,0,4,4,10,0,0,1,1,9,11.0,+1,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
17,17,2013-11-29,33-276,LAL,@,DET,W (+4),1,23:57,1,6,.167,0,4,.000,0,0,,0,4,4,10,1,0,5,2,2,1.6,-1,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
18,18,2013-12-01,33-278,LAL,,POR,L (-6),1,33:31,5,12,.417,3,7,.429,0,0,,1,1,2,9,0,0,3,2,13,10.1,-20,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
19,19,2013-12-06,33-283,LAL,@,SAC,W (+6),1,39:15,5,13,.385,2,9,.222,1,2,.500,0,3,3,10,1,0,4,2,13,9.6,+5,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
20,20,2013-12-08,33-285,LAL,,TOR,L (-12),1,30:18,1,6,.167,1,5,.200,0,0,,1,2,3,4,0,0,4,3,3,-1.9,-21,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
21,21,2013-12-10,33-287,LAL,,PHO,L (-6),1,39:13,3,7,.429,1,2,.500,2,2,1.000,0,5,5,10,2,0,4,1,9,11.4,+6,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
22,,2013-12-13,33-290,LAL,@,OKC,L (-25),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2014,blakest01,https://www.basketball-reference.com/players/b/blakest01/gamelog/2014
