Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2016-10-26,28-336,BRK,@,BOS,L (-5),1,24:23,4,5,.800,0,1,.000,0,0,,1,6,7,5,3,0,1,0,8,14.1,+5,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
2,2,2016-10-28,28-338,BRK,,IND,W (+9),1,26:55,5,11,.455,0,2,.000,0,0,,2,9,11,2,1,0,1,4,10,8.2,-10,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
3,3,2016-10-29,28-339,BRK,@,MIL,L (-2),1,30:30,4,8,.500,0,2,.000,6,6,1.000,1,13,14,1,1,2,0,2,14,16.9,+15,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
4,4,2016-10-31,28-341,BRK,,CHI,L (-30),1,19:15,2,7,.286,0,2,.000,1,2,.500,2,6,8,0,3,0,1,0,5,5.7,-8,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
5,5,2016-11-02,28-343,BRK,,DET,W (+8),1,29:56,2,6,.333,0,0,,0,0,,1,3,4,2,3,1,2,3,4,4.1,+8,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
6,6,2016-11-04,28-345,BRK,,CHO,L (-4),1,28:16,5,9,.556,0,1,.000,2,2,1.000,4,9,13,1,1,2,1,2,12,14.5,+4,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
7,7,2016-11-08,28-349,BRK,,MIN,W (+9),1,27:17,7,13,.538,0,1,.000,1,3,.333,0,9,9,1,3,1,1,3,15,12.8,+15,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
8,8,2016-11-09,28-350,BRK,@,NYK,L (-14),1,28:42,1,6,.167,0,0,,3,4,.750,1,5,6,2,3,0,1,2,5,5.6,-11,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
9,9,2016-11-12,28-353,BRK,@,PHO,W (+18),1,25:49,7,10,.700,1,1,1.000,4,4,1.000,4,4,8,4,0,1,0,2,19,21.5,+18,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
10,10,2016-11-14,28-355,BRK,@,LAC,L (-32),1,22:26,1,2,.500,0,0,,2,2,1.000,0,3,3,2,2,0,2,3,4,4.1,-19,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
11,11,2016-11-15,28-356,BRK,@,LAL,L (-7),1,28:48,5,8,.625,1,1,1.000,0,0,,3,7,10,3,1,2,2,4,11,12.5,-9,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
12,12,2016-11-18,28-359,BRK,@,OKC,L (-19),1,22:20,2,5,.400,0,1,.000,0,0,,0,4,4,1,1,0,2,1,4,1.8,-20,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
13,13,2016-11-20,28-361,BRK,,POR,L (-20),1,25:50,7,9,.778,2,2,1.000,0,0,,3,1,4,1,2,0,1,2,16,15.8,-4,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
14,14,2016-11-23,28-364,BRK,,BOS,L (-19),1,33:09,8,13,.615,1,2,.500,1,2,.500,5,7,12,3,4,0,3,3,18,19.2,-34,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
15,15,2016-11-25,29-000,BRK,@,IND,L (-21),1,27:34,5,8,.625,0,1,.000,0,1,.000,3,7,10,3,3,1,3,1,10,12.6,-8,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
16,16,2016-11-27,29-002,BRK,,SAC,L (-17),1,26:28,4,8,.500,0,0,,0,0,,1,7,8,5,1,0,1,4,8,8.7,-23,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
17,17,2016-11-29,29-004,BRK,,LAC,W (+5),1,41:37,7,13,.538,0,2,.000,1,1,1.000,3,9,12,5,3,0,2,4,15,16.4,+10,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
18,18,2016-12-01,29-006,BRK,,MIL,L (-18),1,27:11,4,7,.571,0,0,,1,1,1.000,5,3,8,2,2,0,3,4,9,8.9,-12,2017,booketr01,https://www.basketball-reference.com/players/b/booketr01/gamelog/2017
