Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2010-10-27,34-147,MIL,@,NOH,L (-4),0,2:06,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,0,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
2,2,2010-10-29,34-149,MIL,@,MIN,L (-11),0,14:31,1,2,.500,0,1,.000,0,0,,0,0,0,1,1,0,2,1,2,0.3,+7,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
3,3,2010-10-30,34-150,MIL,,CHA,W (+10),0,4:31,1,1,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,0,0,3,3.4,0,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
4,4,2010-11-02,34-153,MIL,,POR,L (-14),0,6:38,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,+4,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
5,,2010-11-03,34-154,MIL,@,BOS,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
6,,2010-11-05,34-156,MIL,@,IND,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
7,5,2010-11-06,34-157,MIL,,NOH,L (-6),0,7:52,2,3,.667,0,0,,0,0,,0,1,1,0,2,0,0,0,4,5.0,+1,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
8,6,2010-11-09,34-160,MIL,,NYK,W (+27),0,20:57,5,7,.714,0,0,,0,0,,0,0,0,3,2,0,2,2,10,8.4,+4,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
9,7,2010-11-10,34-161,MIL,@,ATL,W (+17),0,18:34,3,6,.500,0,0,,1,2,.500,0,2,2,8,1,0,0,0,7,10.8,+8,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
10,8,2010-11-13,34-164,MIL,,GSW,W (+7),0,4:51,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,0,0,-2.0,-2,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
11,9,2010-11-16,34-167,MIL,,LAL,L (-11),0,13:23,4,5,.800,0,0,,0,0,,0,1,1,2,0,0,0,1,8,7.4,-10,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
12,10,2010-11-19,34-170,MIL,@,PHI,L (-11),0,17:59,2,8,.250,0,1,.000,2,2,1.000,0,1,1,4,1,0,4,1,6,0.9,-4,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
13,,2010-11-20,34-171,MIL,,OKC,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
14,,2010-11-24,34-175,MIL,@,CLE,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
15,11,2010-11-26,34-177,MIL,@,DET,L (-14),0,8:36,1,3,.333,1,2,.500,0,0,,0,1,1,2,0,0,0,0,3,3.0,+5,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
16,12,2010-11-27,34-178,MIL,,CHA,W (+3),0,0:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
17,13,2010-11-29,34-180,MIL,@,UTA,L (-21),0,11:32,0,3,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,-0.7,-16,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
18,,2010-12-01,34-182,MIL,@,DEN,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
19,,2010-12-04,34-185,MIL,,ORL,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
20,14,2010-12-06,34-187,MIL,,MIA,L (-10),0,4:56,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+2,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
21,,2010-12-08,34-189,MIL,,IND,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
22,,2010-12-10,34-191,MIL,,HOU,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
23,,2010-12-13,34-194,MIL,@,DAL,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
24,15,2010-12-15,34-196,MIL,@,SAS,L (-2),0,5:23,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-0.4,-6,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
25,,2010-12-18,34-199,MIL,,UTA,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
26,16,2010-12-20,34-201,MIL,@,POR,L (-26),0,26:33,2,11,.182,1,4,.250,1,3,.333,1,0,1,3,3,0,1,1,6,2.7,-15,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
27,17,2010-12-21,34-202,MIL,@,LAL,W (+19),0,25:55,8,12,.667,4,5,.800,2,2,1.000,1,2,3,2,0,0,2,0,22,17.5,+11,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
28,18,2010-12-23,34-204,MIL,@,SAC,W (+5),0,29:03,9,17,.529,1,2,.500,0,0,,0,2,2,1,1,0,3,1,19,9.6,+14,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
29,19,2010-12-27,34-208,MIL,,ATL,L (-15),0,25:50,4,11,.364,0,2,.000,5,6,.833,0,0,0,2,1,0,4,1,13,4.5,-17,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
30,,2010-12-28,34-209,MIL,@,CHI,L (-13),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
31,20,2011-01-01,34-213,MIL,,DAL,W (+12),0,32:37,9,16,.563,1,5,.200,7,8,.875,0,3,3,6,0,0,3,0,26,20.1,+15,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
32,21,2011-01-04,34-216,MIL,@,MIA,L (-12),0,14:34,2,8,.250,0,2,.000,2,2,1.000,0,1,1,0,0,0,1,0,6,0.5,-9,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
33,22,2011-01-05,34-217,MIL,@,ORL,L (-10),0,25:01,4,14,.286,2,2,1.000,2,2,1.000,1,4,5,2,1,0,2,0,12,6.1,0,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
34,23,2011-01-07,34-219,MIL,,MIA,L (-6),0,27:21,5,11,.455,0,2,.000,4,4,1.000,1,1,2,4,0,0,5,5,14,5.1,-7,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
35,24,2011-01-08,34-220,MIL,@,NJN,W (+23),0,27:03,7,12,.583,1,4,.250,2,2,1.000,0,1,1,6,0,0,0,2,17,15.1,0,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
36,25,2011-01-12,34-224,MIL,,SAS,L (-7),0,20:25,4,10,.400,0,1,.000,4,4,1.000,0,1,1,2,0,0,1,1,12,6.9,-8,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
37,26,2011-01-14,34-226,MIL,@,PHI,L (-1),0,30:31,3,11,.273,1,4,.250,1,2,.500,3,1,4,11,3,0,0,3,8,13.0,+3,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
38,27,2011-01-17,34-229,MIL,@,HOU,L (-9),0,14:34,2,7,.286,0,0,,1,2,.500,0,1,1,6,0,0,0,2,5,4.2,+1,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
39,28,2011-01-19,34-231,MIL,,WAS,W (+13),0,30:48,5,10,.500,2,2,1.000,7,8,.875,0,3,3,4,2,0,1,0,19,18.3,+15,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
40,29,2011-01-21,34-233,MIL,@,CLE,W (+14),0,26:25,4,8,.500,0,2,.000,1,2,.500,0,1,1,4,2,1,0,2,9,9.6,+3,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
41,30,2011-01-22,34-234,MIL,,MEM,L (-13),0,36:00,8,22,.364,3,6,.500,4,4,1.000,1,2,3,3,4,1,2,1,23,16.5,-11,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
42,31,2011-01-24,34-236,MIL,@,CHI,L (-9),0,11:28,0,4,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-4.2,-9,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
43,32,2011-01-26,34-238,MIL,,ATL,W (+8),0,26:17,7,11,.636,0,0,,6,8,.750,0,1,1,3,0,0,0,1,20,16.3,+9,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
44,33,2011-01-28,34-240,MIL,@,TOR,W (+6),0,13:28,0,4,.000,0,1,.000,0,0,,1,0,1,2,0,0,0,1,0,-1.1,-6,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
45,,2011-01-29,34-241,MIL,,NJN,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
46,,2011-01-31,34-243,MIL,@,LAC,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
47,34,2011-02-02,34-245,MIL,@,PHO,L (-15),0,22:52,5,11,.455,0,2,.000,4,6,.667,0,1,1,4,2,0,1,1,14,11.2,0,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
48,,2011-02-03,34-246,MIL,@,GSW,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
49,35,2011-02-05,34-248,MIL,,DET,L (-11),0,8:49,2,5,.400,0,1,.000,2,2,1.000,0,0,0,1,0,0,0,1,6,3.6,-1,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
50,,2011-02-08,34-251,MIL,,TOR,W (+18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
51,36,2011-02-09,34-252,MIL,@,WAS,L (-15),0,1:10,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-3,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
52,,2011-02-11,34-254,MIL,@,MEM,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
53,37,2011-02-12,34-255,MIL,,IND,L (-6),0,11:06,4,7,.571,1,2,.500,2,2,1.000,1,2,3,4,1,0,1,0,11,11.8,+11,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
54,,2011-02-14,34-257,MIL,,LAC,W (+24),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
55,38,2011-02-16,34-259,MIL,,DEN,L (-7),0,20:52,2,6,.333,1,2,.500,0,0,,0,1,1,5,3,1,1,0,5,8.1,+18,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
56,39,2011-02-22,34-265,MIL,,MIN,W (+6),0,0:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
57,,2011-02-23,34-266,MIL,@,NYK,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
58,40,2011-02-26,34-269,MIL,,CHI,L (-8),0,12:00,4,5,.800,2,2,1.000,0,0,,0,0,0,1,0,0,0,0,10,8.8,+3,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
59,41,2011-03-01,34-272,MIL,,DET,W (+2),0,12:06,1,5,.200,0,1,.000,2,2,1.000,0,0,0,1,0,0,0,1,4,1.2,+7,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
60,42,2011-03-04,34-275,MIL,,PHO,L (-14),0,20:20,7,13,.538,0,2,.000,0,0,,1,1,2,3,2,0,2,2,14,10.0,+3,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
61,,2011-03-06,34-277,MIL,,BOS,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,boykiea01,https://www.basketball-reference.com/players/b/boykiea01/gamelog/2011
