Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1986-10-31,26-020,MIL,@,DET,W (+16),0,16:00,2,6,.333,0,0,,3,3,1.000,1,3,4,0,0,1,1,1,7,4.5,1987,breuera01,https://www.basketball-reference.com/players/b/breuera01/gamelog/1987
2,2,1986-11-01,26-021,MIL,,BOS,W (+6),0,25:00,7,11,.636,0,0,,1,2,.500,1,3,4,0,1,1,1,3,15,10.8,1987,breuera01,https://www.basketball-reference.com/players/b/breuera01/gamelog/1987
3,3,1986-11-04,26-024,MIL,@,ATL,L (-9),0,18:00,2,6,.333,0,0,,4,6,.667,1,5,6,0,0,2,1,3,8,5.2,1987,breuera01,https://www.basketball-reference.com/players/b/breuera01/gamelog/1987
4,4,1986-11-05,26-025,MIL,@,PHI,L (-6),0,14:00,1,5,.200,0,0,,0,0,,3,0,3,0,0,1,4,6,2,-4.7,1987,breuera01,https://www.basketball-reference.com/players/b/breuera01/gamelog/1987
5,5,1986-11-07,26-027,MIL,@,NJN,W (+21),0,15:00,2,4,.500,0,0,,4,6,.667,2,3,5,0,2,0,3,4,8,4.9,1987,breuera01,https://www.basketball-reference.com/players/b/breuera01/gamelog/1987
6,6,1986-11-08,26-028,MIL,,DET,W (+14),0,14:00,1,4,.250,0,0,,3,4,.750,2,0,2,0,0,0,1,1,5,2.2,1987,breuera01,https://www.basketball-reference.com/players/b/breuera01/gamelog/1987
7,7,1986-11-11,26-031,MIL,,IND,W (+8),0,23:00,4,5,.800,0,0,,0,0,,0,1,1,0,0,0,4,4,8,0.8,1987,breuera01,https://www.basketball-reference.com/players/b/breuera01/gamelog/1987
8,8,1986-11-12,26-032,MIL,@,BOS,L (-8),0,19:00,5,7,.714,0,0,,4,4,1.000,2,3,5,0,1,0,3,6,14,9.0,1987,breuera01,https://www.basketball-reference.com/players/b/breuera01/gamelog/1987
9,9,1986-11-14,26-034,MIL,,NYK,W (+3),0,20:00,0,1,.000,0,0,,4,6,.667,0,3,3,0,1,0,2,6,4,0.0,1987,breuera01,https://www.basketball-reference.com/players/b/breuera01/gamelog/1987
10,10,1986-11-15,26-035,MIL,@,IND,L (-1),0,26:00,6,10,.600,0,0,,0,0,,7,2,9,1,2,0,2,5,12,11.6,1987,breuera01,https://www.basketball-reference.com/players/b/breuera01/gamelog/1987
