Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
1,1,1976-10-22,24-324,CLE,,CHI,W (+11),1,38:00,7,14,.500,1,2,.500,5,3,8,3,1,0,3,15,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
2,2,1976-10-24,24-326,CLE,,LAL,W (+5),1,42:00,4,9,.444,3,4,.750,5,14,19,2,2,3,2,11,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
3,3,1976-10-28,24-330,CLE,,NYK,W (+24),1,31:00,4,6,.667,2,3,.667,0,4,4,0,2,0,3,10,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
4,4,1976-10-30,24-332,CLE,@,BUF,W (+4),1,39:00,6,15,.400,2,2,1.000,7,6,13,2,2,2,4,14,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
5,5,1976-10-31,24-333,CLE,,NOJ,W (+14),1,30:00,4,6,.667,2,4,.500,1,5,6,2,1,2,0,10,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
6,6,1976-11-01,24-334,CLE,@,NYN,W (+7),1,42:00,1,7,.143,1,3,.333,3,13,16,4,1,2,4,3,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
7,7,1976-11-04,24-337,CLE,,MIL,W (+8),1,38:00,4,7,.571,1,2,.500,1,10,11,2,1,2,1,9,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
8,8,1976-11-06,24-339,CLE,,NYN,W (+8),1,39:00,6,10,.600,0,0,,1,9,10,4,3,1,0,12,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
9,9,1976-11-07,24-340,CLE,@,ATL,L (-10),1,40:00,9,11,.818,2,3,.667,1,8,9,2,1,0,6,20,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
10,10,1976-11-09,24-342,CLE,@,MIL,W (+21),1,31:00,2,5,.400,0,2,.000,4,2,6,4,2,0,2,4,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
11,11,1976-11-10,24-343,CLE,@,DET,L (-11),1,29:00,2,9,.222,0,0,,4,6,10,5,0,1,3,4,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
12,12,1976-11-13,24-346,CLE,@,PHO,W (+13),1,42:00,7,9,.778,1,2,.500,3,7,10,3,0,2,2,15,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
13,13,1976-11-14,24-347,CLE,@,LAL,W (+2),1,30:00,3,7,.429,1,1,1.000,5,6,11,1,1,1,1,7,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
14,14,1976-11-17,24-350,CLE,@,SEA,L (-14),1,30:00,5,11,.455,4,6,.667,2,12,14,5,2,1,3,14,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
15,15,1976-11-21,24-354,CLE,@,NOJ,L (-5),1,32:00,1,6,.167,0,0,,6,5,11,0,2,0,4,2,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
16,16,1976-11-25,24-358,CLE,,DET,W (+6),1,37:00,0,3,.000,3,5,.600,4,8,12,4,1,0,4,3,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
17,17,1976-11-26,24-359,CLE,@,BOS,W (+16),1,37:00,2,10,.200,0,0,,5,8,13,4,0,0,2,4,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
18,18,1976-11-27,24-360,CLE,,PHI,W (+7),1,26:00,5,9,.556,0,3,.000,4,2,6,5,1,0,4,10,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
19,19,1976-11-30,24-363,CLE,,DEN,W (+6),1,30:00,6,10,.600,0,1,.000,4,7,11,4,4,1,3,12,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
20,20,1976-12-01,24-364,CLE,@,KCK,W (+7),1,40:00,7,13,.538,0,0,,3,6,9,6,1,2,1,14,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
21,21,1976-12-03,25-000,CLE,@,IND,L (-3),1,33:00,3,7,.429,4,4,1.000,3,6,9,3,1,1,6,10,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
22,22,1976-12-05,25-002,CLE,@,POR,L (-4),1,32:00,0,5,.000,1,2,.500,3,5,8,2,1,1,5,1,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
23,23,1976-12-07,25-004,CLE,@,GSW,L (-16),1,29:00,1,6,.167,0,0,,3,5,8,1,1,1,2,2,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
24,24,1976-12-09,25-006,CLE,@,DEN,L (-10),1,32:00,4,8,.500,0,0,,3,5,8,0,0,0,2,8,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
25,25,1976-12-11,25-008,CLE,,ATL,L (-1),1,37:00,3,7,.429,2,2,1.000,4,8,12,3,0,0,2,8,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
26,26,1976-12-16,25-013,CLE,,IND,W (+6),1,32:00,1,12,.083,0,2,.000,9,5,14,3,1,1,3,2,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
27,27,1976-12-18,25-015,CLE,@,NYK,L (-2),1,39:00,5,11,.455,0,0,,5,11,16,1,2,0,1,10,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
