Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1977-10-18,25-319,CLE,,CHI,L (-3),1,27:00,3,5,.600,2,5,.400,0,2,2,0,1,1,3,3,8,2.6,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
2,2,1977-10-20,25-321,CLE,@,NOJ,W (+3),1,32:00,4,7,.571,2,2,1.000,4,5,9,0,0,2,5,4,10,5.8,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
3,3,1977-10-22,25-323,CLE,@,ATL,L (-6),1,33:00,7,10,.700,6,8,.750,2,12,14,3,0,3,1,3,20,22.0,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
4,4,1977-10-25,25-326,CLE,@,NYK,W (+5),1,33:00,0,3,.000,2,4,.500,1,3,4,2,0,0,5,4,2,-4.5,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
5,5,1977-10-27,25-328,CLE,,KCK,L (-15),1,32:00,3,6,.500,0,0,,3,8,11,2,0,1,4,3,6,4.4,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
6,6,1977-10-29,25-330,CLE,,BOS,W (+5),1,36:00,4,8,.500,1,3,.333,1,4,5,3,0,0,2,2,9,5.4,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
7,7,1977-11-01,25-333,CLE,,DEN,W (+17),1,36:00,4,15,.267,0,0,,4,1,5,3,4,3,2,4,8,6.8,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
8,8,1977-11-02,25-334,CLE,@,BOS,W (+3),1,29:00,2,3,.667,0,4,.000,,,3,2,,0,,4,4,,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
9,9,1977-11-03,25-335,CLE,,MIL,W (+9),1,34:00,7,12,.583,0,2,.000,8,7,15,4,2,1,3,1,14,17.4,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
10,10,1977-11-05,25-337,CLE,,NJN,W (+12),1,33:00,2,6,.333,2,4,.500,2,5,7,1,1,2,1,2,6,6.0,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
