Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1949-11-03,26-186,AND,,TRI,W (+23),,,9,,,7,7,1.000,,,,25,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
2,2,1949-11-08,26-191,AND,,STB,W (+8),,,4,,,2,2,1.000,,,,10,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
3,3,1949-11-09,26-192,AND,,TRI,W (+3),,,6,,,1,5,.200,,,,13,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
4,4,1949-11-12,26-195,AND,,SYR,L (-15),,,2,,,4,5,.800,,,,8,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
5,5,1949-11-13,26-196,AND,@,WAT,W (+12),,,5,,,7,9,.778,,,,17,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
6,6,1949-11-15,26-198,AND,@,INO,W (+11),,,2,,,7,8,.875,,,,11,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
7,7,1949-11-19,26-202,AND,,MNL,W (+3),,,0,,,2,5,.400,,,1,2,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
8,8,1949-11-21,26-204,AND,,BOS,L (-14),,,0,,,8,8,1.000,,,,8,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
9,9,1949-11-24,26-207,AND,@,SYR,L (-2),,,5,,,8,8,1.000,,,6,18,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
10,10,1949-11-26,26-209,AND,,STB,W (+10),,,5,,,5,5,1.000,,,,15,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
11,11,1949-11-27,26-210,AND,@,SHE,W (+20),,,6,15,.400,5,7,.714,,2,4,17,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
12,12,1949-11-28,26-211,AND,,WAT,W (+14),,,10,,,3,4,.750,,,,23,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
13,13,1949-12-01,26-214,AND,,TRI,W (+9),,,6,,,1,2,.500,,,,13,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
14,14,1949-12-05,26-218,AND,,SHE,W (+7),,,5,,,7,8,.875,,,0,17,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
15,15,1949-12-08,26-221,AND,,INO,L (-3),,,8,,,2,3,.667,,,,18,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
16,16,1949-12-10,26-223,AND,@,WAT,W (+4),,,6,,,5,7,.714,,,4,17,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
17,17,1949-12-12,26-225,AND,,FTW,W (+8),,,8,,,11,12,.917,,,,27,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
18,18,1949-12-15,26-228,AND,,SYR,W (+12),,,7,,,7,8,.875,,,,21,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
19,19,1949-12-17,26-230,AND,@,SHE,L (-19),,,2,6,.333,6,7,.857,,0,3,10,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
20,20,1949-12-18,26-231,AND,@,TRI,W (+9),,,6,,,5,8,.625,,,,17,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
21,21,1949-12-19,26-232,AND,,NYK,L (-3),,,5,,,6,7,.857,,,,16,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
22,22,1949-12-22,26-235,AND,,WAT,W (+17),,,2,,,3,5,.600,,,,7,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
23,23,1949-12-25,26-238,AND,@,SYR,L (-6),,,3,,,5,5,1.000,,,1,11,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
24,24,1949-12-26,26-239,AND,,WSC,W (+7),,,7,,,3,4,.750,,,,17,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
25,25,1949-12-27,26-240,AND,@,INO,L (-7),,,4,,,7,7,1.000,,,,15,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
26,26,1949-12-29,26-242,AND,,CHS,L (-1),,,6,,,5,6,.833,,,1,17,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
27,27,1950-01-01,26-245,AND,@,MNL,L (-12),,,8,14,.571,14,15,.933,,6,3,30,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
28,28,1950-01-02,26-246,AND,,BLB,W (+17),,,10,,,2,3,.667,,,,22,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
29,29,1950-01-04,26-248,AND,@,DNN,L (-4),,,2,,,3,4,.750,,,,7,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
30,30,1950-01-05,26-249,AND,@,DNN,L (-7),,,2,,,3,8,.375,,,,7,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
31,31,1950-01-09,26-253,AND,,SHE,W (+23),,,8,,,9,9,1.000,,,2,25,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
32,32,1950-01-11,26-255,AND,@,TRI,L (-7),,,4,,,11,12,.917,,,,19,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
33,33,1950-01-12,26-256,AND,,WAT,W (+11),,,4,,,7,9,.778,,,,15,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
34,34,1950-01-15,26-259,AND,@,SHE,L (-5),,,4,12,.333,3,3,1.000,,2,6,11,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
35,35,1950-01-16,26-260,AND,,DNN,W (+12),,,4,,,8,9,.889,,,,16,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
36,36,1950-01-19,26-263,AND,,ROC,L (-3),,,10,,,9,9,1.000,,,,29,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
37,37,1950-01-21,26-265,AND,@,ROC,L (-16),,,8,,,9,10,.900,,,,25,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
38,38,1950-01-22,26-266,AND,@,SYR,W (+2),,,5,,,9,11,.818,,,,19,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
39,39,1950-01-23,26-267,AND,,TRI,L (-3),,,9,,,10,12,.833,,,,28,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
40,40,1950-01-26,26-270,AND,,DNN,W (+34),,,11,,,7,8,.875,,,,29,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
41,41,1950-01-27,26-271,AND,,INO,L (-13),,,8,,,11,13,.846,,,,27,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
42,42,1950-01-30,26-274,AND,,SHE,W (+17),,,5,,,6,7,.857,,,1,16,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
43,43,1950-02-01,26-276,AND,@,WAT,W (+13),,,7,,,2,3,.667,,,,16,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
44,44,1950-02-03,26-278,AND,@,BOS,L (-8),,,11,,,11,11,1.000,,,,33,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
45,45,1950-02-04,26-279,AND,@,BLB,L (-20),,,2,,,1,1,1.000,,,,5,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
46,46,1950-02-05,26-280,AND,@,FTW,L (-10),,,3,,,11,14,.786,,,2,17,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
47,47,1950-02-06,26-281,AND,,PHW,W (+2),,,8,25,.320,9,13,.692,,3,1,25,1950,brianfr01,https://www.basketball-reference.com/players/b/brianfr01/gamelog/1950
