Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,23-054,PHO,,SAC,W (+29),0,23:12,1,4,.250,0,2,.000,3,4,.750,0,3,3,1,3,0,0,2,5,6.0,+19,2020,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2020
2,2,2019-10-25,23-056,PHO,@,DEN,L (-1),0,12:34,1,2,.500,0,0,,0,0,,0,4,4,0,0,0,0,0,2,2.2,+6,2020,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2020
3,3,2019-10-26,23-057,PHO,,LAC,W (+8),0,25:33,3,5,.600,1,3,.333,0,1,.000,1,3,4,0,0,0,1,4,7,3.3,-2,2020,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2020
4,4,2019-10-28,23-059,PHO,,UTA,L (-1),0,15:31,0,1,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,0,0,1.3,+8,2020,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2020
5,5,2019-10-30,23-061,PHO,@,GSW,W (+11),0,15:26,1,3,.333,0,1,.000,1,1,1.000,0,1,1,2,2,0,1,0,3,4.0,-5,2020,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2020
6,6,2019-11-02,23-064,PHO,@,MEM,W (+9),0,19:22,5,6,.833,0,0,,0,0,,0,6,6,2,4,0,2,3,10,11.8,-7,2020,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2020
7,7,2019-11-04,23-066,PHO,,PHI,W (+5),0,25:17,2,3,.667,0,0,,2,2,1.000,0,3,3,1,2,0,1,3,6,6.1,+2,2020,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2020
8,8,2019-11-07,23-069,PHO,,MIA,L (-16),0,20:10,2,8,.250,1,4,.250,0,0,,3,4,7,0,0,0,0,2,5,2.7,-28,2020,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2020
9,9,2019-11-10,23-072,PHO,,BRK,W (+26),0,26:24,2,7,.286,1,3,.333,0,0,,1,5,6,2,2,1,1,0,5,6.2,-8,2020,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2020
10,10,2019-11-12,23-074,PHO,,LAL,L (-8),0,14:51,1,3,.333,0,1,.000,1,2,.500,0,1,1,1,1,3,0,1,3,4.6,+2,2020,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2020
11,11,2019-11-14,23-076,PHO,,ATL,W (+16),0,14:22,1,4,.250,1,2,.500,0,2,.000,1,4,5,2,1,0,0,5,3,2.1,+8,2020,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2020
12,12,2019-11-18,23-080,PHO,,BOS,L (-14),0,14:49,3,4,.750,0,1,.000,0,0,,1,1,2,0,1,0,0,1,6,6.0,-1,2020,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2020
13,13,2019-11-19,23-081,PHO,@,SAC,L (-4),0,25:49,6,9,.667,1,3,.333,7,7,1.000,2,3,5,0,2,0,0,2,20,19.6,+12,2020,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2020
