Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2009-10-28,22-222,SAC,@,OKC,L (-13),0,5:33,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,4,3.3,+3,2010,brockjo01,https://www.basketball-reference.com/players/b/brockjo01/gamelog/2010
2,2,2009-10-30,22-224,SAC,@,NOH,L (-5),0,19:03,2,4,.500,0,0,,1,5,.200,5,5,10,1,0,0,0,4,5,5.5,-3,2010,brockjo01,https://www.basketball-reference.com/players/b/brockjo01/gamelog/2010
3,3,2009-10-31,22-225,SAC,@,SAS,L (-19),0,10:16,1,2,.500,0,0,,0,2,.000,2,1,3,0,0,0,0,1,2,1.5,-10,2010,brockjo01,https://www.basketball-reference.com/players/b/brockjo01/gamelog/2010
4,4,2009-11-02,22-227,SAC,,MEM,W (+11),0,6:08,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,+1,2010,brockjo01,https://www.basketball-reference.com/players/b/brockjo01/gamelog/2010
5,5,2009-11-04,22-229,SAC,,ATL,L (-8),0,1:46,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-0.8,-5,2010,brockjo01,https://www.basketball-reference.com/players/b/brockjo01/gamelog/2010
6,,2009-11-07,22-232,SAC,@,UTA,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2010,brockjo01,https://www.basketball-reference.com/players/b/brockjo01/gamelog/2010
7,6,2009-11-08,22-233,SAC,,GSW,W (+13),0,4:48,1,1,1.000,0,0,,0,0,,2,1,3,0,0,0,1,2,2,1.6,-12,2010,brockjo01,https://www.basketball-reference.com/players/b/brockjo01/gamelog/2010
8,,2009-11-10,22-235,SAC,,OKC,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2010,brockjo01,https://www.basketball-reference.com/players/b/brockjo01/gamelog/2010
9,7,2009-11-13,22-238,SAC,,HOU,W (+9),0,12:08,1,2,.500,0,0,,2,2,1.000,2,2,4,1,0,0,1,2,4,3.9,+3,2010,brockjo01,https://www.basketball-reference.com/players/b/brockjo01/gamelog/2010
10,8,2009-11-17,22-242,SAC,,CHI,L (-14),0,0:51,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+2,2010,brockjo01,https://www.basketball-reference.com/players/b/brockjo01/gamelog/2010
