Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2008-10-29,26-233,DET,,IND,W (+6),0,3:04,0,2,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-0.4,+3,2009,brownkw01,https://www.basketball-reference.com/players/b/brownkw01/gamelog/2009
2,2,2008-11-01,26-236,DET,,WAS,W (+8),0,7:44,4,4,1.000,0,0,,0,0,,0,1,1,0,0,0,2,2,8,4.3,-5,2009,brownkw01,https://www.basketball-reference.com/players/b/brownkw01/gamelog/2009
3,3,2008-11-03,26-238,DET,@,CHA,W (+18),0,16:54,1,6,.167,0,0,,1,2,.500,4,5,9,2,2,1,0,2,3,6.4,+1,2009,brownkw01,https://www.basketball-reference.com/players/b/brownkw01/gamelog/2009
4,4,2008-11-05,26-240,DET,@,TOR,W (+7),0,17:47,1,4,.250,0,0,,1,1,1.000,1,3,4,0,0,0,0,1,3,1.8,+7,2009,brownkw01,https://www.basketball-reference.com/players/b/brownkw01/gamelog/2009
5,5,2008-11-07,26-242,DET,@,NJN,L (-7),0,13:59,1,1,1.000,0,0,,0,4,.000,2,1,3,0,0,0,0,2,2,1.0,-1,2009,brownkw01,https://www.basketball-reference.com/players/b/brownkw01/gamelog/2009
6,6,2008-11-09,26-244,DET,,BOS,L (-12),0,12:02,0,1,.000,0,0,,2,4,.500,1,1,2,1,0,1,1,3,2,0.7,-10,2009,brownkw01,https://www.basketball-reference.com/players/b/brownkw01/gamelog/2009
7,7,2008-11-11,26-246,DET,@,SAC,W (+8),0,16:24,2,4,.500,0,0,,1,3,.333,1,0,1,0,0,2,1,2,5,2.5,+5,2009,brownkw01,https://www.basketball-reference.com/players/b/brownkw01/gamelog/2009
8,8,2008-11-13,26-248,DET,@,GSW,W (+5),1,9:24,1,3,.333,0,0,,0,0,,2,1,3,0,0,1,1,2,2,0.9,-8,2009,brownkw01,https://www.basketball-reference.com/players/b/brownkw01/gamelog/2009
9,9,2008-11-14,26-249,DET,@,LAL,W (+11),1,28:26,4,5,.800,0,0,,2,3,.667,1,9,10,3,1,1,2,3,10,11.7,+11,2009,brownkw01,https://www.basketball-reference.com/players/b/brownkw01/gamelog/2009
10,10,2008-11-16,26-251,DET,@,PHO,L (-18),1,20:31,4,4,1.000,0,0,,2,4,.500,1,2,3,0,0,1,0,4,10,8.4,-1,2009,brownkw01,https://www.basketball-reference.com/players/b/brownkw01/gamelog/2009
