Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2017-10-18,22-250,MIL,@,BOS,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
2,1,2017-10-20,22-252,MIL,,CLE,L (-19),0,5:43,1,3,.333,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,1.3,-4,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
3,,2017-10-21,22-253,MIL,,POR,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
4,,2017-10-23,22-255,MIL,,CHO,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
5,,2017-10-26,22-258,MIL,,BOS,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
6,2,2017-10-29,22-261,MIL,@,ATL,W (+11),0,0:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
7,3,2017-10-31,22-263,MIL,,OKC,L (-19),0,9:52,1,2,.500,0,1,.000,0,0,,0,2,2,2,1,0,1,2,2,2.2,+9,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
8,,2017-11-01,22-264,MIL,@,CHO,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
9,,2017-11-03,22-266,MIL,@,DET,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
10,,2017-11-07,22-270,MIL,@,CLE,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
11,,2017-11-10,22-273,MIL,@,SAS,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
12,,2017-11-11,22-274,MIL,,LAL,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
13,,2017-11-13,22-276,MIL,,MEM,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
14,,2017-11-15,22-278,MIL,,DET,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
15,,2017-11-18,22-281,MIL,@,DAL,L (-32),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
16,,2017-11-20,22-283,MIL,,WAS,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
17,4,2017-11-22,22-285,MIL,@,PHO,W (+6),0,5:16,1,4,.250,0,1,.000,0,0,,2,0,2,0,0,0,0,0,2,1.0,-2,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
18,5,2017-11-25,22-288,MIL,@,UTA,L (-13),0,7:25,1,3,.333,0,1,.000,0,0,,0,1,1,0,1,0,0,2,2,0.8,-2,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
19,,2017-11-28,22-291,MIL,@,SAC,W (+25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
20,,2017-11-30,22-293,MIL,@,POR,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
21,,2017-12-02,22-295,MIL,,SAC,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
22,,2017-12-04,22-297,MIL,@,BOS,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
23,,2017-12-06,22-299,MIL,,DET,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,brownst02,https://www.basketball-reference.com/players/b/brownst02/gamelog/2018
