Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1994-11-16,26-150,CHI,@,SAS,W (+2),0,9:00,2,4,.500,0,0,,0,0,,0,2,2,0,0,0,0,0,4,2.6,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
2,2,1994-11-17,26-151,CHI,@,HOU,L (-23),0,11:00,2,4,.500,0,1,.000,0,0,,4,1,5,0,0,0,1,0,4,4.1,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
3,3,1994-11-19,26-153,CHI,@,DAL,W (+26),0,10:00,3,3,1.000,0,0,,0,0,,0,1,1,2,0,1,0,1,6,7.1,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
4,4,1994-11-22,26-156,CHI,@,LAC,W (+12),0,15:00,2,3,.667,0,0,,0,0,,1,3,4,3,1,0,0,0,4,7.4,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
5,5,1994-11-23,26-157,CHI,@,DEN,L (-2),0,13:00,2,4,.500,2,2,1.000,0,0,,0,1,1,0,0,0,1,3,6,2.1,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
6,6,1994-11-25,26-159,CHI,@,UTA,L (-30),0,11:00,1,1,1.000,0,0,,2,2,1.000,0,2,2,2,0,1,3,1,4,3.0,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
7,7,1994-11-30,26-164,CHI,,PHO,W (+13),0,7:00,3,4,.750,0,1,.000,0,0,,0,0,0,0,1,0,0,0,6,5.4,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
8,8,1994-12-02,26-166,CHI,,ATL,L (-11),0,6:00,2,3,.667,0,0,,0,0,,0,1,1,1,0,0,1,2,4,1.9,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
9,9,1994-12-03,26-167,CHI,,BOS,W (+16),0,18:00,6,11,.545,3,5,.600,2,4,.500,0,0,0,1,0,0,1,2,17,9.8,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
10,10,1994-12-05,26-169,CHI,,NJN,L (-5),0,3:00,0,2,.000,0,1,.000,0,2,.000,0,0,0,0,0,0,0,2,0,-3.0,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
11,11,1994-12-09,26-173,CHI,@,DET,W (+21),0,8:00,1,2,.500,0,0,,0,2,.000,0,0,0,0,1,0,0,1,2,0.8,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
12,12,1994-12-10,26-174,CHI,@,MIL,L (-3),0,2:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
13,13,1994-12-13,26-177,CHI,,DET,W (+20),0,13:00,0,3,.000,0,1,.000,0,0,,1,1,2,2,1,0,0,0,0,1.3,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
14,14,1994-12-16,26-180,CHI,@,ATL,W (+5),0,6:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,0,1,2,2.3,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
15,15,1994-12-17,26-181,CHI,,UTA,L (-8),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
16,16,1994-12-19,26-183,CHI,,CLE,L (-14),0,12:00,1,5,.200,0,2,.000,0,0,,1,1,2,1,2,0,1,1,2,1.2,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
17,17,1994-12-21,26-185,CHI,@,IND,L (-8),0,14:00,1,2,.500,0,0,,1,2,.500,0,1,1,1,1,0,0,1,3,3.2,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
18,18,1994-12-23,26-187,CHI,,IND,W (+24),0,12:00,4,5,.800,1,2,.500,3,4,.750,1,1,2,0,1,0,0,1,12,11.3,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
19,19,1994-12-27,26-191,CHI,,LAC,L (-3),0,18:00,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,3,0,-1.3,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
20,20,1994-12-28,26-192,CHI,@,BOS,W (+8),0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
21,21,1994-12-30,26-194,CHI,,MIA,W (+45),0,16:00,2,4,.500,1,2,.500,1,2,.500,1,1,2,3,1,0,1,0,6,6.7,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
22,22,1995-01-04,26-199,CHI,,DEN,W (+6),0,6:00,1,1,1.000,0,0,,0,0,,0,1,1,1,1,1,1,0,2,3.4,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
23,23,1995-01-06,26-201,CHI,,SEA,L (-7),0,12:00,0,2,.000,0,0,,1,2,.500,1,3,4,0,0,0,1,1,1,-0.6,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
24,24,1995-01-07,26-202,CHI,@,CLE,L (-14),0,13:00,1,1,1.000,0,0,,0,0,,1,2,3,1,0,0,0,0,2,3.7,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
25,25,1995-01-10,26-205,CHI,,ORL,W (+32),0,4:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
26,26,1995-01-11,26-206,CHI,@,PHI,W (+38),0,7:00,1,1,1.000,0,0,,0,0,,1,2,3,1,0,0,0,0,2,3.7,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
27,27,1995-01-14,26-209,CHI,@,CHH,L (-11),0,13:00,2,2,1.000,0,0,,0,0,,1,0,1,1,0,0,1,0,4,3.8,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
28,28,1995-01-20,26-215,CHI,,MIN,W (+7),0,9:00,2,3,.667,0,0,,0,0,,0,1,1,1,0,0,0,1,4,3.3,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
29,29,1995-01-22,26-217,CHI,,HOU,W (+19),0,8:00,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,0,2,2,0.8,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
30,30,1995-01-24,26-219,CHI,,SAS,L (-2),0,38:00,6,15,.400,2,5,.400,2,2,1.000,4,1,5,3,1,2,1,0,16,14.5,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
31,31,1995-01-26,26-221,CHI,@,ORL,L (-3),0,28:00,5,8,.625,0,1,.000,1,2,.500,2,0,2,2,0,1,2,3,11,7.3,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
32,32,1995-01-29,26-224,CHI,,GSW,W (+22),0,19:00,3,6,.500,1,1,1.000,2,2,1.000,0,3,3,1,0,0,2,5,9,3.6,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
33,33,1995-01-31,26-226,CHI,@,LAL,W (+4),0,7:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
34,34,1995-02-02,26-228,CHI,@,SAC,L (-20),0,10:00,0,3,.000,0,3,.000,0,0,,1,1,2,1,1,0,0,3,0,-0.6,1995,buechju01,https://www.basketball-reference.com/players/b/buechju01/gamelog/1995
