Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2016-10-26,25-224,DET,@,TOR,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
2,,2016-10-28,25-226,DET,,ORL,W (+26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
3,,2016-10-30,25-228,DET,,MIL,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
4,,2016-11-01,25-230,DET,,NYK,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
5,,2016-11-02,25-231,DET,@,BRK,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
6,,2016-11-05,25-234,DET,,DEN,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
7,,2016-11-07,25-236,DET,@,LAC,L (-32),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
8,,2016-11-09,25-238,DET,@,PHO,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
9,,2016-11-11,25-240,DET,@,SAS,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
10,,2016-11-12,25-241,DET,@,DEN,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
11,,2016-11-14,25-243,DET,,OKC,W (+16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
12,,2016-11-16,25-245,DET,@,NYK,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
13,1,2016-11-18,25-247,DET,@,CLE,L (-23),0,8:01,2,4,.500,1,3,.333,0,0,,0,0,0,0,0,0,1,0,5,2.0,+4,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
14,2,2016-11-19,25-248,DET,,BOS,L (-2),0,20:22,2,5,.400,1,2,.500,0,0,,1,2,3,1,1,2,0,0,5,6.7,+8,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
15,3,2016-11-21,25-250,DET,,HOU,L (-3),0,10:01,3,5,.600,0,1,.000,0,0,,2,0,2,0,0,0,0,0,6,5.1,+1,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
16,4,2016-11-23,25-252,DET,,MIA,W (+23),0,3:17,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-7,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
17,,2016-11-25,25-254,DET,,LAC,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
18,,2016-11-26,25-255,DET,@,OKC,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
19,,2016-11-29,25-258,DET,@,CHO,W (+23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
20,,2016-11-30,25-259,DET,@,BOS,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
21,,2016-12-02,25-261,DET,@,ATL,W (+36),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,bullore01,https://www.basketball-reference.com/players/b/bullore01/gamelog/2017
