Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2021-10-20,21-056,UTA,,OKC,W (+21),0,8:45,0,5,.000,0,4,.000,0,0,,0,1,1,1,0,0,1,1,0,-3.9,+1,2022,butleja02,https://www.basketball-reference.com/players/b/butleja02/gamelog/2022
2,2,2021-10-22,21-058,UTA,@,SAC,W (+9),0,2:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,2022,butleja02,https://www.basketball-reference.com/players/b/butleja02/gamelog/2022
3,3,2021-10-26,21-062,UTA,,DEN,W (+12),0,1:50,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-0.8,-3,2022,butleja02,https://www.basketball-reference.com/players/b/butleja02/gamelog/2022
4,4,2021-10-28,21-064,UTA,@,HOU,W (+31),0,14:13,1,3,.333,1,3,.333,1,2,.500,0,4,4,3,0,2,2,3,4,3.4,+18,2022,butleja02,https://www.basketball-reference.com/players/b/butleja02/gamelog/2022
5,5,2021-10-30,21-066,UTA,@,CHI,L (-8),0,9:11,0,3,.000,0,1,.000,0,0,,0,1,1,1,0,1,2,2,0,-3.2,-16,2022,butleja02,https://www.basketball-reference.com/players/b/butleja02/gamelog/2022
6,6,2021-10-31,21-067,UTA,@,MIL,W (+12),0,3:03,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,0,0,1.4,+3,2022,butleja02,https://www.basketball-reference.com/players/b/butleja02/gamelog/2022
7,7,2021-11-02,21-069,UTA,,SAC,W (+6),0,3:08,1,3,.333,0,2,.000,1,2,.500,0,0,0,0,0,0,0,1,3,0.5,0,2022,butleja02,https://www.basketball-reference.com/players/b/butleja02/gamelog/2022
8,8,2021-11-04,21-071,UTA,@,ATL,W (+18),0,2:07,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,5,3.4,-3,2022,butleja02,https://www.basketball-reference.com/players/b/butleja02/gamelog/2022
9,,2021-11-06,21-073,UTA,@,MIA,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,butleja02,https://www.basketball-reference.com/players/b/butleja02/gamelog/2022
10,,2021-11-07,21-074,UTA,@,ORL,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,butleja02,https://www.basketball-reference.com/players/b/butleja02/gamelog/2022
