Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2020-12-23,31-100,MIA,@,ORL,L (-6),1,35:42,7,15,.467,0,0,,5,5,1.000,1,2,3,7,7,0,6,1,19,18.1,-5,2021,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2021
2,2,2020-12-25,31-102,MIA,,NOP,W (+13),1,16:13,2,7,.286,0,1,.000,0,0,,3,3,6,5,1,0,1,0,4,6.4,-8,2021,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2021
3,,2020-12-29,31-106,MIA,,MIL,L (-47),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2021
4,,2020-12-30,31-107,MIA,,MIL,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2021
5,3,2021-01-01,31-109,MIA,@,DAL,L (-10),1,26:49,0,6,.000,0,0,,2,3,.667,1,2,3,2,2,0,3,1,2,-1.3,-18,2021,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2021
6,4,2021-01-04,31-112,MIA,,OKC,W (+28),1,25:42,6,12,.500,0,2,.000,6,6,1.000,0,3,3,6,1,0,0,1,18,17.7,+17,2021,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2021
7,5,2021-01-06,31-114,MIA,,BOS,L (-2),1,33:08,9,19,.474,0,3,.000,8,9,.889,2,6,8,3,0,3,1,0,26,22.3,+8,2021,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2021
8,6,2021-01-09,31-117,MIA,@,WAS,W (+4),1,36:01,10,18,.556,0,1,.000,6,6,1.000,3,7,10,9,2,1,0,1,26,30.2,+11,2021,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2021
9,,2021-01-12,31-120,MIA,@,PHI,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2021
10,,2021-01-14,31-122,MIA,@,PHI,L (-17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2021
11,,2021-01-16,31-124,MIA,,DET,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2021
12,,2021-01-18,31-126,MIA,,DET,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2021
13,,2021-01-20,31-128,MIA,@,TOR,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2021
14,,2021-01-22,31-130,MIA,@,TOR,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2021
