Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1.0,2001-12-14,30-364,POR,@,UTA,L (-8),0,13:00,1,3,.333,0,0,,3,3,1.000,0,0,0,0,0,0,0,2,5,2.5,-1,2002,butlemi02,https://www.basketball-reference.com/players/b/butlemi02/gamelog/2002
2,2.0,2001-12-15,31-000,POR,,ORL,W (+11),0,8:54,0,1,.000,0,0,,0,0,,0,1,1,2,0,1,0,2,0,0.9,-3,2002,butlemi02,https://www.basketball-reference.com/players/b/butlemi02/gamelog/2002
3,3.0,2001-12-18,31-003,POR,@,HOU,W (+9),0,7:42,1,1,1.000,0,0,,0,1,.000,1,1,2,0,0,0,0,1,2,1.9,-7,2002,butlemi02,https://www.basketball-reference.com/players/b/butlemi02/gamelog/2002
4,4.0,2001-12-19,31-004,POR,@,SAS,L (-18),0,7:11,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,0,2,1.0,-6,2002,butlemi02,https://www.basketball-reference.com/players/b/butlemi02/gamelog/2002
5,5.0,2001-12-21,31-006,POR,,DET,W (+2),0,4:46,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-0.8,-3,2002,butlemi02,https://www.basketball-reference.com/players/b/butlemi02/gamelog/2002
6,6.0,2001-12-22,31-007,POR,@,PHO,L (-12),0,4:03,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4,2002,butlemi02,https://www.basketball-reference.com/players/b/butlemi02/gamelog/2002
7,7.0,2001-12-26,31-011,POR,@,SAC,L (-15),0,6:07,2,2,1.000,1,1,1.000,0,2,.000,1,0,1,0,0,0,0,0,5,4.3,+1,2002,butlemi02,https://www.basketball-reference.com/players/b/butlemi02/gamelog/2002
8,,2001-12-27,31-012,POR,,UTA,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2002,butlemi02,https://www.basketball-reference.com/players/b/butlemi02/gamelog/2002
9,8.0,2002-04-11,31-117,POR,@,MEM,L (-3),0,12:12,4,4,1.000,0,0,,0,0,,1,0,1,1,0,0,2,1,8,5.8,0,2002,butlemi02,https://www.basketball-reference.com/players/b/butlemi02/gamelog/2002
10,9.0,2002-04-12,31-118,POR,@,HOU,W (+1),0,0:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0,2002,butlemi02,https://www.basketball-reference.com/players/b/butlemi02/gamelog/2002
11,10.0,2002-04-14,31-120,POR,,LAL,W (+8),0,4:15,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1.2,-6,2002,butlemi02,https://www.basketball-reference.com/players/b/butlemi02/gamelog/2002
12,11.0,2002-04-17,31-123,POR,,HOU,W (+13),0,21:08,1,8,.125,0,2,.000,5,6,.833,2,3,5,2,0,0,2,0,7,3.1,+2,2002,butlemi02,https://www.basketball-reference.com/players/b/butlemi02/gamelog/2002
