Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1.0,2006-03-19,23-074,GSW,,PHI,W (+9),0,4:07,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,-2,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
2,2.0,2006-03-21,23-076,GSW,@,SAS,L (-11),0,0:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,+2,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
3,3.0,2006-03-23,23-078,GSW,@,DAL,W (+1),0,14:16,2,4,.500,0,0,,0,1,.000,0,0,0,3,2,0,1,1,4,4.3,+6,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
4,4.0,2006-03-26,23-081,GSW,@,SAC,W (+7),0,9:28,0,4,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,1,0,-3.5,-10,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
5,5.0,2006-03-27,23-082,GSW,,WAS,L (-18),0,3:53,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-1.1,-4,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
6,6.0,2006-03-29,23-084,GSW,,NOK,L (-1),0,6:14,0,2,.000,0,1,.000,0,0,,1,0,1,0,1,0,0,0,0,0.3,-8,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
7,,2006-03-31,23-086,GSW,,SAC,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
8,7.0,2006-04-02,23-088,GSW,@,MIN,L (-2),0,4:20,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,1.0,-3,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
9,8.0,2006-04-04,23-090,GSW,@,MEM,L (-25),0,9:08,0,2,.000,0,1,.000,0,0,,0,1,1,3,0,0,1,1,0,-0.4,-15,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
10,,2006-04-05,23-091,GSW,@,NOK,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
11,,2006-04-07,23-093,GSW,,HOU,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
12,9.0,2006-04-08,23-094,GSW,@,DEN,L (-3),0,13:34,2,4,.500,0,0,,0,0,,0,2,2,2,0,0,0,1,4,3.6,-3,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
13,10.0,2006-04-11,23-097,GSW,@,LAL,L (-11),0,15:58,3,6,.500,0,0,,2,2,1.000,0,1,1,1,0,0,2,1,8,3.6,-2,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
14,11.0,2006-04-12,23-098,GSW,,DAL,W (+12),0,11:48,1,4,.250,0,0,,0,0,,0,2,2,2,1,0,0,0,2,2.6,+9,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
15,12.0,2006-04-14,23-100,GSW,,PHO,W (+8),0,15:03,2,5,.400,1,2,.500,1,2,.500,1,0,1,1,1,0,2,0,6,3.3,-5,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
16,13.0,2006-04-15,23-101,GSW,@,POR,W (+5),0,21:34,5,7,.714,0,1,.000,4,6,.667,1,3,4,2,1,0,1,0,14,13.3,-3,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
17,14.0,2006-04-17,23-103,GSW,,POR,W (+14),0,19:06,3,7,.429,0,0,,2,4,.500,0,0,0,1,1,0,2,2,8,2.4,-1,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
18,15.0,2006-04-19,23-105,GSW,@,UTA,L (-3),0,13:06,2,3,.667,0,1,.000,1,1,1.000,0,0,0,1,0,0,1,1,5,3.0,-17,2006,bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01/gamelog/2006
