Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,24-032,MEM,@,MIA,L (-19),0,4:44,1,4,.250,0,1,.000,0,0,,1,2,3,0,0,1,1,0,2,0.6,-3,2020,cabocbr01,https://www.basketball-reference.com/players/c/cabocbr01/gamelog/2020
2,,2019-10-25,24-034,MEM,,CHI,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,cabocbr01,https://www.basketball-reference.com/players/c/cabocbr01/gamelog/2020
3,,2019-10-27,24-036,MEM,,BRK,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,cabocbr01,https://www.basketball-reference.com/players/c/cabocbr01/gamelog/2020
4,2,2019-10-29,24-038,MEM,@,LAL,L (-29),0,8:29,0,3,.000,0,2,.000,0,0,,1,1,2,0,0,0,0,2,0,-1.9,-16,2020,cabocbr01,https://www.basketball-reference.com/players/c/cabocbr01/gamelog/2020
5,3,2019-11-02,24-042,MEM,,PHO,L (-9),0,4:54,0,2,.000,0,0,,0,0,,0,0,0,0,1,1,0,0,0,0.3,-4,2020,cabocbr01,https://www.basketball-reference.com/players/c/cabocbr01/gamelog/2020
6,4,2019-11-04,24-044,MEM,,HOU,L (-7),0,24:11,5,8,.625,1,3,.333,0,0,,3,2,5,1,2,2,0,2,11,13.4,-4,2020,cabocbr01,https://www.basketball-reference.com/players/c/cabocbr01/gamelog/2020
7,5,2019-11-06,24-046,MEM,,MIN,W (+16),0,13:52,2,5,.400,1,4,.250,0,0,,0,3,3,2,0,2,1,2,5,4.2,+9,2020,cabocbr01,https://www.basketball-reference.com/players/c/cabocbr01/gamelog/2020
8,6,2019-11-08,24-048,MEM,@,ORL,L (-32),0,5:34,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,1,0,-0.4,-7,2020,cabocbr01,https://www.basketball-reference.com/players/c/cabocbr01/gamelog/2020
9,7,2019-11-09,24-049,MEM,,DAL,L (-16),0,9:45,4,6,.667,0,0,,0,0,,1,3,4,1,1,1,1,1,8,8.0,+6,2020,cabocbr01,https://www.basketball-reference.com/players/c/cabocbr01/gamelog/2020
10,,2019-11-11,24-051,MEM,@,SAS,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,cabocbr01,https://www.basketball-reference.com/players/c/cabocbr01/gamelog/2020
11,,2019-11-13,24-053,MEM,@,CHO,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,cabocbr01,https://www.basketball-reference.com/players/c/cabocbr01/gamelog/2020
12,,2019-11-15,24-055,MEM,,UTA,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,cabocbr01,https://www.basketball-reference.com/players/c/cabocbr01/gamelog/2020
13,8,2019-11-17,24-057,MEM,,DEN,L (-17),0,12:00,2,3,.667,1,2,.500,0,0,,0,1,1,1,0,0,1,2,5,2.9,+11,2020,cabocbr01,https://www.basketball-reference.com/players/c/cabocbr01/gamelog/2020
14,9,2019-11-19,24-059,MEM,,GSW,L (-19),0,1:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-2,2020,cabocbr01,https://www.basketball-reference.com/players/c/cabocbr01/gamelog/2020
