Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1984-10-30,29-076,POR,,SEA,W (+32),0,10:00,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,2,2,4,1.2,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
2,2,1984-11-01,29-078,POR,@,PHO,L (-9),0,35:00,3,5,.600,0,0,,6,8,.750,3,7,10,1,2,0,6,5,12,7.8,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
3,3,1984-11-15,29-092,POR,,UTA,W (+9),0,14:00,2,8,.250,0,1,.000,5,8,.625,0,4,4,0,0,1,0,2,9,4.1,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
4,4,1984-11-16,29-093,POR,@,SEA,L (-2),0,10:00,1,4,.250,0,0,,3,3,1.000,1,1,2,0,0,0,2,2,5,0.8,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
5,5,1984-11-18,29-095,POR,,LAC,W (+8),0,17:00,1,5,.200,0,0,,2,4,.500,2,5,7,0,0,1,1,2,4,1.9,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
6,6,1984-11-20,29-097,POR,,NJN,W (+10),0,17:00,0,1,.000,0,0,,3,4,.750,0,4,4,0,1,0,0,2,3,3.3,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
7,7,1984-11-24,29-101,POR,,CHI,W (+10),1,25:00,5,8,.625,0,0,,4,5,.800,1,7,8,5,0,1,2,4,14,13.4,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
8,8,1984-11-27,29-104,POR,@,CLE,W (+9),1,28:00,10,15,.667,0,1,.000,2,5,.400,4,7,11,2,1,1,2,4,22,18.7,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
9,9,1984-11-28,29-105,POR,@,DET,L (-7),1,28:00,5,10,.500,0,0,,2,3,.667,1,5,6,2,2,0,0,4,12,10.6,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
10,10,1984-11-30,29-107,POR,@,PHI,L (-10),1,21:00,3,6,.500,0,0,,2,3,.667,0,6,6,2,0,0,3,4,8,3.2,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
11,11,1984-12-01,29-108,POR,@,NYK,W (+22),1,23:00,6,15,.400,0,0,,3,5,.600,6,5,11,3,1,0,2,4,15,11.3,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
12,12,1984-12-04,29-111,POR,,PHO,W (+8),1,32:00,8,9,.889,0,0,,6,6,1.000,4,12,16,1,1,0,3,3,22,22.8,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
13,13,1984-12-06,29-113,POR,,SAS,W (+17),1,30:00,5,10,.500,0,0,,0,0,,7,6,13,2,0,1,2,3,10,10.6,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
14,14,1984-12-08,29-115,POR,,HOU,L (-7),1,33:00,5,7,.714,0,0,,9,15,.600,3,7,10,1,1,0,2,3,19,16.4,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
15,15,1984-12-11,29-118,POR,@,DEN,L (-1),1,30:00,4,5,.800,0,0,,0,0,,1,5,6,0,2,1,3,5,8,6.0,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
16,16,1984-12-13,29-120,POR,@,LAC,L (-6),1,24:00,2,7,.286,0,0,,2,4,.500,5,4,9,2,1,0,2,4,6,4.6,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
17,17,1984-12-14,29-121,POR,@,GSW,L (-13),0,27:00,6,9,.667,0,0,,1,1,1.000,2,9,11,1,2,1,3,2,13,12.8,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
18,18,1984-12-25,29-132,POR,,GSW,W (+9),0,11:00,1,2,.500,0,0,,0,0,,0,2,2,0,1,0,1,1,2,1.2,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
19,19,1984-12-27,29-134,POR,@,SAS,L (-21),0,18:00,0,2,.000,0,0,,0,0,,1,5,6,0,1,0,0,3,0,0.6,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
20,20,1984-12-29,29-136,POR,@,HOU,L (-16),0,12:00,3,5,.600,0,0,,6,8,.750,3,0,3,1,0,1,1,2,12,10.6,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
21,21,1985-01-01,29-139,POR,,PHI,L (-5),0,11:00,0,2,.000,0,0,,2,2,1.000,0,2,2,0,0,0,2,2,2,-1.6,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
22,22,1985-02-19,29-188,POR,@,KCK,L (-20),0,11:00,2,5,.400,0,0,,2,4,.500,1,3,4,0,0,0,1,3,6,1.9,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
23,23,1985-02-20,29-189,POR,@,DAL,L (-6),0,13:00,3,6,.500,0,0,,0,0,,0,2,2,1,0,0,1,3,6,2.1,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
24,24,1985-02-22,29-191,POR,@,HOU,L (-14),0,18:00,4,8,.500,0,0,,2,2,1.000,2,2,4,0,0,1,2,2,10,5.9,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
25,25,1985-02-24,29-193,POR,@,SAS,W (+16),0,18:00,2,4,.500,0,0,,1,3,.333,0,0,0,2,1,0,0,3,5,3.4,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
26,26,1985-02-26,29-195,POR,,LAC,W (+11),0,14:00,3,5,.600,0,1,.000,0,0,,1,2,3,1,0,0,1,3,6,3.5,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
27,27,1985-02-28,29-197,POR,@,GSW,L (-4),0,23:00,7,9,.778,0,0,,0,0,,2,6,8,0,1,0,4,4,14,9.1,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
28,28,1985-03-01,29-198,POR,,CLE,L (-8),0,19:00,4,9,.444,0,0,,3,3,1.000,4,3,7,1,0,1,1,2,11,9.6,1985,carrke01,https://www.basketball-reference.com/players/c/carrke01/gamelog/1985
