Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1979-11-16,23-077,IND,@,SDC,L (-8),0,9:00,1,2,0.5,0,0,,0,0,,,,2,0,0.0,0.0,1.0,3,2,,1980,cartero01,https://www.basketball-reference.com/players/c/cartero01/gamelog/1980
2,2,1979-11-18,23-079,IND,@,LAL,L (-23),0,15:00,3,6,0.5,0,0,,0,1,0.0,1.0,0.0,1,1,0.0,0.0,1.0,0,6,3.0,1980,cartero01,https://www.basketball-reference.com/players/c/cartero01/gamelog/1980
3,3,1979-11-21,23-082,IND,,NYK,W (+11),0,13:00,1,3,0.333,0,0,,0,0,,,,3,3,0.0,0.0,,3,2,,1980,cartero01,https://www.basketball-reference.com/players/c/cartero01/gamelog/1980
4,4,1979-11-23,23-084,IND,@,BOS,L (-15),0,4:00,0,0,,0,0,,0,0,,0.0,0.0,0,0,0.0,0.0,,1,0,,1980,cartero01,https://www.basketball-reference.com/players/c/cartero01/gamelog/1980
5,5,1979-11-28,23-089,IND,,MIL,L (-8),0,9:00,2,3,0.667,0,0,,1,4,0.25,,,3,3,0.0,1.0,,3,5,,1980,cartero01,https://www.basketball-reference.com/players/c/cartero01/gamelog/1980
6,6,1979-11-30,23-091,IND,@,WSB,W (+8),0,7:00,1,1,1.0,0,0,,0,0,,,,1,0,,0.0,,2,2,,1980,cartero01,https://www.basketball-reference.com/players/c/cartero01/gamelog/1980
7,7,1980-02-20,23-173,IND,,NYK,W (+45),0,7:00,1,3,0.333,0,0,,0,0,,,,1,0,,,,0,2,,1980,cartero01,https://www.basketball-reference.com/players/c/cartero01/gamelog/1980
8,8,1980-03-02,23-184,IND,@,WSB,L (-14),0,4:00,1,2,0.5,0,0,,0,0,,0.0,0.0,0,0,,,,0,2,,1980,cartero01,https://www.basketball-reference.com/players/c/cartero01/gamelog/1980
9,9,1980-03-13,23-195,IND,@,NYK,W (+7),0,6:00,1,2,0.5,0,0,,0,0,,,,2,0,,0.0,,0,2,,1980,cartero01,https://www.basketball-reference.com/players/c/cartero01/gamelog/1980
10,10,1980-03-21,23-203,IND,@,SAS,L (-7),0,4:00,0,1,0.0,0,0,,0,0,,0.0,0.0,0,0,0.0,0.0,,0,0,,1980,cartero01,https://www.basketball-reference.com/players/c/cartero01/gamelog/1980
11,11,1980-03-26,23-208,IND,@,DET,W (+10),0,15:00,2,6,0.333,0,0,,0,0,,,,2,0,0.0,,,2,4,,1980,cartero01,https://www.basketball-reference.com/players/c/cartero01/gamelog/1980
12,12,1980-03-28,23-210,IND,,SAS,W (+5),0,12:00,1,3,0.333,0,0,,1,2,0.5,,,2,1,0.0,1.0,,3,3,,1980,cartero01,https://www.basketball-reference.com/players/c/cartero01/gamelog/1980
13,13,1980-03-30,23-212,IND,,HOU,L (-15),0,12:00,1,5,0.2,0,0,,0,0,,,,2,1,,0.0,,2,2,,1980,cartero01,https://www.basketball-reference.com/players/c/cartero01/gamelog/1980
