Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1949-11-03,32-264,SYR,,DNN,W (+20),,,5,,,7,8,.875,,,,17,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
2,2,1949-11-05,32-266,SYR,,DNN,W (+33),,,1,,,9,11,.818,,,,11,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
3,3,1949-11-06,32-267,SYR,,PHW,W (+10),,,4,8,.500,3,4,.750,,1,1,11,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
4,4,1949-11-12,32-273,SYR,@,AND,W (+15),,,7,,,9,10,.900,,,,23,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
5,5,1949-11-13,32-274,SYR,,NYK,W (+14),,,3,,,2,2,1.000,,,,8,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
6,6,1949-11-15,32-276,SYR,@,NYK,W (+3),,,2,,,4,4,1.000,,,,8,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
7,7,1949-11-17,32-278,SYR,,TRI,W (+3),,,2,,,6,8,.750,,,,10,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
8,8,1949-11-20,32-281,SYR,,DNN,W (+26),,,0,,,1,1,1.000,,,,1,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
9,9,1949-11-21,32-282,SYR,,DNN,W (+10),,,4,,,5,5,1.000,,,,13,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
10,10,1949-11-24,32-285,SYR,,AND,W (+2),,,0,,,3,5,.600,,,6,3,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
11,11,1949-11-27,32-288,SYR,,WAT,W (+18),,,1,,,3,3,1.000,,,,5,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
12,12,1949-11-30,32-291,SYR,@,BOS,W (+16),,,6,,,3,3,1.000,,,,15,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
13,13,1949-12-04,32-295,SYR,,INO,W (+6),,,4,,,10,12,.833,,,,18,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
14,14,1949-12-07,32-298,SYR,@,TRI,W (+8),,,2,,,3,4,.750,,,,7,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
15,15,1949-12-08,32-299,SYR,@,SHE,W (+14),,,1,5,.200,5,5,1.000,,2,6,7,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
16,16,1949-12-10,32-301,SYR,@,ROC,L (-6),,,1,,,2,3,.667,,,6,4,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
17,17,1949-12-11,32-302,SYR,,SHE,W (+17),,,2,,,0,0,,,,2,4,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
18,18,1949-12-14,32-305,SYR,,FTW,W (+13),,,3,,,4,4,1.000,,,,10,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
19,19,1949-12-15,32-306,SYR,@,AND,L (-12),,,5,,,7,11,.636,,,,17,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
20,20,1949-12-18,32-309,SYR,,CHS,W (+13),,,1,,,4,6,.667,,,,6,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
21,21,1949-12-20,32-311,SYR,@,WAT,W (+25),,,2,,,5,6,.833,,,,9,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
22,22,1949-12-21,32-312,SYR,@,TRI,W (+12),,,3,,,7,7,1.000,,,,13,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
23,23,1949-12-22,32-313,SYR,@,SHE,W (+9),,,4,11,.364,8,8,1.000,,1,5,16,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
24,24,1949-12-25,32-316,SYR,,AND,W (+6),,,1,,,6,9,.667,,,3,8,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
25,25,1949-12-28,32-319,SYR,@,WSC,L (-2),,,3,,,7,9,.778,,,,13,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
26,26,1949-12-29,32-320,SYR,,PHW,W (+2),,,4,9,.444,3,3,1.000,,1,3,11,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
27,27,1950-01-01,32-323,SYR,,WSC,W (+6),,,3,,,9,11,.818,,,4,15,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
28,28,1950-01-05,32-327,SYR,,TRI,W (+9),,,7,,,4,8,.500,,,,18,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
29,29,1950-01-08,32-330,SYR,,WAT,W (+16),,,1,,,4,4,1.000,,,,6,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
30,30,1950-01-10,32-332,SYR,@,WAT,L (-2),,,1,,,4,5,.800,,,,6,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
31,31,1950-01-11,32-333,SYR,@,MNL,L (-10),,,5,14,.357,9,12,.750,,10,0,19,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
32,32,1950-01-12,32-334,SYR,@,FTW,W (+2),,,5,,,7,7,1.000,,,,17,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
33,33,1950-01-15,32-337,SYR,,INO,W (+13),,,1,,,3,4,.750,,,,5,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
34,34,1950-01-19,32-341,SYR,,DNN,W (+21),,,0,,,1,1,1.000,,,,1,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
35,35,1950-01-22,32-344,SYR,,AND,L (-2),,,3,,,5,5,1.000,,,,11,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
36,36,1950-01-26,32-348,SYR,,ROC,W (+4),,,3,,,6,6,1.000,,,,12,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
37,37,1950-01-29,32-351,SYR,,SHE,W (+15),,,4,,,3,4,.750,,,,11,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
38,38,1950-01-30,32-352,SYR,,INO,W (+16),,,4,,,12,13,.923,,,,20,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
39,39,1950-02-01,32-354,SYR,@,TRI,L (-8),,,1,,,9,11,.818,,,,11,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
40,40,1950-02-02,32-355,SYR,@,INO,W (+6),,,1,,,5,5,1.000,,,,7,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
41,41,1950-02-03,32-356,SYR,,WAT,W (+24),,,2,,,1,3,.333,,,,5,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
42,42,1950-02-05,32-358,SYR,,BLB,W (+9),,,2,,,3,5,.600,,,4,7,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
43,43,1950-02-08,32-361,SYR,,SHE,W (+25),,,1,,,4,4,1.000,,,3,6,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
44,44,1950-02-11,32-364,SYR,@,BLB,W (+1),,,5,,,8,9,.889,,,,18,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
45,45,1950-02-12,33-000,SYR,,WAT,W (+4),,,4,,,10,12,.833,,,6,18,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
46,46,1950-02-16,33-004,SYR,,TRI,W (+31),,,3,,,2,2,1.000,,,,8,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
47,47,1950-02-24,33-012,SYR,,INO,W (+5),,,2,,,2,3,.667,,,,6,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
48,48,1950-02-26,33-014,SYR,,CHS,W (+9),,,0,,,2,2,1.000,,,,2,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
49,49,1950-02-27,33-015,SYR,@,AND,L (-24),,,2,,,8,10,.800,,,,12,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
50,50,1950-02-28,33-016,SYR,@,INO,L (-38),,,0,,,3,3,1.000,,,,3,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
51,51,1950-03-05,33-021,SYR,,MNL,W (+9),,,1,,,7,8,.875,,,2,9,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
52,52,1950-03-09,33-025,SYR,,STB,W (+11),,,4,,,9,10,.900,,,,17,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
53,53,1950-03-12,33-028,SYR,,BOS,W (+24),,,2,,,3,3,1.000,,,,7,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
54,54,1950-03-14,33-030,SYR,@,INO,L (-3),,,2,,,3,5,.600,,,,7,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
55,55,1950-03-16,33-032,SYR,@,SHE,W (+13),,,1,,,10,11,.909,,,,12,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
56,56,1950-03-19,33-035,SYR,,AND,W (+5),,,2,,,5,6,.833,,,,9,1950,cervial01,https://www.basketball-reference.com/players/c/cervial01/gamelog/1950
