Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2016-10-26,29-169,DEN,@,NOP,W (+5),0,30:13,5,15,.333,1,6,.167,1,1,1.000,0,7,7,1,0,0,2,3,12,3.1,+5,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
2,2,2016-10-29,29-172,DEN,,POR,L (-2),0,30:16,5,11,.455,1,3,.333,0,2,.000,1,6,7,1,0,0,3,1,11,4.3,-1,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
3,3,2016-10-31,29-174,DEN,@,TOR,L (-3),0,31:17,2,7,.286,1,5,.200,4,6,.667,0,3,3,1,0,1,0,4,9,4.8,-2,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
4,4,2016-11-03,29-177,DEN,@,MIN,W (+3),0,27:29,8,12,.667,0,2,.000,3,5,.600,2,4,6,0,1,0,2,3,19,13.4,+1,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
5,5,2016-11-05,29-179,DEN,@,DET,L (-17),0,31:29,9,18,.500,1,4,.250,2,2,1.000,3,6,9,0,0,0,2,1,21,13.5,-9,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
6,6,2016-11-06,29-180,DEN,@,BOS,W (+16),0,25:20,8,14,.571,2,4,.500,4,5,.800,0,5,5,2,1,0,1,3,22,16.7,+26,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
7,,2016-11-08,29-182,DEN,@,MEM,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
8,,2016-11-10,29-184,DEN,,GSW,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
9,7,2016-11-12,29-186,DEN,,DET,L (-11),0,29:59,3,12,.250,0,3,.000,0,0,,2,8,10,2,1,0,2,1,6,2.6,-9,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
10,8,2016-11-13,29-187,DEN,@,POR,L (-7),0,27:09,7,12,.583,0,2,.000,4,5,.800,0,7,7,1,1,0,0,4,18,14.2,-2,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
11,9,2016-11-16,29-190,DEN,,PHO,W (+16),0,35:03,11,22,.500,2,3,.667,4,4,1.000,3,8,11,5,1,1,2,3,28,23.5,+8,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
12,10,2016-11-18,29-192,DEN,,TOR,L (-2),0,35:47,9,17,.529,3,5,.600,4,6,.667,4,6,10,2,0,0,0,2,25,21.1,+3,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
13,11,2016-11-20,29-194,DEN,,UTA,W (+14),0,24:05,7,10,.700,2,4,.500,1,2,.500,0,4,4,1,1,0,3,1,17,11.9,+6,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
14,12,2016-11-22,29-196,DEN,,CHI,W (+3),0,33:15,7,23,.304,1,4,.250,1,1,1.000,4,5,9,3,1,1,1,0,16,9.8,+13,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
15,13,2016-11-23,29-197,DEN,@,UTA,L (-25),0,24:52,4,11,.364,1,3,.333,4,4,1.000,1,8,9,0,0,0,1,1,13,8.6,-17,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
16,14,2016-11-25,29-199,DEN,,OKC,L (-3),1,37:08,14,25,.560,2,5,.400,2,2,1.000,3,8,11,4,0,1,2,3,32,24.9,-16,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
17,15,2016-11-27,29-201,DEN,@,PHO,W (+6),1,39:08,8,17,.471,3,6,.500,6,6,1.000,2,6,8,2,3,0,1,0,25,22.9,+3,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
18,16,2016-11-30,29-204,DEN,,MIA,L (-8),0,28:47,8,17,.471,1,4,.250,0,0,,2,5,7,0,1,0,3,2,17,8.4,-2,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
19,17,2016-12-02,29-206,DEN,,HOU,L (-18),0,29:17,10,19,.526,3,7,.429,1,3,.333,2,3,5,2,1,0,2,1,24,16.2,-8,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
20,18,2016-12-03,29-207,DEN,@,UTA,L (-7),0,40:32,7,14,.500,3,6,.500,3,3,1.000,0,5,5,3,2,0,0,4,20,17.0,+4,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
21,19,2016-12-05,29-209,DEN,@,PHI,W (+8),0,26:01,3,7,.429,2,3,.667,2,2,1.000,0,4,4,2,1,0,3,3,10,5.7,+7,2017,chandwi01,https://www.basketball-reference.com/players/c/chandwi01/gamelog/2017
