Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1979-10-12,33-204,BOS,,HOU,W (+8),0,11:00,1,3,.333,0,0,,0,0,,0,3,3,1,1,0,0,1,2,2.5,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
2,2,1979-10-13,33-205,BOS,@,CLE,W (+22),0,3:00,0,0,,0,0,,2,2,1.000,1,0,1,0,0,0,1,1,2,1.3,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
3,3,1979-10-19,33-211,BOS,,WSB,W (+37),0,7:00,0,2,.000,0,1,.000,0,0,,0,1,1,1,2,0,0,0,0,1.6,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
4,4,1979-10-20,33-212,BOS,@,IND,L (-3),0,7:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
5,5,1979-10-23,33-215,BOS,@,SAS,L (-9),0,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
6,6,1979-10-24,33-216,BOS,@,HOU,W (+1),0,4:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
7,7,1979-10-27,33-219,BOS,@,ATL,W (+5),0,2:00,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,0,0,0.3,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
8,8,1979-10-31,33-223,BOS,@,NJN,W (+37),0,12:00,1,4,.250,0,0,,0,2,.000,3,1,4,1,0,0,2,1,2,-0.5,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
9,9,1979-11-03,33-226,BOS,@,WSB,W (+21),0,2:00,2,2,1.000,0,0,,0,0,,0,0,0,1,1,0,1,0,4,4.1,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
10,10,1979-11-07,33-230,BOS,,SAS,W (+12),0,8:00,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.2,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
11,11,1979-11-09,33-232,BOS,,KCK,W (+8),0,12:00,0,4,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,6,2,-2.9,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
12,12,1979-11-10,33-233,BOS,@,PHI,L (-1),0,5:00,0,4,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,-1.4,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
13,13,1979-11-14,33-237,BOS,,DET,W (+4),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
14,14,1979-11-16,33-239,BOS,,UTA,W (+16),0,7:00,1,6,.167,0,0,,0,0,,0,0,0,1,1,1,0,1,2,0.2,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
15,15,1979-11-17,33-240,BOS,@,NYK,L (-4),0,6:00,0,1,.000,0,0,,0,0,,2,1,3,0,0,0,0,0,0,1.0,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
16,16,1979-11-23,33-246,BOS,,IND,W (+15),0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,,2,0,,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
17,17,1979-11-28,33-251,BOS,,DEN,W (+22),0,6:00,3,6,.500,0,0,,0,0,,2,2,4,0,0,0,1,1,6,3.6,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
18,18,1979-11-30,33-253,BOS,,NYK,W (+3),0,3:00,1,2,.500,0,0,,0,0,,1,1,2,0,1,0,0,1,2,2.6,1980,chanedo01,https://www.basketball-reference.com/players/c/chanedo01/gamelog/1980
