Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1978-10-13,28-317,CLE,@,BOS,W (+14),1,27:00,8,12,.667,0,0,,2,7,9,3,0,0,2,4,16,12.8,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
2,2,1978-10-17,28-321,CLE,,LAL,W (+2),1,33:00,7,17,.412,1,1,1.000,5,8,13,1,0,4,0,1,15,14.9,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
3,3,1978-10-21,28-325,CLE,,CHI,W (+9),1,36:00,7,21,.333,4,5,.800,2,6,8,2,1,1,1,6,18,8.6,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
4,4,1978-10-24,28-328,CLE,,NOJ,W (+18),1,36:00,10,18,.556,1,2,.500,9,6,15,1,2,1,2,4,21,19.9,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
5,5,1978-10-25,28-329,CLE,@,DET,L (-5),1,9:00,1,3,.333,0,0,,0,2,2,0,0,0,1,3,2,-1.3,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
6,6,1978-10-27,28-331,CLE,@,NJN,L (-15),1,41:00,12,18,.667,4,4,1.000,7,9,16,2,1,2,3,5,28,26.6,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
7,7,1978-10-29,28-333,CLE,,GSW,L (-5),1,38:00,9,20,.450,0,0,,6,9,15,3,1,1,1,1,18,16.9,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
8,8,1978-10-31,28-335,CLE,,IND,L (-5),1,33:00,6,16,.375,6,7,.857,4,6,10,2,0,1,1,5,18,12.5,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
9,9,1978-11-01,28-336,CLE,@,KCK,L (-15),1,36:00,2,8,.250,0,0,,2,9,11,2,0,0,3,2,4,0.9,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
10,10,1978-11-03,28-338,CLE,@,DEN,L (-17),1,38:00,5,17,.294,2,2,1.000,2,3,5,3,1,0,0,4,12,5.9,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
11,11,1978-11-04,28-339,CLE,@,SDC,W (+6),1,37:00,6,7,.857,4,4,1.000,0,5,5,4,3,1,1,4,16,18.9,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
12,12,1978-11-05,28-340,CLE,@,LAL,L (-10),1,44:00,10,24,.417,1,1,1.000,4,8,12,4,0,1,2,3,21,13.7,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
13,13,1978-11-08,28-343,CLE,@,PHO,L (-22),1,32:00,8,12,.667,2,2,1.000,2,9,11,6,2,1,7,5,18,14.8,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
14,14,1978-11-10,28-345,CLE,@,SEA,L (-14),1,47:00,8,19,.421,1,1,1.000,2,12,14,3,1,1,2,3,17,12.5,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
15,15,1978-11-12,28-347,CLE,@,POR,L (-7),1,41:00,6,13,.462,2,2,1.000,3,11,14,6,0,1,3,2,14,13.8,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
16,16,1978-11-14,28-349,CLE,,WSB,L (-16),1,40:00,4,12,.333,2,5,.400,4,6,10,4,0,0,2,6,10,5.0,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
