Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
1,1,1973-10-10,27-152,PHO,,SEA,W (+4),0,6:00,1,1,1.000,0,0,,1,1,2,1,0,0,2,2,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
2,2,1973-10-12,27-154,PHO,,MIL,L (-23),0,30:00,2,4,.500,1,2,.500,3,6,9,0,3,1,2,5,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
3,3,1973-10-14,27-156,PHO,,GSW,L (-25),0,14:00,1,5,.200,0,0,,0,1,1,0,0,3,0,2,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
4,4,1973-10-20,27-162,PHO,,ATL,W (+10),0,9:00,0,1,.000,0,0,,2,1,3,0,1,0,3,0,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
5,5,1973-10-21,27-163,PHO,@,SEA,L (-4),0,6:00,1,1,1.000,5,8,.625,1,1,2,1,0,0,2,7,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
6,6,1973-10-23,27-165,PHO,@,GSW,L (-12),0,12:00,3,5,.600,1,2,.500,1,5,6,0,0,0,2,7,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
7,7,1973-10-24,27-166,PHO,,DET,L (-16),0,14:00,1,3,.333,0,0,,0,2,2,2,1,1,3,2,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
8,8,1973-10-26,27-168,PHO,@,KCO,L (-5),0,17:00,1,3,.333,1,2,.500,0,3,3,1,0,0,4,3,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
9,9,1973-10-27,27-169,PHO,@,MIL,L (-9),0,7:00,0,1,.000,0,0,,0,0,0,0,1,1,4,0,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
10,10,1973-10-30,27-172,PHO,@,ATL,L (-21),0,20:00,1,2,.500,6,6,1.000,4,2,6,3,1,0,2,8,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
11,11,1973-11-02,27-175,PHO,@,DET,L (-7),0,16:00,3,4,.750,0,0,,2,1,3,1,1,0,3,6,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
12,12,1973-11-04,27-177,PHO,@,CAP,L (-3),0,13:00,0,0,,1,2,.500,1,4,5,1,0,0,2,1,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
13,13,1973-11-07,27-180,PHO,@,PHI,L (-7),0,15:00,2,4,.500,0,2,.000,1,8,9,0,0,1,1,4,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
14,14,1973-11-09,27-182,PHO,@,BOS,L (-15),0,13:00,0,1,.000,3,4,.750,0,4,4,2,0,0,2,3,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
15,15,1973-11-13,27-186,PHO,,CHI,W (+8),0,7:00,0,0,,0,0,,0,1,1,1,0,0,3,0,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
16,16,1973-11-15,27-188,PHO,,PHI,W (+22),0,14:00,1,2,.500,0,0,,1,5,6,1,1,1,0,2,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
17,17,1973-11-17,27-190,PHO,,LAL,L (-20),0,20:00,1,2,.500,5,6,.833,2,4,6,4,0,2,4,7,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
18,18,1973-11-20,27-193,PHO,@,BUF,L (-27),0,8:00,1,2,.500,0,0,,1,1,2,0,0,0,2,2,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
19,19,1973-11-21,27-194,PHO,@,DET,L (-3),0,13:00,0,0,,0,0,,0,1,1,1,1,0,0,0,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
20,20,1973-11-23,27-196,PHO,@,CHI,W (+5),0,7:00,1,1,1.000,0,0,,1,1,2,0,0,0,1,2,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
21,21,1973-11-27,27-200,PHO,@,HOU,L (-14),0,15:00,0,2,.000,6,6,1.000,1,2,3,1,0,0,5,6,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
22,22,1973-11-29,27-202,PHO,,KCO,W (+20),0,36:00,4,7,.571,0,0,,0,7,7,4,0,0,4,8,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
23,23,1973-11-30,27-203,PHO,@,POR,W (+8),0,15:00,1,3,.333,3,3,1.000,1,1,2,3,0,2,3,5,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
24,24,1973-12-01,27-204,PHO,,DET,L (-12),0,17:00,1,2,.500,2,2,1.000,0,1,1,0,0,0,2,4,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
25,25,1973-12-04,27-207,PHO,@,LAL,L (-17),0,10:00,2,3,.667,0,0,,0,3,3,1,0,0,2,4,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
26,26,1973-12-05,27-208,PHO,,GSW,W (+6),0,16:00,1,2,.500,2,2,1.000,1,2,3,1,0,0,0,4,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
27,27,1973-12-07,27-210,PHO,,CAP,W (+22),0,16:00,5,5,1.000,1,1,1.000,1,5,6,1,1,0,1,11,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
28,28,1973-12-09,27-212,PHO,@,CLE,W (+11),0,6:00,0,0,,0,0,,0,1,1,2,0,1,1,0,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
29,29,1973-12-11,27-214,PHO,@,NYK,L (-8),0,6:00,0,1,.000,0,0,,0,0,0,2,0,0,0,0,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
30,30,1973-12-13,27-216,PHO,,POR,L (-11),0,13:00,0,1,.000,1,2,.500,1,1,2,0,0,1,2,1,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
31,31,1973-12-15,27-218,PHO,,BOS,W (+1),0,20:00,1,1,1.000,1,2,.500,1,4,5,0,0,1,1,3,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
32,32,1973-12-16,27-219,PHO,@,SEA,W (+4),0,9:00,2,4,.500,0,0,,0,2,2,0,0,0,3,4,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
33,33,1973-12-18,27-221,PHO,@,POR,L (-16),0,20:00,3,10,.300,3,4,.750,2,8,10,0,0,3,3,9,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
34,34,1973-12-19,27-222,PHO,,PHI,L (-3),0,12:00,1,2,.500,0,0,,0,3,3,1,1,0,3,2,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
35,35,1973-12-22,27-225,PHO,,MIL,W (+9),0,12:00,3,7,.429,0,0,,2,2,4,0,0,0,0,6,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
36,36,1973-12-25,27-228,PHO,,LAL,W (+35),0,15:00,0,2,.000,2,2,1.000,1,4,5,1,0,0,2,2,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
37,37,1973-12-27,27-230,PHO,,SEA,W (+11),0,7:00,0,0,,0,0,,0,1,1,0,0,0,0,0,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
38,38,1973-12-28,27-231,PHO,@,LAL,L (-12),0,27:00,3,5,.600,4,4,1.000,1,6,7,2,1,1,5,10,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
39,39,1973-12-29,27-232,PHO,,BUF,L (-12),0,12:00,0,0,,1,2,.500,1,1,2,0,0,0,3,1,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
40,40,1974-01-02,27-236,PHO,@,ATL,W (+3),0,10:00,0,0,,4,4,1.000,0,1,1,0,1,0,3,4,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
41,41,1974-01-04,27-238,PHO,@,KCO,L (-25),0,24:00,2,3,.667,4,8,.500,1,5,6,0,1,3,1,8,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
42,42,1974-01-05,27-239,PHO,@,MIL,L (-9),0,11:00,2,3,.667,0,0,,0,1,1,0,0,0,0,4,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
43,43,1974-01-06,27-240,PHO,@,CHI,L (-4),0,14:00,2,2,1.000,0,0,,1,3,4,0,0,1,3,4,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
44,44,1974-01-09,27-243,PHO,,HOU,W (+4),0,16:00,2,3,.667,3,3,1.000,1,4,5,1,1,0,0,7,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
45,45,1974-01-11,27-245,PHO,,KCO,L (-17),0,11:00,1,3,.333,0,0,,2,3,5,0,0,0,1,2,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
