Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2021-10-20,25-031,MEM,,CLE,W (+11),0,11:37,3,3,1.000,0,0,,0,0,,1,2,3,1,0,1,0,2,6,7.0,+15,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
2,2,2021-10-23,25-034,MEM,@,LAC,W (+6),0,21:11,1,4,.250,0,0,,1,2,.500,2,4,6,2,0,0,0,2,3,3.4,-9,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
3,3,2021-10-24,25-035,MEM,@,LAL,L (-3),0,12:39,2,5,.400,0,1,.000,0,0,,1,3,4,1,0,1,1,2,4,2.5,-6,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
4,4,2021-10-27,25-038,MEM,@,POR,L (-20),0,15:13,3,4,.750,0,0,,0,2,.000,2,2,4,1,0,0,0,2,6,5.5,+3,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
5,,2021-10-28,25-039,MEM,@,GSW,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
6,5,2021-10-30,25-041,MEM,,MIA,L (-26),0,5:52,0,3,.000,0,1,.000,2,3,.667,0,0,0,0,1,0,0,0,2,0.5,-1,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
7,,2021-11-01,25-043,MEM,,DEN,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
8,,2021-11-03,25-045,MEM,,DEN,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
9,6,2021-11-05,25-047,MEM,@,WAS,L (-28),0,9:59,3,7,.429,0,1,.000,0,0,,0,0,0,0,1,0,1,2,6,1.5,-2,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
10,7,2021-11-08,25-050,MEM,,MIN,W (+7),0,23:52,8,11,.727,0,2,.000,4,5,.800,5,4,9,0,0,1,0,2,20,19.7,+9,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
11,8,2021-11-10,25-052,MEM,,CHO,L (-10),0,12:15,1,6,.167,0,1,.000,0,0,,3,1,4,2,1,1,0,0,2,3.7,-19,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
12,9,2021-11-12,25-054,MEM,,PHO,L (-25),0,19:14,4,7,.571,0,1,.000,0,0,,3,1,4,2,0,2,0,1,8,9.5,+7,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
13,10,2021-11-13,25-055,MEM,@,NOP,L (-11),0,11:32,1,2,.500,0,0,,0,0,,1,4,5,2,0,1,1,1,2,3.6,-9,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
14,11,2021-11-15,25-057,MEM,,HOU,W (+34),0,17:53,5,5,1.000,0,0,,2,3,.667,1,2,3,3,1,3,0,2,12,15.8,+13,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
15,12,2021-11-18,25-060,MEM,,LAC,W (+12),0,14:41,7,9,.778,0,0,,0,0,,1,4,5,1,1,0,0,1,14,13.7,+6,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
16,13,2021-11-20,25-062,MEM,@,MIN,L (-43),0,17:49,1,3,.333,0,0,,1,2,.500,1,0,1,1,1,1,1,3,3,1.8,-15,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
17,14,2021-11-22,25-064,MEM,@,UTA,W (+1),0,25:47,3,5,.600,0,1,.000,4,4,1.000,4,5,9,1,0,1,1,5,10,10.4,-1,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
18,15,2021-11-24,25-066,MEM,,TOR,L (-13),0,26:10,7,8,.875,0,0,,2,2,1.000,2,6,8,1,0,0,0,2,16,16.3,-7,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
19,16,2021-11-26,25-068,MEM,,ATL,L (-32),0,11:34,0,1,.000,0,0,,1,2,.500,3,2,5,4,0,0,1,1,1,4.0,-10,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
20,17,2021-11-28,25-070,MEM,,SAC,W (+27),0,15:36,7,8,.875,0,0,,1,2,.500,0,6,6,1,0,1,0,2,15,14.2,+9,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
21,18,2021-11-30,25-072,MEM,@,TOR,W (+7),0,16:09,3,6,.500,0,0,,0,0,,3,2,5,2,1,2,1,3,6,7.3,+7,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
22,19,2021-12-02,25-074,MEM,,OKC,W (+73),0,14:42,5,8,.625,1,3,.333,0,0,,0,2,2,1,0,2,1,0,11,9.1,+14,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
23,,2021-12-04,25-076,MEM,@,DAL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
24,,2021-12-06,25-078,MEM,@,MIA,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
25,,2021-12-08,25-080,MEM,,DAL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01/gamelog/2022
