Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2000-10-31,32-192,CLE,@,NJN,W (+4),0,22:35,5,8,.625,1,2,.500,4,6,.667,0,1,1,2,0,0,2,4,15,8.7,-1,2001,colesbi01,https://www.basketball-reference.com/players/c/colesbi01/gamelog/2001
2,2,2000-11-01,32-193,CLE,,SAC,W (+2),0,24:21,3,6,.500,0,0,,0,0,,0,1,1,8,0,0,1,0,6,7.9,+1,2001,colesbi01,https://www.basketball-reference.com/players/c/colesbi01/gamelog/2001
3,3,2000-11-04,32-196,CLE,,BOS,W (+2),0,21:56,4,8,.500,0,1,.000,0,0,,0,1,1,6,3,0,1,2,8,9.7,-2,2001,colesbi01,https://www.basketball-reference.com/players/c/colesbi01/gamelog/2001
4,4,2000-11-08,32-200,CLE,@,NYK,W (+2),0,26:43,7,11,.636,0,0,,3,3,1.000,0,1,1,3,2,0,1,3,17,14.3,+12,2001,colesbi01,https://www.basketball-reference.com/players/c/colesbi01/gamelog/2001
5,5,2000-11-10,32-202,CLE,@,TOR,L (-27),0,20:04,2,4,.500,0,0,,0,0,,0,1,1,4,1,0,2,1,4,3.7,-11,2001,colesbi01,https://www.basketball-reference.com/players/c/colesbi01/gamelog/2001
6,6,2000-11-11,32-203,CLE,,WAS,W (+13),0,19:48,2,5,.400,0,0,,3,4,.750,1,4,5,4,0,0,0,0,7,8.6,-4,2001,colesbi01,https://www.basketball-reference.com/players/c/colesbi01/gamelog/2001
7,7,2000-11-14,32-206,CLE,,GSW,W (+10),0,20:08,3,7,.429,0,0,,1,2,.500,0,1,1,2,0,0,3,3,7,0.4,-8,2001,colesbi01,https://www.basketball-reference.com/players/c/colesbi01/gamelog/2001
8,8,2000-11-15,32-207,CLE,@,PHI,L (-9),0,20:01,3,6,.500,0,0,,2,2,1.000,0,0,0,3,2,0,2,3,8,5.9,-4,2001,colesbi01,https://www.basketball-reference.com/players/c/colesbi01/gamelog/2001
9,9,2000-11-17,32-209,CLE,@,MIL,L (-13),0,14:43,0,4,.000,0,0,,0,0,,0,2,2,2,0,0,0,1,0,-1.2,-22,2001,colesbi01,https://www.basketball-reference.com/players/c/colesbi01/gamelog/2001
10,,2000-11-21,32-213,CLE,,DET,W (+19),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2001,colesbi01,https://www.basketball-reference.com/players/c/colesbi01/gamelog/2001
11,10,2001-01-22,32-275,CLE,,POR,W (+26),0,12:43,0,4,.000,0,0,,2,2,1.000,0,2,2,4,1,0,1,2,2,1.8,+7,2001,colesbi01,https://www.basketball-reference.com/players/c/colesbi01/gamelog/2001
12,11,2001-01-24,32-277,CLE,,CHI,W (+8),0,13:49,1,2,.500,0,0,,0,0,,0,1,1,4,0,0,5,2,2,-1.7,-5,2001,colesbi01,https://www.basketball-reference.com/players/c/colesbi01/gamelog/2001
13,12,2001-01-27,32-280,CLE,,ATL,L (-11),0,22:46,4,8,.500,0,0,,2,2,1.000,1,2,3,4,1,0,1,4,10,8.5,+5,2001,colesbi01,https://www.basketball-reference.com/players/c/colesbi01/gamelog/2001
14,13,2001-01-29,32-282,CLE,@,WAS,L (-6),0,13:34,1,4,.250,0,1,.000,1,2,.500,0,0,0,4,0,1,1,3,3,1.5,-6,2001,colesbi01,https://www.basketball-reference.com/players/c/colesbi01/gamelog/2001
