Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2017-10-18,30-056,IND,,BRK,W (+9),1,30:11,9,12,.750,1,3,.333,2,3,.667,1,2,3,11,2,0,2,1,21,24.4,+8,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
2,2,2017-10-20,30-058,IND,,POR,L (-18),1,31:25,5,9,.556,1,3,.333,3,4,.750,1,3,4,4,1,0,2,3,14,11.5,-3,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
3,3,2017-10-21,30-059,IND,@,MIA,L (-4),1,31:53,3,9,.333,2,4,.500,2,2,1.000,1,2,3,8,0,1,1,1,10,11.1,-4,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
4,4,2017-10-24,30-062,IND,@,MIN,W (+23),1,33:39,6,11,.545,1,5,.200,2,2,1.000,1,4,5,16,2,0,1,1,15,23.4,+21,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
5,5,2017-10-25,30-063,IND,@,OKC,L (-18),1,37:49,5,12,.417,2,4,.500,6,6,1.000,0,2,2,3,2,0,4,2,18,11.5,-13,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
6,6,2017-10-29,30-067,IND,,SAS,W (+3),1,34:28,4,10,.400,0,2,.000,0,0,,0,3,3,6,2,0,2,2,8,6.9,+18,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
7,7,2017-10-31,30-069,IND,,SAC,W (+18),1,24:49,0,4,.000,0,2,.000,3,3,1.000,0,0,0,2,1,0,1,0,3,1.6,+19,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
8,8,2017-11-01,30-070,IND,@,CLE,W (+17),1,30:01,9,10,.900,3,3,1.000,4,5,.800,1,4,5,8,1,0,1,4,25,27.1,+15,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
9,9,2017-11-03,30-072,IND,@,PHI,L (-11),1,29:33,1,9,.111,0,3,.000,0,0,,0,2,2,5,0,0,0,2,2,-0.6,-29,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
10,10,2017-11-05,30-074,IND,@,NYK,L (-7),1,38:12,6,13,.462,1,3,.333,2,2,1.000,1,4,5,10,2,0,3,2,15,15.4,0,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
11,11,2017-11-07,30-076,IND,,NOP,L (-5),1,31:09,5,9,.556,2,4,.500,0,0,,0,1,1,6,0,0,1,3,12,10.0,-3,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
12,12,2017-11-08,30-077,IND,@,DET,L (-17),1,28:57,3,10,.300,0,3,.000,1,1,1.000,0,2,2,3,1,0,0,2,7,4.1,-5,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
13,13,2017-11-10,30-079,IND,@,CHI,W (+18),1,29:16,1,5,.200,1,3,.333,0,0,,1,2,3,7,1,0,1,3,3,4.9,+17,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
14,14,2017-11-12,30-081,IND,,HOU,L (-23),1,23:03,3,6,.500,2,2,1.000,1,3,.333,0,2,2,2,1,0,2,0,9,6.2,-22,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
15,15,2017-11-15,30-084,IND,@,MEM,W (+3),1,41:07,8,13,.615,2,4,.500,12,13,.923,0,2,2,8,0,0,1,1,30,28.5,+12,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
16,16,2017-11-17,30-086,IND,,DET,W (+7),1,31:10,6,10,.600,2,3,.667,2,2,1.000,1,0,1,6,1,1,1,2,16,16.2,-7,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
17,17,2017-11-19,30-088,IND,@,MIA,W (+25),1,31:37,5,9,.556,0,1,.000,2,2,1.000,0,2,2,10,0,0,2,0,12,13.3,+22,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
18,18,2017-11-20,30-089,IND,@,ORL,W (+8),1,34:45,2,11,.182,0,2,.000,2,2,1.000,1,5,6,8,3,0,2,4,6,6.3,+15,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
19,19,2017-11-24,30-093,IND,,TOR,W (+3),1,36:44,6,10,.600,2,4,.500,3,4,.750,0,3,3,8,0,0,1,2,17,16.7,+8,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
20,20,2017-11-25,30-094,IND,,BOS,L (-10),1,30:55,5,11,.455,1,4,.250,0,0,,1,4,5,5,4,0,3,2,11,10.9,+3,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
21,21,2017-11-27,30-096,IND,,ORL,W (+12),1,27:57,2,7,.286,1,2,.500,2,2,1.000,1,1,2,2,2,1,1,2,7,6.2,+9,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
22,22,2017-11-29,30-098,IND,@,HOU,L (-21),1,32:12,2,8,.250,1,3,.333,0,0,,3,3,6,5,1,0,2,4,5,4.1,-10,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
23,23,2017-12-01,30-100,IND,@,TOR,L (-5),1,33:40,5,13,.385,2,4,.500,4,5,.800,2,3,5,6,2,0,3,4,16,12.4,-7,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
24,24,2017-12-04,30-103,IND,,NYK,W (+18),1,25:46,4,10,.400,0,3,.000,2,2,1.000,0,4,4,10,3,2,0,1,10,16.8,+27,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
25,25,2017-12-06,30-105,IND,,CHI,W (+2),1,20:42,6,10,.600,2,5,.400,0,0,,0,1,1,2,0,0,1,3,14,8.9,-1,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
26,26,2017-12-08,30-107,IND,,CLE,W (+4),1,21:30,2,5,.400,2,3,.667,0,0,,1,4,5,3,0,0,1,4,6,4.7,-10,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
27,,2017-12-10,30-109,IND,,DEN,W (+10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
28,27,2017-12-13,30-112,IND,,OKC,L (-5),1,29:04,6,9,.667,2,3,.667,0,0,,1,2,3,3,0,1,1,3,14,12.0,+3,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
29,28,2017-12-15,30-114,IND,,DET,L (-6),1,31:04,4,8,.500,2,4,.500,0,0,,1,4,5,4,2,0,4,2,10,7.9,-8,2018,collida01,https://www.basketball-reference.com/players/c/collida01/gamelog/2018
