Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2002-10-30,23-332,UTA,@,NOH,L (-25),0,21:41,0,2,.000,0,0,,0,0,,2,3,5,1,0,0,0,4,0,0.0,-19,2003,collija03,https://www.basketball-reference.com/players/c/collija03/gamelog/2003
2,2,2002-10-31,23-333,UTA,@,ATL,L (-7),0,30:42,5,8,.625,0,0,,8,11,.727,4,1,5,1,0,0,2,2,18,14.2,-7,2003,collija03,https://www.basketball-reference.com/players/c/collija03/gamelog/2003
3,3,2002-11-02,23-335,UTA,,GSW,W (+9),0,21:22,3,8,.375,0,0,,0,1,.000,1,1,2,1,0,2,1,1,6,2.9,+7,2003,collija03,https://www.basketball-reference.com/players/c/collija03/gamelog/2003
4,4,2002-11-03,23-336,UTA,@,SEA,L (-14),0,9:08,2,2,1.000,0,0,,0,2,.000,0,1,1,0,0,0,1,2,4,1.1,-12,2003,collija03,https://www.basketball-reference.com/players/c/collija03/gamelog/2003
5,5,2002-11-06,23-339,UTA,,DET,L (-2),1,19:02,1,4,.250,0,0,,2,2,1.000,3,1,4,0,0,1,0,2,4,3.9,-1,2003,collija03,https://www.basketball-reference.com/players/c/collija03/gamelog/2003
6,6,2002-11-08,23-341,UTA,,ATL,W (+13),1,11:40,1,3,.333,0,0,,1,2,.500,3,0,3,1,0,0,1,4,3,1.1,+2,2003,collija03,https://www.basketball-reference.com/players/c/collija03/gamelog/2003
7,7,2002-11-11,23-344,UTA,@,BOS,L (-17),1,17:06,0,2,.000,0,0,,2,4,.500,0,1,1,0,0,0,2,3,2,-3.1,-20,2003,collija03,https://www.basketball-reference.com/players/c/collija03/gamelog/2003
8,8,2002-11-12,23-345,UTA,@,NYK,W (+21),1,21:06,1,4,.250,0,0,,2,2,1.000,2,3,5,3,0,0,0,3,4,4.8,+17,2003,collija03,https://www.basketball-reference.com/players/c/collija03/gamelog/2003
9,9,2002-11-14,23-347,UTA,@,WAS,L (-3),1,21:10,1,3,.333,0,0,,2,2,1.000,1,0,1,1,0,1,0,4,4,2.8,-7,2003,collija03,https://www.basketball-reference.com/players/c/collija03/gamelog/2003
10,10,2002-11-15,23-348,UTA,@,DET,L (-11),1,16:29,2,4,.500,0,0,,0,0,,1,0,1,0,1,0,1,2,4,1.9,-5,2003,collija03,https://www.basketball-reference.com/players/c/collija03/gamelog/2003
11,11,2002-11-17,23-350,UTA,@,TOR,W (+4),1,12:26,0,3,.000,0,0,,1,2,.500,0,0,0,0,0,1,0,3,1,-2.0,-18,2003,collija03,https://www.basketball-reference.com/players/c/collija03/gamelog/2003
