Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1981-10-30,23-085,NJN,,NYK,L (-4),1,40:00,11,21,.524,0,,,0,0,,,,6,2,,,,4,22,,1982,cookda01,https://www.basketball-reference.com/players/c/cookda01/gamelog/1982
2,2,1981-11-04,23-090,NJN,,ATL,L (-9),1,34:00,5,7,.714,0,0,,4,4,1.000,0,0,0,3,,0,,3,14,,1982,cookda01,https://www.basketball-reference.com/players/c/cookda01/gamelog/1982
3,3,1981-11-05,23-091,NJN,@,DET,L (-6),1,31:00,4,12,.333,0,0,,0,0,,,,4,3,,,,5,8,,1982,cookda01,https://www.basketball-reference.com/players/c/cookda01/gamelog/1982
4,4,1981-11-07,23-093,NJN,@,CHI,L (-13),1,35:00,6,14,.429,0,2,.000,0,0,,0,1,1,5,3,0,4,6,12,5.0,1982,cookda01,https://www.basketball-reference.com/players/c/cookda01/gamelog/1982
5,5,1981-11-08,23-094,NJN,,IND,W (+3),1,26:00,2,7,.286,0,2,.000,1,2,.500,0,0,0,2,,0,,4,5,,1982,cookda01,https://www.basketball-reference.com/players/c/cookda01/gamelog/1982
6,6,1981-11-10,23-096,NJN,@,NYK,L (-12),1,32:00,8,10,.800,0,,,2,2,1.000,,,2,4,,,,0,18,,1982,cookda01,https://www.basketball-reference.com/players/c/cookda01/gamelog/1982
7,7,1981-11-11,23-097,NJN,,MIL,L (-12),1,29:00,5,13,.385,0,0,,1,4,.250,,,2,3,3,1,1,4,11,,1982,cookda01,https://www.basketball-reference.com/players/c/cookda01/gamelog/1982
8,8,1981-11-13,23-099,NJN,@,BOS,L (-14),0,28:00,5,19,.263,0,0,,1,2,.500,,,3,2,,,,2,11,,1982,cookda01,https://www.basketball-reference.com/players/c/cookda01/gamelog/1982
9,9,1981-11-14,23-100,NJN,,KCK,W (+11),0,18:00,4,13,.308,0,,,1,2,.500,,,2,1,1,0,,4,9,,1982,cookda01,https://www.basketball-reference.com/players/c/cookda01/gamelog/1982
10,10,1981-11-18,23-104,NJN,@,GSW,L (-14),0,18:00,5,9,.556,1,1,1.000,5,5,1.000,0,1,1,2,1,0,0,1,16,14.0,1982,cookda01,https://www.basketball-reference.com/players/c/cookda01/gamelog/1982
