Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1996-11-01,33-306,ATL,@,MIA,L (-13),1,25:40,2,4,.500,0,2,.000,2,2,1.000,0,3,3,2,1,0,1,2,6,5.5,-4,1997,corbity01,https://www.basketball-reference.com/players/c/corbity01/gamelog/1997
2,2,1996-11-02,33-307,ATL,,DET,L (-12),1,25:26,2,6,.333,0,1,.000,0,0,,1,3,4,0,1,0,2,2,4,0.4,-11,1997,corbity01,https://www.basketball-reference.com/players/c/corbity01/gamelog/1997
3,3,1996-11-04,33-309,ATL,@,POR,W (+18),1,31:00,5,15,.333,2,3,.667,2,2,1.000,1,3,4,0,3,0,1,3,14,7.9,+20,1997,corbity01,https://www.basketball-reference.com/players/c/corbity01/gamelog/1997
4,4,1996-11-05,33-310,ATL,@,SEA,W (+22),1,36:42,6,9,.667,1,2,.500,0,0,,3,6,9,2,2,0,0,0,13,16.4,+26,1997,corbity01,https://www.basketball-reference.com/players/c/corbity01/gamelog/1997
5,5,1996-11-07,33-312,ATL,@,SAC,W (+4),1,27:34,3,8,.375,0,2,.000,4,4,1.000,2,3,5,1,4,0,3,3,10,8.4,+9,1997,corbity01,https://www.basketball-reference.com/players/c/corbity01/gamelog/1997
6,6,1996-11-10,33-315,ATL,@,LAL,L (-7),1,40:47,6,14,.429,0,4,.000,0,0,,3,5,8,1,2,0,2,3,12,7.7,0,1997,corbity01,https://www.basketball-reference.com/players/c/corbity01/gamelog/1997
7,7,1996-11-12,33-317,ATL,,CLE,W (+4),1,38:40,5,10,.500,1,1,1.000,2,2,1.000,3,3,6,3,1,0,3,4,13,9.5,+3,1997,corbity01,https://www.basketball-reference.com/players/c/corbity01/gamelog/1997
8,8,1996-11-13,33-318,ATL,@,BOS,L (-18),1,35:52,5,11,.455,1,2,.500,0,2,.000,2,4,6,2,0,0,3,3,11,4.3,-20,1997,corbity01,https://www.basketball-reference.com/players/c/corbity01/gamelog/1997
9,9,1996-11-15,33-320,ATL,,MIA,W (+8),1,40:33,5,10,.500,3,5,.600,9,10,.900,1,6,7,0,2,0,2,2,22,18.3,+6,1997,corbity01,https://www.basketball-reference.com/players/c/corbity01/gamelog/1997
10,10,1996-11-16,33-321,ATL,@,CHI,L (-28),1,28:27,1,7,.143,0,0,,2,2,1.000,0,2,2,0,1,0,0,4,4,-0.5,-8,1997,corbity01,https://www.basketball-reference.com/players/c/corbity01/gamelog/1997
