Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1984-10-26,28-184,CHI,,WSB,W (+16),0,6:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,2,2,-0.5,1985,corzida01,https://www.basketball-reference.com/players/c/corzida01/gamelog/1985
2,2,1984-10-27,28-185,CHI,@,MIL,L (-2),0,30:00,3,7,.429,0,0,,3,4,.750,3,6,9,1,1,2,2,2,9,9.1,1985,corzida01,https://www.basketball-reference.com/players/c/corzida01/gamelog/1985
3,3,1984-10-29,28-187,CHI,,MIL,W (+6),0,20:00,0,1,.000,0,0,,2,2,1.000,1,4,5,0,2,0,4,2,2,0.4,1985,corzida01,https://www.basketball-reference.com/players/c/corzida01/gamelog/1985
4,4,1984-10-30,28-188,CHI,@,KCK,W (+5),0,22:00,5,9,.556,0,0,,1,1,1.000,1,3,4,2,0,0,4,4,11,4.1,1985,corzida01,https://www.basketball-reference.com/players/c/corzida01/gamelog/1985
5,5,1984-11-01,28-190,CHI,@,DEN,L (-16),0,21:00,4,7,.571,0,0,,2,2,1.000,1,5,6,0,0,0,1,2,10,7.1,1985,corzida01,https://www.basketball-reference.com/players/c/corzida01/gamelog/1985
6,6,1984-11-07,28-196,CHI,@,DET,W (+4),0,23:00,2,5,.400,0,0,,0,0,,2,4,6,1,0,1,4,4,4,-0.3,1985,corzida01,https://www.basketball-reference.com/players/c/corzida01/gamelog/1985
7,7,1984-11-08,28-197,CHI,@,NYK,W (+15),0,23:00,5,5,1.000,0,0,,3,5,.600,1,6,7,1,2,0,3,2,13,12.1,1985,corzida01,https://www.basketball-reference.com/players/c/corzida01/gamelog/1985
8,8,1984-11-10,28-199,CHI,@,IND,W (+2),0,30:00,5,10,.500,0,0,,1,2,.500,4,9,13,0,0,0,1,3,11,8.9,1985,corzida01,https://www.basketball-reference.com/players/c/corzida01/gamelog/1985
9,9,1984-11-13,28-202,CHI,,SAS,W (+3),0,22:00,1,5,.200,0,0,,0,0,,2,1,3,0,0,0,1,1,2,-0.8,1985,corzida01,https://www.basketball-reference.com/players/c/corzida01/gamelog/1985
10,10,1984-11-15,28-204,CHI,,BOS,L (-20),0,18:00,1,9,.111,0,0,,0,0,,4,1,5,2,0,1,0,0,2,1.3,1985,corzida01,https://www.basketball-reference.com/players/c/corzida01/gamelog/1985
11,11,1984-11-17,28-206,CHI,,PHI,L (-9),0,31:00,3,5,.600,0,0,,5,5,1.000,1,3,4,1,1,0,1,6,11,8.6,1985,corzida01,https://www.basketball-reference.com/players/c/corzida01/gamelog/1985
12,12,1984-11-19,28-208,CHI,,IND,L (-17),0,10:00,1,3,.333,0,0,,2,2,1.000,0,2,2,0,0,0,0,1,4,2.5,1985,corzida01,https://www.basketball-reference.com/players/c/corzida01/gamelog/1985
13,13,1984-11-21,28-210,CHI,@,MIL,L (-10),0,20:00,1,3,.333,0,1,.000,0,0,,0,2,2,3,0,0,0,2,2,2.2,1985,corzida01,https://www.basketball-reference.com/players/c/corzida01/gamelog/1985
14,14,1984-11-23,28-212,CHI,@,SEA,W (+19),0,16:00,1,4,.250,0,0,,2,2,1.000,2,4,6,1,0,2,0,1,4,5.9,1985,corzida01,https://www.basketball-reference.com/players/c/corzida01/gamelog/1985
