Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1990-02-02,29-011,SEA,@,IND,W (+1),0,25:00,5,14,.357,0,0,,1,2,.500,0,3,3,3,3,0,2,5,11,4.8,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
2,2,1990-02-03,29-012,SEA,@,WSB,W (+2),0,24:00,6,12,.500,0,0,,1,2,.500,2,2,4,0,0,0,2,1,13,6.2,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
3,3,1990-02-05,29-014,SEA,@,CHH,W (+1),0,18:00,4,9,.444,0,0,,3,4,.750,1,1,2,2,1,0,4,3,11,4.1,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
4,4,1990-02-07,29-016,SEA,,PHO,L (-4),0,24:00,10,15,.667,0,0,,2,2,1.000,0,0,0,0,1,0,1,4,22,13.9,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
5,5,1990-02-13,29-022,SEA,,POR,L (-4),0,21:00,5,9,.556,0,0,,1,1,1.000,1,0,1,2,0,0,6,3,11,1.6,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
6,6,1990-02-15,29-024,SEA,@,NJN,W (+11),0,14:00,2,9,.222,0,0,,6,8,.750,2,2,4,1,0,0,0,3,10,5.2,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
7,7,1990-02-16,29-025,SEA,@,PHI,L (-4),0,14:00,2,5,.400,0,0,,2,2,1.000,0,2,2,2,0,0,0,3,6,4.1,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
8,8,1990-02-18,29-027,SEA,@,CHH,W (+15),0,22:00,4,5,.800,0,0,,1,2,.500,0,1,1,1,0,0,0,4,9,6.1,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
9,9,1990-02-20,29-029,SEA,@,ORL,W (+15),0,11:00,5,11,.455,0,1,.000,2,2,1.000,0,1,1,2,1,0,1,2,12,7.2,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
10,10,1990-02-21,29-030,SEA,@,MIA,W (+7),0,24:00,3,11,.273,0,0,,1,2,.500,0,2,2,0,3,0,1,4,7,1.1,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
11,11,1990-02-23,29-032,SEA,,SAC,W (+12),1,29:00,10,18,.556,0,0,,0,0,,0,3,3,1,1,0,0,3,20,12.8,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
12,12,1990-02-25,29-034,SEA,,GSW,W (+8),1,30:00,5,17,.294,0,1,.000,4,6,.667,2,1,3,1,0,0,2,2,14,2.9,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
13,13,1990-02-27,29-036,SEA,@,LAC,L (-4),0,26:00,9,16,.563,0,0,,3,4,.750,0,1,1,2,0,0,1,4,21,12.1,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
14,14,1990-02-28,29-037,SEA,,LAL,L (-5),0,14:00,2,8,.250,0,0,,2,2,1.000,1,0,1,1,0,0,0,3,6,1.4,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
15,15,1990-03-02,29-039,SEA,,MIN,W (+16),0,25:00,3,11,.273,0,0,,2,2,1.000,2,2,4,2,0,0,0,1,8,4.5,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
16,16,1990-03-03,29-040,SEA,@,POR,L (-12),0,29:00,5,12,.417,0,0,,7,10,.700,2,1,3,2,1,0,2,3,17,10.3,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
17,17,1990-03-06,29-043,SEA,,CLE,W (+5),0,12:00,1,8,.125,0,1,.000,0,0,,0,1,1,2,0,0,2,2,2,-4.3,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
18,18,1990-03-08,29-045,SEA,@,HOU,L (-14),0,16:00,2,6,.333,0,1,.000,2,2,1.000,0,1,1,2,1,0,3,2,6,1.5,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
19,19,1990-03-20,29-057,SEA,,SAS,L (-22),0,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
20,20,1990-03-24,29-061,SEA,@,PHO,L (-26),0,12:00,1,5,.200,0,0,,0,0,,1,1,2,2,0,0,0,0,2,1.3,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
21,21,1990-03-25,29-062,SEA,@,LAL,L (-22),0,6:00,1,4,.250,0,0,,0,0,,0,2,2,0,0,0,0,1,2,-0.2,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
22,22,1990-03-30,29-067,SEA,,GSW,W (+31),0,7:00,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-1.7,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
23,23,1990-04-06,29-074,SEA,@,DEN,L (-16),0,6:00,1,2,.500,0,0,,0,1,.000,0,0,0,1,0,0,0,1,2,0.9,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
24,24,1990-04-10,29-078,SEA,@,UTA,L (-12),0,3:00,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,1.3,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
25,25,1990-04-12,29-080,SEA,,DEN,W (+10),0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
26,26,1990-04-14,29-082,SEA,,PHO,W (+7),0,4:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
27,27,1990-04-17,29-085,SEA,,LAL,L (-1),0,10:00,3,5,.600,0,0,,0,0,,0,0,0,0,0,0,0,3,6,2.5,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
28,28,1990-04-19,29-087,SEA,@,SAC,W (+12),0,16:00,3,9,.333,0,0,,2,2,1.000,3,0,3,1,0,0,0,1,8,5.3,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
29,29,1990-04-20,29-088,SEA,,LAC,W (+22),0,14:00,0,4,.000,0,0,,4,4,1.000,0,4,4,1,0,0,3,1,4,-0.3,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
30,30,1990-04-22,29-090,SEA,@,GSW,L (-2),0,30:00,5,10,.500,1,1,1.000,4,4,1.000,1,1,2,2,0,0,3,3,15,8.2,1990,dailequ01,https://www.basketball-reference.com/players/d/dailequ01/gamelog/1990
