Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
1,1,1974-10-19,23-164,KCO,@,PHO,W (+3),0,6:00,0,0,,0,0,,0,0,0,0,0,0,1,0,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
2,2,1974-10-20,23-165,KCO,@,LAL,W (+10),0,6:00,0,0,,0,0,,0,1,1,1,1,,0,0,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
3,3,1974-10-22,23-167,KCO,,WSB,L (-2),,9:00,0,0,,0,0,,,,2,2,,,0,0,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
4,4,1974-10-23,23-168,KCO,,CHI,W (+1),0,9:00,2,4,.500,3,3,1.000,1,1,2,0,2,0,1,7,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
5,5,1974-10-25,23-170,KCO,@,CHI,W (+21),0,20:00,2,5,.400,0,0,,1,3,4,2,3,0,3,4,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
6,6,1974-10-30,23-175,KCO,,MIL,W (+2),0,10:00,0,2,.000,0,0,,,,1,1,,0,0,0,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
7,7,1974-11-02,23-178,KCO,@,HOU,L (-23),,,1,3,.333,0,0,,,,1,2,,,1,2,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
8,8,1974-11-03,23-179,KCO,,CHI,L (-7),0,15:00,3,6,.500,0,0,,1,2,3,0,2,0,1,6,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
9,9,1974-11-05,23-181,KCO,,NOJ,W (+18),0,,0,2,.000,2,2,1.000,,,4,3,,,1,2,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
10,10,1974-11-06,23-182,KCO,@,DET,L (-14),0,,1,7,.143,0,0,,,,2,6,,,3,2,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
11,11,1974-11-10,23-186,KCO,,BOS,L (-3),,3:00,1,2,.500,2,2,1.000,0,0,0,0,,,0,4,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
12,12,1974-11-13,23-189,KCO,@,WSB,L (-37),,22:00,2,4,.500,4,4,1.000,,,3,0,,,5,8,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
13,13,1974-11-16,23-192,KCO,@,BUF,L (-5),0,3:00,1,2,.500,1,2,.500,,,1,0,,,0,3,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
14,14,1974-11-19,23-195,KCO,,DET,W (+10),,,2,2,1.000,2,2,1.000,,,1,0,,,1,6,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
15,15,1974-11-21,23-197,KCO,,MIL,L (-10),0,11:00,0,4,.000,2,2,1.000,0,0,0,0,1,0,0,2,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
16,16,1974-11-23,23-199,KCO,@,ATL,W (+3),0,,0,0,,0,0,,,,3,2,,,2,0,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
17,17,1974-11-27,23-203,KCO,,LAL,W (+18),0,4:00,2,3,.667,0,0,,0,0,0,2,0,0,1,4,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
