Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2000-10-31,21-201,CHH,@,ATL,W (+24),1,35:37,7,11,.636,2,2,1.000,4,7,.571,1,5,6,3,2,0,5,3,20,14.0,+14,2001,davisba01,https://www.basketball-reference.com/players/d/davisba01/gamelog/2001
2,2,2000-11-01,21-202,CHH,,WAS,L (-18),1,38:51,2,10,.200,0,1,.000,2,2,1.000,3,1,4,6,4,1,2,5,6,7.1,-14,2001,davisba01,https://www.basketball-reference.com/players/d/davisba01/gamelog/2001
3,3,2000-11-03,21-204,CHH,,MIA,W (+4),1,42:03,7,14,.500,1,2,.500,6,7,.857,1,2,3,5,2,1,3,4,21,16.5,+9,2001,davisba01,https://www.basketball-reference.com/players/d/davisba01/gamelog/2001
4,4,2000-11-04,21-205,CHH,@,NJN,W (+11),1,36:43,7,13,.538,1,1,1.000,5,5,1.000,2,3,5,6,1,1,2,3,20,18.7,-3,2001,davisba01,https://www.basketball-reference.com/players/d/davisba01/gamelog/2001
5,5,2000-11-08,21-209,CHH,@,ORL,W (+6),1,39:29,3,9,.333,3,4,.750,4,8,.500,0,0,0,6,4,1,4,4,13,9.6,+9,2001,davisba01,https://www.basketball-reference.com/players/d/davisba01/gamelog/2001
6,6,2000-11-09,21-210,CHH,,SEA,L (-8),1,18:55,1,3,.333,0,1,.000,4,4,1.000,1,0,1,4,0,1,2,1,6,6.1,0,2001,davisba01,https://www.basketball-reference.com/players/d/davisba01/gamelog/2001
7,7,2000-11-11,21-212,CHH,@,NYK,L (-14),1,41:11,7,16,.438,1,5,.200,0,2,.000,2,7,9,3,0,0,3,3,15,7.2,-19,2001,davisba01,https://www.basketball-reference.com/players/d/davisba01/gamelog/2001
8,8,2000-11-14,21-215,CHH,@,MIA,L (-3),1,40:53,3,8,.375,0,2,.000,1,2,.500,1,4,5,3,0,0,3,5,7,1.2,+4,2001,davisba01,https://www.basketball-reference.com/players/d/davisba01/gamelog/2001
9,9,2000-11-16,21-217,CHH,@,HOU,L (-4),1,42:43,9,17,.529,2,2,1.000,0,0,,5,3,8,4,3,0,4,2,20,17.1,+3,2001,davisba01,https://www.basketball-reference.com/players/d/davisba01/gamelog/2001
10,10,2000-11-17,21-218,CHH,,DET,L (-7),1,32:53,1,9,.111,0,2,.000,4,4,1.000,1,2,3,6,0,0,4,5,6,-0.4,-4,2001,davisba01,https://www.basketball-reference.com/players/d/davisba01/gamelog/2001
11,11,2000-11-19,21-220,CHH,@,DET,W (+9),1,43:03,7,18,.389,2,7,.286,9,12,.750,0,10,10,8,7,1,7,4,25,21.7,+9,2001,davisba01,https://www.basketball-reference.com/players/d/davisba01/gamelog/2001
12,12,2000-11-20,21-221,CHH,@,TOR,W (+36),1,34:45,4,10,.400,0,3,.000,1,2,.500,1,6,7,9,2,0,5,2,9,8.2,+28,2001,davisba01,https://www.basketball-reference.com/players/d/davisba01/gamelog/2001
13,13,2000-11-22,21-223,CHH,,PHI,W (+15),1,40:55,5,12,.417,1,2,.500,1,1,1.000,4,6,10,11,0,1,3,5,12,13.6,+18,2001,davisba01,https://www.basketball-reference.com/players/d/davisba01/gamelog/2001
