Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1977-10-21,21-308,LAL,@,DEN,L (-5),0,22:00,2,3,.667,3,4,.750,0,1,1,7,2,0,4,3,7,7.3,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
2,2,1977-10-23,21-310,LAL,,PHO,L (-3),1,28:00,2,8,.250,0,0,,0,1,1,5,0,0,6,2,4,-3.8,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
3,3,1977-10-25,21-312,LAL,,SAS,W (+2),0,10:00,1,1,1.000,0,0,,0,0,0,1,1,1,0,1,2,3.7,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
4,4,1977-10-28,21-315,LAL,@,ATL,L (-7),0,5:00,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
5,5,1977-10-29,21-316,LAL,@,SAS,L (-11),0,17:00,2,2,1.000,3,3,1.000,0,0,0,4,2,0,2,3,7,8.0,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
6,6,1977-11-11,21-329,LAL,,NOJ,W (+16),0,11:00,1,3,.333,0,0,,0,4,4,3,2,0,1,1,2,4.2,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
7,7,1977-12-30,22-013,LAL,,KCK,W (+10),0,1:00,0,0,,1,2,.500,0,0,0,0,0,0,2,0,1,-1.4,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
8,8,1978-01-06,22-020,LAL,@,PHI,L (-13),0,4:00,1,2,.500,2,2,1.000,0,1,1,2,0,0,0,0,4,4.7,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
9,9,1978-01-08,22-022,LAL,@,IND,L (-1),0,3:00,0,0,,0,0,,0,2,2,1,0,0,1,1,0,-0.1,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
10,10,1978-01-17,22-031,LAL,,NYK,W (+13),0,9:00,1,1,1.000,0,0,,0,0,0,3,0,0,1,0,2,2.8,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
11,11,1978-01-20,22-034,LAL,,WSB,W (+22),0,13:00,1,3,.333,1,2,.500,0,1,1,1,1,0,1,0,3,1.9,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
12,12,1978-01-22,22-036,LAL,,HOU,W (+5),0,7:00,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
13,13,1978-01-24,22-038,LAL,,PHI,W (+15),0,3:00,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
14,14,1978-01-27,22-041,LAL,,MIL,W (+17),0,22:00,4,6,.667,2,2,1.000,0,4,4,2,0,0,1,2,10,8.2,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
15,15,1978-02-07,22-052,LAL,@,BUF,W (+27),0,23:00,4,6,.667,1,1,1.000,0,3,3,6,0,0,,6,9,,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
16,16,1978-02-10,22-055,LAL,,GSW,W (+28),0,11:00,2,2,1.000,0,0,,0,2,2,5,1,0,2,0,4,6.5,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
17,17,1978-02-17,22-062,LAL,,BOS,W (+8),0,15:00,1,2,.500,0,0,,0,2,2,8,0,0,2,2,2,4.4,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
18,18,1978-02-19,22-064,LAL,@,GSW,W (+22),0,11:00,3,3,1.000,1,2,.500,2,1,3,5,1,0,1,2,7,10.1,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
19,19,1978-03-05,22-078,LAL,,CLE,W (+11),0,3:00,0,0,,0,0,,0,0,0,0,1,0,2,1,0,-1.4,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
20,20,1978-03-12,22-085,LAL,,PHO,W (+16),0,3:00,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
21,21,1978-03-14,22-087,LAL,@,NYK,W (+18),0,2:00,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
22,22,1978-03-15,22-088,LAL,@,PHI,L (-20),0,9:00,1,4,.250,0,0,,0,1,1,1,1,0,0,0,2,1.6,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
23,23,1978-03-17,22-090,LAL,,SEA,L (-7),0,4:00,0,0,,0,0,,0,0,0,2,0,0,1,1,0,0.0,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
24,24,1978-03-19,22-092,LAL,,ATL,W (+14),0,14:00,1,4,.250,0,0,,1,1,2,3,0,0,0,1,2,2.3,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
25,25,1978-03-22,22-095,LAL,@,HOU,W (+18),0,2:00,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
26,26,1978-03-24,22-097,LAL,,BUF,W (+5),0,2:00,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
27,27,1978-03-26,22-099,LAL,,IND,W (+11),0,19:00,1,6,.167,1,2,.500,0,2,2,5,1,0,0,1,3,3.5,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
28,28,1978-03-28,22-101,LAL,@,ATL,L (-1),0,6:00,1,2,.500,2,2,1.000,0,0,0,1,0,0,1,0,4,2.7,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
29,29,1978-03-29,22-102,LAL,@,NOJ,W (+5),0,8:00,0,3,.000,2,2,1.000,0,2,2,0,1,0,2,2,2,-1.3,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
30,30,1978-04-02,22-106,LAL,,KCK,W (+6),0,3:00,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
31,31,1978-04-05,22-109,LAL,@,WSB,L (-6),0,5:00,1,1,1.000,0,0,,0,0,0,1,,,,1,2,,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
32,32,1978-04-07,22-111,LAL,,NJN,W (+8),0,20:00,0,3,.000,3,5,.600,,,2,6,,,,2,3,,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
33,33,1978-04-09,22-113,LAL,@,POR,L (-15),0,19:00,0,3,.000,0,0,,1,0,1,7,0,0,0,4,0,1.9,1978,davisbr01,https://www.basketball-reference.com/players/d/davisbr01/gamelog/1978
