Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1972-10-10,22-348,CLE,,BAL,L (-12),0,7:00,2,2,1.000,0,0,,1,1,1,4,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
2,2,1972-10-13,22-351,CLE,,HOU,L (-1),0,32:00,7,13,.538,1,2,.500,12,2,3,15,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
3,3,1972-10-15,22-353,CLE,,LAL,L (-12),0,35:00,4,10,.400,0,0,,8,4,5,8,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
4,4,1972-10-20,22-358,CLE,,NYK,L (-3),0,19:00,5,8,.625,0,0,,5,2,1,10,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
5,5,1972-10-21,22-359,CLE,@,DET,L (-7),,28:00,6,13,.462,6,8,.750,8,2,5,18,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
6,6,1972-10-22,22-360,CLE,,MIL,L (-20),1,23:00,4,11,.364,2,2,1.000,4,1,6,10,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
7,7,1972-10-24,22-362,CLE,@,NYK,L (-33),1,32:00,3,12,.250,0,0,,10,1,4,6,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
8,8,1972-10-25,22-363,CLE,@,PHI,W (+5),1,16:00,4,5,.800,2,3,.667,3,1,6,10,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
9,9,1972-10-27,22-365,CLE,@,BOS,L (-26),1,24:00,2,6,.333,0,0,,5,1,6,4,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
10,10,1972-10-29,23-001,CLE,,KCO,W (+18),1,28:00,4,8,.500,0,0,,1,1,4,8,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
11,11,1972-10-31,23-003,CLE,,PHI,W (+10),1,15:00,1,3,.333,2,2,1.000,4,1,3,4,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
12,12,1972-11-03,23-006,CLE,,BUF,W (+27),1,33:00,6,12,.500,0,0,,13,3,3,12,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
13,13,1972-11-04,23-007,CLE,,BAL,L (-10),1,42:00,5,10,.500,5,8,.625,8,0,4,15,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
14,14,1972-11-05,23-008,CLE,,PHO,L (-1),1,35:00,2,11,.182,1,1,1.000,14,2,5,5,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
15,15,1972-11-08,23-011,CLE,@,PHO,L (-8),1,23:00,4,9,.444,4,4,1.000,8,1,3,12,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
16,16,1972-11-10,23-013,CLE,@,LAL,L (-30),1,30:00,4,8,.500,3,5,.600,8,0,4,11,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
17,17,1972-11-12,23-015,CLE,@,SEA,W (+6),1,41:00,7,12,.583,6,6,1.000,7,3,3,20,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
18,18,1972-11-14,23-017,CLE,@,POR,L (-9),1,37:00,7,12,.583,7,9,.778,13,2,5,21,1973,davisdw01,https://www.basketball-reference.com/players/d/davisdw01/gamelog/1973
