Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2002-10-30,24-044,ATL,@,NJN,L (-11),0,7:25,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,2,2,2,-1.5,-6,2003,dickada01,https://www.basketball-reference.com/players/d/dickada01/gamelog/2003
2,2,2002-10-31,24-045,ATL,,UTA,W (+7),0,6:28,1,2,.500,0,1,.000,0,0,,0,0,0,1,1,0,2,0,2,0.7,-3,2003,dickada01,https://www.basketball-reference.com/players/d/dickada01/gamelog/2003
3,3,2002-11-02,24-047,ATL,,CHI,W (+6),0,3:01,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,2,0,-3.2,-3,2003,dickada01,https://www.basketball-reference.com/players/d/dickada01/gamelog/2003
4,4,2002-11-05,24-050,ATL,@,DEN,W (+16),0,5:12,0,0,,0,0,,0,0,,0,0,0,1,1,0,3,2,0,-2.1,0,2003,dickada01,https://www.basketball-reference.com/players/d/dickada01/gamelog/2003
5,,2002-11-06,24-051,ATL,@,PHO,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,dickada01,https://www.basketball-reference.com/players/d/dickada01/gamelog/2003
6,5,2002-11-08,24-053,ATL,@,UTA,L (-13),0,1:11,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+1,2003,dickada01,https://www.basketball-reference.com/players/d/dickada01/gamelog/2003
7,,2002-11-10,24-055,ATL,@,SAC,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,dickada01,https://www.basketball-reference.com/players/d/dickada01/gamelog/2003
8,,2002-11-12,24-057,ATL,@,LAL,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,dickada01,https://www.basketball-reference.com/players/d/dickada01/gamelog/2003
9,,2002-11-16,24-061,ATL,,NOH,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,dickada01,https://www.basketball-reference.com/players/d/dickada01/gamelog/2003
10,6,2002-11-18,24-063,ATL,,TOR,W (+25),0,8:50,2,5,.400,2,3,.667,0,0,,0,0,0,1,0,0,1,2,6,2.2,-4,2003,dickada01,https://www.basketball-reference.com/players/d/dickada01/gamelog/2003
