Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2010-10-27,28-270,CHA,@,DAL,L (-15),0,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,2011,diopde01,https://www.basketball-reference.com/players/d/diopde01/gamelog/2011
2,2,2010-10-29,28-272,CHA,,IND,L (-3),0,21:48,0,2,.000,0,0,,0,0,,3,4,7,0,0,1,1,6,0,-0.8,-9,2011,diopde01,https://www.basketball-reference.com/players/d/diopde01/gamelog/2011
3,3,2010-10-30,28-273,CHA,@,MIL,L (-10),0,4:35,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,0,0,-2.0,-2,2011,diopde01,https://www.basketball-reference.com/players/d/diopde01/gamelog/2011
4,4,2010-11-03,28-277,CHA,@,NJN,W (+2),0,17:46,1,3,.333,0,0,,0,1,.000,2,2,4,0,1,1,0,0,2,3.6,-9,2011,diopde01,https://www.basketball-reference.com/players/d/diopde01/gamelog/2011
5,5,2010-11-05,28-279,CHA,@,DET,L (-7),0,3:59,0,0,,0,0,,1,2,.500,0,1,1,0,0,1,1,0,1,0.6,+2,2011,diopde01,https://www.basketball-reference.com/players/d/diopde01/gamelog/2011
6,6,2010-11-06,28-280,CHA,,ORL,L (-3),0,11:51,0,2,.000,0,0,,0,0,,1,2,3,2,0,2,2,4,0,-0.9,-3,2011,diopde01,https://www.basketball-reference.com/players/d/diopde01/gamelog/2011
7,7,2010-11-08,28-282,CHA,,SAS,L (-4),0,14:57,2,2,1.000,0,0,,0,0,,1,3,4,1,0,2,0,4,4,5.5,-6,2011,diopde01,https://www.basketball-reference.com/players/d/diopde01/gamelog/2011
8,8,2010-11-10,28-284,CHA,@,TOR,W (+5),0,3:58,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0.3,0,2011,diopde01,https://www.basketball-reference.com/players/d/diopde01/gamelog/2011
9,9,2010-11-12,28-286,CHA,@,WAS,W (+8),0,11:16,0,1,.000,0,0,,0,0,,1,3,4,0,0,0,0,0,0,0.9,-4,2011,diopde01,https://www.basketball-reference.com/players/d/diopde01/gamelog/2011
10,10,2010-11-13,28-287,CHA,,UTA,L (-1),0,10:56,1,3,.333,0,0,,0,0,,0,1,1,1,0,1,0,2,2,1.2,-8,2011,diopde01,https://www.basketball-reference.com/players/d/diopde01/gamelog/2011
