Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1967-10-17,26-330,DET,,CIN,W (+23),,,7,15,.467,0,0,,9,,2,14,1968,dischte01,https://www.basketball-reference.com/players/d/dischte01/gamelog/1968
2,2,1967-10-21,26-334,DET,@,PHI,L (-5),,32:00,7,18,.389,2,3,.667,12,3,4,16,1968,dischte01,https://www.basketball-reference.com/players/d/dischte01/gamelog/1968
3,3,1967-10-24,26-337,DET,,PHI,L (-22),,22:00,2,9,.222,4,4,1.000,6,2,3,8,1968,dischte01,https://www.basketball-reference.com/players/d/dischte01/gamelog/1968
4,4,1967-10-25,26-338,DET,,CHI,W (+8),,43:00,6,12,.500,5,7,.714,12,2,4,17,1968,dischte01,https://www.basketball-reference.com/players/d/dischte01/gamelog/1968
5,5,1967-10-27,26-340,DET,,BOS,L (-19),,,8,,,2,2,1.000,,,,18,1968,dischte01,https://www.basketball-reference.com/players/d/dischte01/gamelog/1968
6,6,1967-10-28,26-341,DET,@,NYK,W (+13),,17:00,6,11,.545,4,5,.800,3,1,4,16,1968,dischte01,https://www.basketball-reference.com/players/d/dischte01/gamelog/1968
7,7,1967-11-01,26-345,DET,,SFW,L (-5),,31:00,7,13,.538,3,5,.600,5,2,6,17,1968,dischte01,https://www.basketball-reference.com/players/d/dischte01/gamelog/1968
8,8,1967-11-03,26-347,DET,@,BAL,W (+2),,27:00,4,10,.400,2,2,1.000,7,0,6,10,1968,dischte01,https://www.basketball-reference.com/players/d/dischte01/gamelog/1968
9,9,1967-11-04,26-348,DET,,BAL,W (+9),,40:00,8,12,.667,9,11,.818,9,3,4,25,1968,dischte01,https://www.basketball-reference.com/players/d/dischte01/gamelog/1968
10,10,1967-11-08,26-352,DET,,NYK,W (+2),,,8,,,2,4,.500,,,2,18,1968,dischte01,https://www.basketball-reference.com/players/d/dischte01/gamelog/1968
11,11,1967-11-09,26-353,DET,,SEA,W (+1),,,8,12,.667,4,6,.667,12,2,5,20,1968,dischte01,https://www.basketball-reference.com/players/d/dischte01/gamelog/1968
