Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2003-10-29,26-136,NYK,,ORL,L (-2),0,19:51,3,5,.600,0,0,,0,1,.000,2,5,7,0,1,0,3,2,6,3.4,+1,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
2,2,2003-11-01,26-139,NYK,@,SAS,L (-12),0,20:48,3,8,.375,0,0,,2,2,1.000,3,4,7,1,0,0,2,3,8,4.4,-11,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
3,3,2003-11-03,26-141,NYK,@,ORL,W (+7),0,16:20,3,4,.750,0,0,,0,0,,1,1,2,1,1,0,2,0,6,5.1,+9,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
4,4,2003-11-05,26-143,NYK,,MIL,L (-16),0,8:47,0,1,.000,0,0,,0,0,,0,2,2,1,0,1,0,1,0,0.9,0,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
5,5,2003-11-07,26-145,NYK,,SAC,W (+3),0,5:19,1,3,.333,0,0,,0,0,,2,0,2,0,0,0,1,2,2,-0.1,-6,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
6,6,2003-11-08,26-146,NYK,@,MIL,L (-3),0,8:50,1,4,.250,0,0,,0,0,,2,2,4,0,0,0,0,1,2,1.2,+2,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
7,7,2003-11-10,26-148,NYK,@,CLE,L (-14),0,8:05,2,3,.667,0,0,,0,0,,0,1,1,0,0,0,0,0,4,3.0,-9,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
8,8,2003-11-14,26-152,NYK,@,NJN,L (-5),0,27:03,3,11,.273,0,0,,0,0,,0,7,7,0,0,2,2,4,6,-0.6,0,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
9,9,2003-11-15,26-153,NYK,,IND,L (-1),0,11:53,2,3,.667,0,0,,0,0,,1,2,3,0,0,1,1,2,4,2.9,-4,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
10,10,2003-11-17,26-155,NYK,,BOS,W (+3),0,19:21,3,9,.333,0,0,,2,2,1.000,4,5,9,0,0,2,3,5,8,3.6,-5,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
11,11,2003-11-19,26-157,NYK,,LAL,L (-21),0,26:13,3,9,.333,0,0,,0,0,,1,3,4,0,1,0,2,4,6,-0.1,-16,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
12,12,2003-11-21,26-159,NYK,@,DET,L (-9),0,20:03,3,4,.750,0,0,,2,2,1.000,2,3,5,3,1,0,0,4,8,10.2,0,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
13,13,2003-11-22,26-160,NYK,,PHI,W (+11),0,17:02,4,8,.500,0,0,,4,4,1.000,2,3,5,1,3,4,1,1,12,15.4,-1,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
14,14,2003-11-24,26-162,NYK,@,BOS,W (+6),0,14:17,0,3,.000,0,0,,2,2,1.000,0,3,3,1,0,1,0,3,2,1.0,-5,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
15,15,2003-11-26,26-164,NYK,@,MIN,W (+5),0,5:14,3,3,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,6,4.3,+2,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
16,16,2003-11-27,26-165,NYK,@,IND,L (-23),0,14:23,1,4,.250,0,0,,2,2,1.000,1,3,4,0,1,1,2,0,4,2.9,-3,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
17,17,2003-11-29,26-167,NYK,,NOH,W (+5),0,14:57,0,4,.000,0,0,,0,0,,2,4,6,1,0,0,1,2,0,-1.3,+5,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
18,18,2003-12-01,26-169,NYK,,DET,L (-1),0,9:55,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,2,2,-0.2,-5,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
19,19,2003-12-03,26-171,NYK,@,SEA,L (-8),0,17:08,2,4,.500,0,0,,0,0,,1,1,2,0,0,0,1,0,4,2.0,-6,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
20,20,2003-12-05,26-173,NYK,@,POR,L (-7),0,15:49,2,5,.400,0,0,,0,0,,0,3,3,2,1,1,1,1,4,3.9,-2,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
21,,2003-12-06,26-174,NYK,@,GSW,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
22,21,2003-12-09,26-177,NYK,@,LAL,L (-8),0,8:09,0,4,.000,0,0,,0,0,,1,2,3,0,0,0,1,0,0,-2.5,+2,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
23,22,2003-12-10,26-178,NYK,@,UTA,L (-22),0,21:38,2,4,.500,0,0,,0,0,,4,3,7,3,0,1,0,1,4,8.1,+4,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
24,23,2003-12-13,26-181,NYK,,DEN,W (+7),0,20:25,4,5,.800,0,0,,0,0,,1,6,7,1,0,1,0,0,8,10.0,+3,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
25,24,2003-12-14,26-182,NYK,,WAS,W (+2),0,7:00,0,2,.000,0,0,,0,0,,1,2,3,0,0,0,0,3,0,-1.3,-1,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
26,25,2003-12-16,26-184,NYK,,GSW,L (-18),0,8:04,1,2,.500,0,0,,1,2,.500,2,2,4,0,0,0,0,1,3,3.2,-3,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
27,26,2003-12-19,26-187,NYK,@,TOR,L (-6),0,6:12,1,4,.250,0,0,,0,0,,0,1,1,0,1,0,0,0,2,0.9,-9,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
28,27,2003-12-20,26-188,NYK,,ATL,W (+11),0,11:00,3,4,.750,0,0,,1,2,.500,1,1,2,0,0,1,0,0,7,6.7,+4,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
29,28,2003-12-23,26-191,NYK,,MIN,L (-6),0,12:24,1,2,.500,0,0,,0,0,,1,1,2,1,0,1,0,0,2,3.4,-1,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
30,,2003-12-26,26-194,NYK,@,MEM,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
31,29,2003-12-27,26-195,NYK,@,MIA,W (+20),0,4:26,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-6,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
32,30,2003-12-29,26-197,NYK,@,ORL,W (+28),0,7:37,4,5,.800,0,0,,0,0,,1,2,3,0,0,1,1,3,8,5.9,-4,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
33,31,2004-01-10,26-209,NYK,,MIL,W (+6),0,3:14,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+2,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
34,,2004-01-12,26-211,NYK,,DAL,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
35,32,2004-01-14,26-213,NYK,,ORL,W (+10),0,8:57,2,5,.400,0,0,,0,0,,1,2,3,2,0,0,0,2,4,3.2,+3,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
36,33,2004-01-16,26-215,NYK,,SEA,W (+20),0,17:20,6,7,.857,0,0,,0,0,,0,2,2,0,0,1,2,3,12,7.6,+11,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
37,34,2004-01-17,26-216,NYK,@,CHI,W (+5),0,16:43,1,5,.200,0,0,,2,2,1.000,2,7,9,0,0,2,0,0,4,5.8,+6,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
38,35,2004-01-19,26-218,NYK,,TOR,W (+11),0,15:40,3,5,.600,0,0,,1,2,.500,2,5,7,1,1,1,1,2,7,7.8,+3,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
39,36,2004-01-21,26-220,NYK,@,HOU,L (-15),0,21:22,4,8,.500,0,0,,0,0,,1,6,7,1,0,0,1,5,8,4.2,-6,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
40,37,2004-01-23,26-222,NYK,@,ATL,W (+2),0,15:31,2,4,.500,0,0,,2,2,1.000,1,1,2,0,0,0,1,4,6,2.4,-5,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
41,38,2004-01-24,26-223,NYK,,MIA,L (-8),0,31:53,7,12,.583,0,0,,4,4,1.000,2,6,8,2,3,1,2,3,18,17.5,-2,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
42,39,2004-01-27,26-226,NYK,,SAS,L (-10),0,24:13,3,4,.750,0,0,,0,0,,1,1,2,1,3,2,1,6,6,7.1,+3,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
43,40,2004-01-30,26-229,NYK,@,BOS,W (+18),0,19:15,6,11,.545,0,0,,3,3,1.000,4,3,7,0,0,2,2,1,15,12.4,+2,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
44,41,2004-01-31,26-230,NYK,,PHO,W (+5),0,19:43,2,6,.333,0,0,,0,0,,3,7,10,1,0,2,1,2,4,5.1,+7,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
45,42,2004-02-03,26-233,NYK,,IND,W (+7),0,24:24,5,10,.500,0,0,,1,2,.500,2,4,6,3,0,0,0,2,11,9.5,+5,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
46,43,2004-02-07,26-237,NYK,@,MIA,W (+12),0,17:29,1,5,.200,0,0,,0,0,,2,3,5,1,0,0,0,2,2,1.1,+2,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
47,44,2004-02-08,26-238,NYK,,LAC,W (+6),0,12:26,0,6,.000,0,0,,0,0,,0,3,3,0,0,0,0,1,0,-3.7,+6,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
48,45,2004-02-10,26-240,NYK,@,DAL,L (-15),0,14:04,1,4,.250,0,0,,2,2,1.000,3,4,7,1,0,1,2,1,4,3.9,+4,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
49,46,2004-02-11,26-241,NYK,@,NOH,L (-8),0,14:29,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,2,2,1.2,+6,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
50,,2004-02-20,26-250,DEN,@,ORL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
51,47,2004-02-21,26-251,DEN,@,MIA,L (-16),0,13:53,2,6,.333,0,0,,2,2,1.000,2,0,2,0,0,0,1,1,6,2.6,-13,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
52,48,2004-02-23,26-253,DEN,@,MEM,L (-3),0,7:07,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,3,2,0.8,-5,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
53,49,2004-02-25,26-255,DEN,,LAL,L (-1),0,19:16,2,4,.500,0,0,,0,0,,2,4,6,1,0,0,2,3,4,2.1,-11,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
54,50,2004-02-28,26-258,DEN,@,SAS,L (-25),0,18:04,1,4,.250,0,0,,2,2,1.000,0,2,2,0,0,0,1,3,4,0.0,-7,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
55,51,2004-02-29,26-259,DEN,,NYK,W (+11),0,7:30,1,1,1.000,0,0,,2,2,1.000,1,1,2,1,0,0,0,2,4,4.6,-1,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
56,52,2004-03-02,26-261,DEN,,NJN,L (-4),0,23:28,4,7,.571,0,0,,0,0,,1,2,3,0,1,1,1,2,8,5.9,-9,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
57,53,2004-03-06,26-265,DEN,,DET,L (-31),0,3:39,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-4,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
58,54,2004-03-07,26-266,DEN,,IND,L (-9),0,6:43,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.9,+2,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
59,55,2004-03-09,26-268,DEN,@,WAS,W (+30),0,10:34,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,2,2,-0.2,0,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
60,56,2004-03-10,26-269,DEN,@,NJN,L (-1),0,10:21,2,4,.500,0,0,,0,0,,1,2,3,1,0,0,0,2,4,3.2,-8,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
61,57,2004-03-12,26-271,DEN,@,MIL,W (+6),0,19:12,3,5,.600,0,0,,0,0,,1,5,6,1,1,0,1,3,6,5.4,0,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
62,58,2004-03-14,26-273,DEN,,UTA,W (+27),0,22:03,1,3,.333,0,0,,3,4,.750,0,4,4,1,1,0,0,3,5,4.6,+8,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
63,59,2004-03-17,26-276,DEN,@,BOS,L (-4),0,20:08,3,7,.429,0,0,,0,0,,2,5,7,3,1,0,0,2,6,7.5,+7,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
64,60,2004-03-19,26-278,DEN,@,DET,L (-19),0,12:34,2,3,.667,0,0,,0,0,,1,0,1,0,1,2,1,1,4,4.4,-5,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
65,61,2004-03-21,26-280,DEN,@,MIN,L (-21),0,13:53,1,2,.500,0,0,,0,0,,1,3,4,0,0,0,1,1,2,1.2,-19,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
66,62,2004-03-22,26-281,DEN,,LAC,W (+22),0,20:40,3,8,.375,0,0,,0,0,,3,3,6,3,0,0,0,5,6,4.7,+12,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
67,63,2004-03-24,26-283,DEN,,MIN,W (+9),0,16:51,0,4,.000,0,0,,2,2,1.000,1,4,5,0,0,1,0,2,2,1.0,-1,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
68,64,2004-03-26,26-285,DEN,@,SEA,L (-16),0,6:25,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.2,-2,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
69,65,2004-03-27,26-286,DEN,@,UTA,L (-2),0,11:46,1,4,.250,0,0,,0,0,,3,0,3,1,0,0,1,2,2,0.6,0,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
70,66,2004-03-30,26-289,DEN,,SEA,W (+5),0,2:38,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,1,0,-1.1,-2,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
71,67,2004-04-02,26-292,DEN,,HOU,W (+10),0,14:50,5,8,.625,0,0,,0,0,,2,0,2,0,0,0,0,3,10,6.6,-9,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
72,68,2004-04-07,26-297,DEN,@,PHO,W (+15),0,12:22,3,8,.375,0,0,,0,0,,3,2,5,1,0,0,0,5,6,3.0,-13,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
73,69,2004-04-09,26-299,DEN,@,HOU,L (-3),0,6:38,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,1,2,1.2,+2,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
74,70,2004-04-10,26-300,DEN,,POR,W (+10),0,7:06,0,1,.000,0,0,,0,0,,1,2,3,0,1,0,0,1,0,1.2,0,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
75,71,2004-04-12,26-302,DEN,,SAC,W (+8),0,10:31,1,2,.500,0,0,,0,0,,0,1,1,0,0,1,1,1,2,0.6,-5,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
76,72,2004-04-14,26-304,DEN,@,SAS,L (-26),0,21:41,1,6,.167,0,0,,1,2,.500,2,3,5,1,0,1,0,5,3,0.5,-16,2004,doleami01,https://www.basketball-reference.com/players/d/doleami01/gamelog/2004
