Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1986-10-31,24-131,POR,,SEA,L (-17),1,37:00,5,11,.455,0,2,.000,3,4,.750,1,1,2,6,1,1,0,4,13,12.2,1987,drexlcl01,https://www.basketball-reference.com/players/d/drexlcl01/gamelog/1987
2,2,1986-11-01,24-132,POR,@,UTA,L (-9),1,30:00,5,11,.455,0,1,.000,4,6,.667,2,4,6,4,0,1,1,5,14,10.6,1987,drexlcl01,https://www.basketball-reference.com/players/d/drexlcl01/gamelog/1987
3,3,1986-11-04,24-135,POR,@,PHO,L (-6),1,40:00,8,18,.444,1,1,1.000,1,2,.500,1,5,6,8,5,0,5,5,18,14.0,1987,drexlcl01,https://www.basketball-reference.com/players/d/drexlcl01/gamelog/1987
4,4,1986-11-05,24-136,POR,@,GSW,L (-10),1,39:00,8,17,.471,0,2,.000,2,4,.500,1,3,4,5,2,3,4,4,18,12.1,1987,drexlcl01,https://www.basketball-reference.com/players/d/drexlcl01/gamelog/1987
5,5,1986-11-07,24-138,POR,,DAL,W (+7),1,43:00,9,14,.643,0,0,,5,5,1.000,4,4,8,7,6,1,2,6,23,28.0,1987,drexlcl01,https://www.basketball-reference.com/players/d/drexlcl01/gamelog/1987
6,6,1986-11-09,24-140,POR,,PHI,L (-6),1,36:00,8,23,.348,0,0,,6,8,.750,6,0,6,6,1,0,4,1,22,13.3,1987,drexlcl01,https://www.basketball-reference.com/players/d/drexlcl01/gamelog/1987
7,7,1986-11-11,24-142,POR,,GSW,W (+18),1,29:00,7,9,.778,0,0,,5,6,.833,2,4,6,6,3,0,5,3,19,18.7,1987,drexlcl01,https://www.basketball-reference.com/players/d/drexlcl01/gamelog/1987
8,8,1986-11-14,24-145,POR,,LAC,W (+10),1,41:00,11,20,.550,0,0,,2,3,.667,4,8,12,11,3,2,4,3,24,26.1,1987,drexlcl01,https://www.basketball-reference.com/players/d/drexlcl01/gamelog/1987
9,9,1986-11-16,24-147,POR,,UTA,W (+21),1,34:00,9,18,.500,0,0,,3,3,1.000,3,4,7,9,2,0,4,4,21,18.0,1987,drexlcl01,https://www.basketball-reference.com/players/d/drexlcl01/gamelog/1987
10,10,1986-11-18,24-149,POR,@,HOU,W (+4),1,44:00,5,19,.263,0,1,.000,4,4,1.000,1,5,6,8,4,0,4,2,14,9.7,1987,drexlcl01,https://www.basketball-reference.com/players/d/drexlcl01/gamelog/1987
11,11,1986-11-20,24-151,POR,@,DEN,L (-14),1,31:00,7,14,.500,1,1,1.000,3,3,1.000,2,9,11,4,1,2,4,4,18,14.7,1987,drexlcl01,https://www.basketball-reference.com/players/d/drexlcl01/gamelog/1987
