Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2020-12-22,32-084,BRK,,GSW,W (+26),1,24:56,7,16,.438,1,2,.500,7,7,1.000,1,4,5,3,3,1,1,3,22,19.1,+26,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
2,2,2020-12-25,32-087,BRK,@,BOS,W (+28),1,33:24,9,16,.563,3,4,.750,8,9,.889,0,4,4,3,2,0,2,3,29,23.1,+31,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
3,3,2020-12-27,32-089,BRK,@,CHO,L (-2),1,36:21,9,15,.600,5,7,.714,6,9,.667,0,3,3,4,0,1,3,3,29,21.1,+7,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
4,,2020-12-28,32-090,BRK,,MEM,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
5,4,2020-12-30,32-092,BRK,,ATL,W (+4),1,34:59,11,22,.500,2,6,.333,9,9,1.000,1,10,11,9,1,1,4,1,33,29.3,+1,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
6,5,2021-01-01,32-094,BRK,,ATL,L (-18),1,37:28,10,21,.476,2,7,.286,6,6,1.000,1,7,8,4,1,2,5,0,28,20.3,-1,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
7,6,2021-01-03,32-096,BRK,,WAS,L (-1),1,37:37,8,15,.533,2,7,.286,10,12,.833,0,11,11,7,0,0,6,1,28,21.7,+11,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
8,,2021-01-05,32-098,BRK,,UTA,W (+34),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
9,,2021-01-07,32-100,BRK,,PHI,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
10,,2021-01-08,32-101,BRK,@,MEM,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
11,7,2021-01-10,32-103,BRK,,OKC,L (-13),1,37:40,11,21,.524,2,7,.286,12,15,.800,1,10,11,4,0,1,4,2,36,26.9,0,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
12,8,2021-01-12,32-105,BRK,,DEN,W (+6),1,35:53,12,18,.667,4,7,.571,6,7,.857,0,9,9,13,0,0,7,4,34,29.0,+15,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
13,9,2021-01-13,32-106,BRK,@,NYK,W (+7),1,30:21,10,18,.556,3,5,.600,3,4,.750,0,3,3,6,0,2,1,1,26,22.1,+12,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
14,10,2021-01-16,32-109,BRK,,ORL,W (+7),1,40:02,16,26,.615,5,8,.625,5,5,1.000,0,4,4,5,2,2,6,0,42,32.3,+10,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
15,11,2021-01-18,32-111,BRK,,MIL,W (+2),1,35:42,10,21,.476,2,4,.500,8,9,.889,0,9,9,6,0,2,3,5,30,22.2,0,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
16,12,2021-01-20,32-113,BRK,@,CLE,L (-12),1,50:09,12,25,.480,3,9,.333,11,13,.846,1,11,12,8,1,4,2,2,38,35.1,+2,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
17,,2021-01-22,32-115,BRK,@,CLE,L (-12),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
18,13,2021-01-23,32-116,BRK,,MIA,W (+4),1,36:56,11,19,.579,4,7,.571,5,6,.833,1,3,4,4,0,2,4,4,31,21.9,+6,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
19,14,2021-01-25,32-118,BRK,,MIA,W (+13),1,37:46,6,21,.286,3,12,.250,5,6,.833,0,13,13,5,1,2,1,1,20,15.7,+11,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
20,15,2021-01-27,32-120,BRK,@,ATL,W (+4),1,42:08,13,26,.500,3,7,.429,3,4,.750,1,4,5,2,0,2,1,2,32,21.5,-2,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
21,,2021-01-29,32-122,BRK,@,OKC,W (+22),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
22,16,2021-01-31,32-124,BRK,@,WAS,L (-3),1,37:34,11,19,.579,2,4,.500,13,13,1.000,0,7,7,6,2,1,5,4,37,30.5,+6,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
23,17,2021-02-02,32-126,BRK,,LAC,W (+4),1,38:10,11,13,.846,1,1,1.000,5,5,1.000,0,9,9,0,0,1,5,3,28,20.5,-8,2021,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2021
