Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1983-10-29,27-341,PHO,@,DAL,L (-17),0,22:00,3,5,.600,0,0,,4,6,.667,3,5,8,1,0,1,3,2,10,8.1,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
2,2,1983-11-01,27-344,PHO,,SEA,L (-10),0,19:00,2,8,.250,0,0,,3,4,.750,1,1,2,3,0,0,2,3,7,1.7,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
3,3,1983-11-03,27-346,PHO,,SAS,W (+22),1,25:00,4,7,.571,0,0,,2,2,1.000,3,6,9,6,0,0,4,5,10,8.8,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
4,4,1983-11-06,27-349,PHO,@,POR,L (-26),1,22:00,3,10,.300,0,0,,2,4,.500,2,2,4,1,0,0,0,5,8,2.1,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
5,5,1983-11-25,28-003,PHO,,CHI,W (+26),0,15:00,3,11,.273,0,0,,0,2,.000,1,0,1,0,2,0,4,5,6,-4.6,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
6,6,1983-11-26,28-004,PHO,@,DEN,L (-3),0,21:00,9,13,.692,0,0,,3,4,.750,0,4,4,4,0,2,2,3,21,17.3,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
7,7,1983-11-29,28-007,PHO,@,UTA,L (-4),1,29:00,2,6,.333,0,0,,4,4,1.000,0,2,2,2,0,1,0,2,8,6.5,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
8,8,1983-11-30,28-008,PHO,,KCK,L (-2),1,12:00,2,3,.667,0,0,,1,2,.500,0,4,4,1,0,0,1,2,5,3.4,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
9,9,1983-12-02,28-010,PHO,,UTA,L (-3),1,23:00,6,10,.600,0,0,,0,0,,2,4,6,0,0,0,3,3,12,5.8,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
10,10,1983-12-04,28-012,PHO,@,SAS,W (+16),1,21:00,6,9,.667,0,0,,1,1,1.000,1,4,5,1,0,0,1,3,13,9.5,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
11,11,1983-12-06,28-014,PHO,@,ATL,L (-7),1,26:00,1,11,.091,0,0,,0,0,,2,1,3,3,0,1,1,3,2,-3.0,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
12,12,1983-12-08,28-016,PHO,,NYK,W (+23),0,24:00,4,6,.667,0,0,,3,3,1.000,2,3,5,2,1,1,1,4,11,11.2,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
13,13,1983-12-10,28-018,PHO,,SDC,W (+16),1,26:00,5,12,.417,0,0,,2,2,1.000,3,1,4,1,0,0,0,4,12,7.1,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
14,14,1983-12-13,28-021,PHO,@,HOU,L (-19),1,38:00,10,16,.625,0,0,,3,6,.500,4,4,8,2,0,1,4,3,23,15.5,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
15,15,1983-12-15,28-023,PHO,,LAL,W (+10),1,15:00,2,3,.667,0,0,,1,2,.500,1,5,6,2,0,0,0,5,5,4.9,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
16,16,1983-12-17,28-025,PHO,,KCK,W (+20),1,25:00,5,14,.357,0,0,,5,5,1.000,2,2,4,0,0,0,3,3,15,5.0,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
17,17,1983-12-20,28-028,PHO,@,GSW,W (+4),1,26:00,7,12,.583,0,0,,1,3,.333,1,3,4,2,1,0,1,5,15,9.6,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
18,18,1983-12-21,28-029,PHO,,POR,L (-4),1,18:00,3,7,.429,0,0,,0,0,,0,1,1,0,0,0,2,4,6,-1.0,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
19,19,1983-12-23,28-031,PHO,@,SDC,W (+6),1,27:00,7,9,.778,0,0,,0,0,,1,5,6,6,1,0,1,4,14,15.3,1984,edwarja01,https://www.basketball-reference.com/players/e/edwarja01/gamelog/1984
