Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1963-10-16,24-258,DET,,PHI,L (-2),,,3,9,.333,4,5,.800,1,7,3,10,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
2,2,1963-10-19,24-261,DET,@,PHI,W (+3),,,6,14,.429,3,5,.600,10,8,5,15,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
3,3,1963-10-23,24-265,DET,,LAL,L (-8),,,7,,,2,2,1.000,,,4,16,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
4,4,1963-10-26,24-268,DET,@,STL,L (-24),,29:00,1,8,.125,3,4,.750,1,3,3,5,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
5,5,1963-10-30,24-272,DET,,BOS,L (-6),,,5,,,3,3,1.000,,,5,13,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
6,6,1963-11-02,24-275,DET,@,BOS,L (-8),,36:00,5,11,.455,3,4,.750,4,3,1,13,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
7,7,1963-11-06,24-279,DET,,PHI,W (+18),,,4,9,.444,6,7,.857,6,6,2,14,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
8,8,1963-11-09,24-282,DET,@,CIN,L (-9),,,6,14,.429,6,6,1.000,0,11,3,18,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
9,9,1963-11-11,24-284,DET,,LAL,W (+7),,,10,17,.588,7,7,1.000,1,6,4,27,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
10,10,1963-11-15,24-288,DET,@,SFW,W (+3),,33:00,4,13,.308,6,6,1.000,1,5,1,14,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
11,11,1963-11-16,24-289,DET,@,LAL,L (-20),,,3,9,.333,0,0,,2,,2,6,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
12,12,1963-11-17,24-290,DET,@,SFW,L (-24),,27:00,2,6,.333,0,0,,3,4,4,4,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
13,13,1963-11-19,24-292,DET,,CIN,L (-25),,,6,11,.545,3,3,1.000,3,,4,15,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
14,14,1963-11-20,24-293,DET,,CIN,W (+6),,,0,4,.000,2,2,1.000,3,,5,2,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
15,15,1963-11-23,24-296,DET,@,NYK,L (-9),,,3,,,1,1,1.000,,,3,7,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
16,16,1963-11-27,24-300,DET,,STL,L (-8),,27:00,3,7,.429,0,1,.000,3,,6,6,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
17,17,1963-11-28,24-301,DET,@,STL,L (-17),,28:00,0,4,.000,1,2,.500,0,,2,1,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
18,18,1963-11-29,24-302,DET,,LAL,L (-16),,,6,11,.545,0,1,.000,2,,6,12,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
19,19,1963-11-30,24-303,DET,,BAL,L (-19),,,4,,,2,3,.667,,,2,10,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
20,20,1963-12-01,24-304,DET,,PHI,L (-11),,,5,12,.417,0,0,,1,6,2,10,1964,eganjo01,https://www.basketball-reference.com/players/e/eganjo01/gamelog/1964
