Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1996-11-01,23-333,UTA,,SEA,W (+8),0,7:41,1,2,.500,1,2,.500,0,0,,0,1,1,1,1,0,1,2,3,2.2,+1,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
2,2,1996-11-02,23-334,UTA,@,LAC,W (+5),0,11:05,3,5,.600,1,1,1.000,0,0,,1,1,2,0,0,0,0,3,7,4.5,+11,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
3,3,1996-11-04,23-336,UTA,,HOU,L (-3),0,13:49,4,5,.800,0,1,.000,0,0,,0,1,1,2,0,0,1,2,8,6.0,-2,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
4,4,1996-11-09,23-341,UTA,@,HOU,L (-6),0,7:50,0,1,.000,0,1,.000,0,0,,0,2,2,3,0,0,0,1,0,1.6,+1,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
5,5,1996-11-13,23-345,UTA,,SAC,W (+31),0,20:26,2,6,.333,0,0,,0,0,,1,3,4,1,0,0,2,3,4,-0.3,+12,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
6,6,1996-11-15,23-347,UTA,,VAN,W (+8),0,11:52,1,4,.250,0,1,.000,0,0,,1,0,1,2,0,2,1,2,2,1.3,0,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
7,7,1996-11-16,23-348,UTA,@,DAL,W (+1),0,10:48,1,3,.333,1,1,1.000,0,0,,1,2,3,1,1,0,0,2,3,3.5,+7,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
8,8,1996-11-20,23-352,UTA,@,LAL,W (+16),0,10:48,1,1,1.000,0,0,,7,8,.875,1,0,1,2,1,0,3,1,9,8.0,+8,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
9,9,1996-11-21,23-353,UTA,,GSW,W (+5),0,10:45,0,2,.000,0,2,.000,0,0,,0,0,0,2,1,0,0,1,0,0.6,-3,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
10,10,1996-11-23,23-355,UTA,,CHI,W (+5),0,4:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-7,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
11,11,1996-11-25,23-357,UTA,,NJN,W (+16),0,21:59,2,6,.333,0,1,.000,2,2,1.000,0,1,1,4,1,2,3,1,6,4.7,-10,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
12,12,1996-11-27,23-359,UTA,,DEN,W (+4),0,3:44,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,3,2,0.5,+5,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
13,13,1996-11-29,23-361,UTA,,LAC,W (+17),0,11:57,3,6,.500,1,1,1.000,0,2,.000,0,1,1,1,1,0,1,3,7,3.0,-4,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
14,14,1996-12-01,23-363,UTA,@,SEA,W (+6),0,10:47,1,2,.500,0,1,.000,0,0,,1,0,1,1,0,0,1,0,2,1.4,0,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
15,15,1996-12-02,23-364,UTA,,CHH,W (+10),0,8:13,3,4,.750,1,1,1.000,0,0,,0,0,0,0,0,0,3,0,7,2.4,-8,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
16,16,1996-12-04,24-000,UTA,,LAL,W (+26),0,16:35,1,3,.333,0,1,.000,0,0,,0,1,1,3,0,0,2,0,2,0.7,+12,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
17,17,1996-12-06,24-002,UTA,,MIN,W (+11),0,10:09,1,4,.250,0,0,,2,3,.667,1,0,1,2,0,0,0,2,4,2.5,+4,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
18,18,1996-12-07,24-003,UTA,@,DEN,W (+13),0,10:44,3,4,.750,1,1,1.000,0,0,,0,1,1,2,0,0,0,0,7,7.1,+9,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
19,19,1996-12-10,24-006,UTA,,IND,W (+24),0,16:39,2,6,.333,1,2,.500,0,0,,0,2,2,2,0,0,2,3,5,0.4,+6,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
20,20,1996-12-12,24-008,UTA,,PHO,L (-8),0,9:30,0,3,.000,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-3.2,+1,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
21,21,1996-12-14,24-010,UTA,,ORL,W (+33),0,23:23,6,9,.667,0,1,.000,2,2,1.000,0,0,0,4,3,0,2,4,14,12.3,+11,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
22,22,1996-12-17,24-013,UTA,@,NYK,L (-5),0,9:34,0,0,,0,0,,1,2,.500,0,1,1,3,1,0,1,2,1,2.2,-8,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
23,23,1996-12-19,24-015,UTA,@,MIA,W (+7),0,8:25,2,4,.500,0,2,.000,0,0,,0,1,1,1,0,0,1,2,4,1.2,-9,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
24,24,1996-12-20,24-016,UTA,@,ORL,W (+5),0,8:22,1,1,1.000,0,0,,0,0,,0,1,1,3,0,0,2,1,2,1.7,+1,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
25,25,1996-12-22,24-018,UTA,@,CLE,L (-6),0,15:33,4,6,.667,0,0,,1,2,.500,0,1,1,4,0,0,1,1,9,7.7,+3,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
26,26,1996-12-23,24-019,UTA,@,MIN,L (-9),0,10:29,3,3,1.000,1,1,1.000,2,2,1.000,0,1,1,0,0,0,1,1,9,7.0,+3,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
27,27,1996-12-26,24-022,UTA,,POR,W (+5),0,10:03,1,3,.333,1,2,.500,2,2,1.000,0,0,0,2,2,0,0,0,5,6.7,+8,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
28,28,1996-12-28,24-024,UTA,,PHI,W (+26),0,11:54,1,4,.250,0,2,.000,0,0,,0,0,0,2,1,0,3,1,2,-1.4,-2,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
29,29,1996-12-30,24-026,UTA,@,LAC,L (-14),0,10:24,0,2,.000,0,0,,4,6,.667,0,0,0,2,0,0,1,4,4,0.6,-7,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
30,30,1997-01-02,24-029,UTA,@,SAS,L (-3),0,11:06,1,1,1.000,0,0,,0,1,.000,0,2,2,3,1,0,2,4,2,1.4,+1,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
31,31,1997-01-04,24-031,UTA,,MIA,W (+3),0,10:36,1,2,.500,0,0,,2,2,1.000,0,1,1,1,1,0,2,3,4,1.8,+4,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
32,32,1997-01-06,24-033,UTA,@,CHI,L (-13),0,7:56,2,5,.400,0,1,.000,0,0,,0,0,0,1,0,0,1,0,4,1.0,-9,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
33,33,1997-01-08,24-035,UTA,@,MIL,L (-7),0,16:48,2,4,.500,0,1,.000,2,2,1.000,0,0,0,4,1,0,2,3,6,4.6,+2,1997,eisleho01,https://www.basketball-reference.com/players/e/eisleho01/gamelog/1997
