Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2021-10-19,33-324,LAL,,GSW,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,ellinwa01,https://www.basketball-reference.com/players/e/ellinwa01/gamelog/2022
2,,2021-10-22,33-327,LAL,,PHO,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,ellinwa01,https://www.basketball-reference.com/players/e/ellinwa01/gamelog/2022
3,,2021-10-24,33-329,LAL,,MEM,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,ellinwa01,https://www.basketball-reference.com/players/e/ellinwa01/gamelog/2022
4,,2021-10-26,33-331,LAL,@,SAS,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,ellinwa01,https://www.basketball-reference.com/players/e/ellinwa01/gamelog/2022
5,,2021-10-27,33-332,LAL,@,OKC,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,ellinwa01,https://www.basketball-reference.com/players/e/ellinwa01/gamelog/2022
6,,2021-10-29,33-334,LAL,,CLE,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,ellinwa01,https://www.basketball-reference.com/players/e/ellinwa01/gamelog/2022
7,,2021-10-31,33-336,LAL,,HOU,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,ellinwa01,https://www.basketball-reference.com/players/e/ellinwa01/gamelog/2022
8,,2021-11-02,33-338,LAL,,HOU,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,ellinwa01,https://www.basketball-reference.com/players/e/ellinwa01/gamelog/2022
9,1,2021-11-04,33-340,LAL,,OKC,L (-3),0,8:30,1,6,.167,1,5,.200,0,0,,1,1,2,1,0,0,0,0,3,0.9,-3,2022,ellinwa01,https://www.basketball-reference.com/players/e/ellinwa01/gamelog/2022
10,2,2021-11-06,33-342,LAL,@,POR,L (-15),0,24:53,3,8,.375,2,7,.286,0,0,,0,4,4,0,0,0,1,2,8,3.0,-6,2022,ellinwa01,https://www.basketball-reference.com/players/e/ellinwa01/gamelog/2022
