Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1982-10-29,28-297,DEN,,DAL,L (-8),1,37:00,8,24,.333,0,0,,1,2,.500,,,8,3,,0,7,0,17,,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
2,2,1982-10-31,28-299,DEN,,PHO,W (+4),1,37:00,12,22,.545,0,0,,1,2,.500,0,1,1,6,1,1,3,4,25,15.6,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
3,3,1982-11-03,28-302,DEN,,LAL,L (-1),1,40:00,10,25,.400,0,1,.000,2,2,1.000,6,4,10,3,3,1,6,4,22,12.1,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
4,4,1982-11-04,28-303,DEN,@,LAL,L (-23),1,26:00,9,18,.500,0,0,,4,5,.800,5,0,5,1,1,1,0,3,22,17.3,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
5,5,1982-11-06,28-305,DEN,,GSW,W (+9),1,28:00,8,13,.615,0,0,,11,12,.917,3,0,3,4,2,1,2,3,27,25.1,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
6,6,1982-11-09,28-308,DEN,,ATL,L (-1),1,40:00,12,27,.444,0,0,,6,6,1.000,2,7,9,4,0,1,2,4,30,19.3,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
7,7,1982-11-10,28-309,DEN,@,UTA,L (-6),1,35:00,9,20,.450,0,0,,7,8,.875,3,6,9,4,1,0,5,2,25,16.1,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
8,8,1982-11-12,28-311,DEN,,POR,L (-17),1,40:00,7,17,.412,0,0,,10,10,1.000,2,2,4,4,1,0,4,3,24,15.5,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
9,9,1982-11-13,28-312,DEN,@,DAL,W (+10),1,33:00,19,24,.792,0,0,,2,2,1.000,,,4,6,,,3,4,40,,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
10,10,1982-11-16,28-315,DEN,@,SDC,W (+6),1,38:00,17,33,.515,0,0,,5,7,.714,1,3,4,3,2,2,5,3,39,22.8,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
11,11,1982-11-18,28-317,DEN,@,PHO,W (+11),1,38:00,13,24,.542,0,0,,6,6,1.000,5,2,7,4,1,2,3,2,32,25.9,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
12,12,1982-11-21,28-320,DEN,@,LAL,L (-14),1,39:00,20,31,.645,0,1,.000,5,6,.833,4,3,7,3,0,1,5,6,45,30.0,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
13,13,1982-11-23,28-322,DEN,@,SAS,L (-10),1,41:00,14,29,.483,0,0,,8,9,.889,5,5,10,7,0,0,4,4,36,25.2,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
14,14,1982-11-24,28-323,DEN,,SAS,W (+6),1,42:00,13,31,.419,0,0,,5,8,.625,,,5,7,3,1,1,2,31,,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
15,15,1982-11-26,28-325,DEN,@,SEA,L (-21),1,27:00,10,15,.667,0,0,,4,5,.800,1,1,2,2,3,0,1,2,24,20.7,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
16,16,1982-11-27,28-326,DEN,,SDC,W (+16),1,30:00,16,24,.667,0,,,7,8,.875,,,5,3,,1,2,4,39,,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
17,17,1982-11-30,28-329,DEN,,DAL,L (-11),1,38:00,14,23,.609,1,2,.500,5,8,.625,4,4,8,10,0,1,2,2,34,31.2,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
18,18,1982-12-03,28-332,DEN,,CHI,W (+8),1,39:00,13,28,.464,0,0,,3,4,.750,4,2,6,6,1,2,8,5,29,14.2,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
19,19,1982-12-08,28-337,DEN,@,IND,L (-4),1,37:00,19,32,.594,0,0,,3,4,.750,7,1,8,3,1,1,4,4,41,29.2,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
20,20,1982-12-09,28-338,DEN,@,WSB,L (-8),1,40:00,10,25,.400,0,0,,4,4,1.000,5,5,10,4,0,2,7,2,24,11.9,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
21,21,1982-12-10,28-339,DEN,@,CLE,W (+10),1,31:00,11,18,.611,0,0,,5,6,.833,1,2,3,5,0,0,2,5,27,19.2,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
22,22,1982-12-12,28-341,DEN,@,BOS,L (-14),1,38:00,7,20,.350,0,0,,2,2,1.000,3,4,7,10,3,3,3,3,16,16.0,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
23,23,1982-12-15,28-344,DEN,@,MIL,W (+15),1,37:00,12,29,.414,0,0,,9,10,.900,6,4,10,10,5,1,4,3,33,30.0,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
24,24,1982-12-16,28-345,DEN,,SAS,L (-12),1,38:00,11,21,.524,1,1,1.000,3,5,.600,4,1,5,6,1,0,2,3,26,20.0,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
25,25,1982-12-18,28-347,DEN,,NJN,L (-9),1,31:00,7,22,.318,0,3,.000,8,8,1.000,,,9,4,,,6,4,22,,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
26,26,1982-12-22,28-351,DEN,@,KCK,L (-44),1,34:00,7,18,.389,0,0,,5,8,.625,1,4,5,3,3,2,4,4,19,10.8,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
27,27,1982-12-23,28-352,DEN,@,DET,W (+8),1,37:00,18,33,.545,0,0,,7,7,1.000,,,11,6,,,2,3,43,,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
28,28,1982-12-27,28-356,DEN,,GSW,W (+2),1,40:00,16,22,.727,0,0,,9,10,.900,3,2,5,5,1,3,2,3,41,37.7,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
29,29,1982-12-28,28-357,DEN,,IND,W (+5),1,45:00,13,21,.619,0,0,,11,14,.786,3,6,9,6,3,6,2,4,37,38.0,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
30,30,1982-12-30,28-359,DEN,,BOS,L (-13),1,32:00,10,26,.385,0,1,.000,5,5,1.000,4,3,7,6,1,1,4,4,25,14.8,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
31,31,1983-01-01,28-361,DEN,,PHO,W (+2),1,38:00,4,19,.211,0,0,,11,14,.786,2,8,10,6,2,1,1,2,19,15.0,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
32,32,1983-01-02,28-362,DEN,@,POR,L (-18),1,39:00,8,15,.533,0,0,,2,2,1.000,1,3,4,4,5,0,3,2,18,16.3,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
33,33,1983-01-04,28-364,DEN,,KCK,W (+16),1,34:00,15,29,.517,0,0,,6,10,.600,2,6,8,4,0,3,1,3,36,26.0,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
34,34,1983-01-05,29-000,DEN,@,KCK,L (-20),1,38:00,12,18,.667,0,1,.000,10,11,.909,2,3,5,2,2,1,8,4,34,22.6,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
35,35,1983-01-07,29-002,DEN,,HOU,W (+28),1,18:00,8,13,.615,0,0,,3,3,1.000,,,5,1,0,0,1,3,19,,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
36,36,1983-01-08,29-003,DEN,@,SDC,L (-2),1,39:00,15,28,.536,0,0,,3,3,1.000,,,12,6,,2,3,4,33,,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
37,37,1983-01-11,29-006,DEN,@,SEA,W (+12),1,30:00,13,26,.500,0,0,,8,8,1.000,0,6,6,11,1,2,2,4,34,29.3,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
38,38,1983-01-12,29-007,DEN,,UTA,W (+8),1,32:00,11,19,.579,0,0,,7,7,1.000,0,8,8,9,1,3,5,3,29,25.7,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
39,39,1983-01-14,29-009,DEN,@,DAL,L (-10),1,42:00,14,23,.609,0,0,,6,6,1.000,,,8,9,,1,4,2,34,,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
40,40,1983-01-15,29-010,DEN,@,HOU,W (+20),1,43:00,17,28,.607,0,0,,5,6,.833,,,12,4,1,1,3,1,39,,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
41,41,1983-01-18,29-013,DEN,@,SAS,L (-19),1,29:00,8,13,.615,0,0,,4,5,.800,0,2,2,4,0,0,7,4,20,8.5,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
42,42,1983-01-19,29-014,DEN,,HOU,W (+37),1,24:00,11,18,.611,0,0,,1,2,.500,2,2,4,4,0,2,2,3,23,17.4,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
43,43,1983-01-21,29-016,DEN,@,GSW,L (-15),1,39:00,13,25,.520,0,0,,8,8,1.000,6,7,13,3,2,5,2,2,34,32.8,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
44,44,1983-01-22,29-017,DEN,,NYK,L (-4),1,41:00,12,21,.571,0,,,2,5,.400,,,3,7,,,2,3,26,,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
45,45,1983-01-25,29-020,DEN,,KCK,W (+7),1,40:00,12,28,.429,0,0,,8,9,.889,3,3,6,3,0,2,7,2,32,15.5,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
46,46,1983-01-28,29-023,DEN,,POR,W (+9),1,36:00,16,28,.571,0,0,,3,3,1.000,2,6,8,4,2,4,3,2,35,28.8,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
47,47,1983-02-01,29-027,DEN,,PHI,L (-9),1,41:00,11,25,.440,0,0,,8,11,.727,3,5,8,2,2,1,5,3,30,17.2,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
48,48,1983-02-02,29-028,DEN,@,HOU,L (-7),1,35:00,8,18,.444,0,1,.000,4,6,.667,6,4,10,5,1,2,3,2,20,17.3,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
49,49,1983-02-03,29-029,DEN,@,ATL,W (+14),1,40:00,16,26,.615,0,0,,4,4,1.000,4,4,8,8,0,2,2,5,36,31.2,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
50,50,1983-02-05,29-031,DEN,,UTA,W (+7),1,37:00,14,26,.538,0,0,,8,8,1.000,,,2,5,,5,1,3,36,,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
51,51,1983-02-08,29-034,DEN,@,SDC,L (-27),1,30:00,3,16,.188,0,0,,1,2,.500,3,3,6,2,0,0,4,2,7,-3.8,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
52,52,1983-02-09,29-035,DEN,,SEA,W (+9),1,36:00,9,17,.529,0,0,,2,2,1.000,3,7,10,4,2,1,2,2,20,18.6,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
53,53,1983-02-16,29-042,DEN,@,PHI,L (-21),1,29:00,7,19,.368,0,0,,0,0,,4,2,6,3,1,0,1,2,14,8.2,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
54,54,1983-02-17,29-043,DEN,@,NJN,W (+9),1,38:00,9,20,.450,0,0,,15,17,.882,5,9,14,1,3,4,4,2,33,29.7,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
55,55,1983-02-19,29-045,DEN,@,NYK,L (-9),1,41:00,18,27,.667,0,0,,3,4,.750,,,6,3,,,1,2,39,,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
56,56,1983-02-22,29-048,DEN,@,CHI,L (-11),1,38:00,14,21,.667,0,0,,3,6,.500,4,3,7,4,2,4,2,4,31,28.4,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
57,57,1983-02-24,29-050,DEN,,SEA,W (+9),1,39:00,10,21,.476,0,0,,4,4,1.000,3,7,10,4,1,1,4,2,24,17.2,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
58,58,1983-02-26,29-052,DEN,,WSB,W (+14),1,44:00,11,21,.524,0,,,12,13,.923,,,9,2,2,,2,2,34,,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
59,59,1983-02-27,29-053,DEN,@,LAL,W (+15),1,38:00,14,27,.519,0,0,,5,6,.833,2,4,6,3,1,2,3,4,33,21.8,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
60,60,1983-03-01,29-055,DEN,,CLE,W (+11),1,38:00,13,21,.619,0,0,,5,8,.625,3,1,4,4,1,2,0,2,31,27.1,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
61,61,1983-03-02,29-056,DEN,@,GSW,W (+20),1,32:00,10,22,.455,0,0,,3,4,.750,4,8,12,2,2,0,3,3,23,15.6,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
62,62,1983-03-04,29-058,DEN,@,POR,W (+4),1,43:00,16,22,.727,0,0,,3,3,1.000,3,0,3,10,3,1,4,3,35,33.6,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
63,63,1983-03-05,29-059,DEN,,MIL,W (+6),1,37:00,8,25,.320,0,0,,6,7,.857,,,12,6,2,0,4,1,22,,1983,englial01,https://www.basketball-reference.com/players/e/englial01/gamelog/1983
